PeakID (cmd=annotatePeaks.pl ENCAB506UYG.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_3568	chr18	13567631	13568147	+	0	NA	intron (LDLRAD4, intron 4 of 5)	-intron (LDLRAD4, intron 3 of 5)	-43224	MIR4526	MIR4526	NR_039752			MIR4526			NA
Interval_878	chr10	18688999	18689631	+	0	NA	promoter-TSS (CACNB2)	-promoter-TSS (CACNB2)	251251	NSUN6	NSUN6	NM_182543			NSUN6			NA
Interval_2708	chr15	96472580	96473125	+	0	NA	Intergenic	Intergenic	397495	NR2F2-AS1	NR2F2-AS1	NR_102744			NR2F2-AS1			NA
Interval_6937	chr6	51791051	51791336	+	0	NA	intron (PKHD1, intron 37 of 60)	-intron (PKHD1, intron 37 of 66)	161230	PKHD1	PKHD1	NM_138694			PKHD1			NA
Interval_7825	chr8	57630361	57630650	+	0	NA	Intergenic	Intergenic	-158123	LINC00968	LINC00968	NR_038236			LINC00968			NA
Interval_2267	chr14	59279058	59279395	+	0	NA	Intergenic	Intergenic	-15780	LINC01500	LINC01500	NR_110547			LINC01500			NA
Interval_7401	chr7	44500061	44500278	+	0	NA	intron (NUDCD3, intron 2 of 5)	-intron (NUDCD3, intron 2 of 5)	30216	NUDCD3	NUDCD3	NM_015332			NUDCD3			NA
Interval_1157	chr11	191509	191787	+	0	NA	Intergenic	Intergenic	-1432	SCGB1C2	SCGB1C2	NM_001097610			SCGB1C2			NA
Interval_1193	chr11	13034530	13035106	+	0	NA	Intergenic	Intergenic	3848	RASSF10	RASSF10	NM_001080521			RASSF10			NA
Interval_1184	chr11	8854548	8854820	+	0	NA	intron (ST5, intron 3 of 22)	-intron (ST5, intron 3 of 22)	-22460	ST5	ST5	NM_005418			ST5			NA
Interval_6100	chr4	89205581	89205961	+	0	NA	exon (PPM1K, exon 1 of 7)	-exon (PPM1K, exon 1 of 7)	212	PPM1K	PPM1K	NM_152542			PPM1K			NA
Interval_7467	chr7	75352769	75353114	+	0	NA	intron (HIP1, intron 1 of 30)	-intron (HIP1, intron 1 of 28)	15349	HIP1	HIP1	NM_005338			HIP1			NA
Interval_4388	chr2	97202842	97203045	+	0	NA	intron (ARID5A, intron 1 of 6)	-intron (ARID5A, intron 1 of 6)	479	ARID5A	ARID5A	NM_212481			ARID5A			NA
Interval_6581	chr5	142399353	142400122	+	0	NA	intron (ARHGAP26, intron 12 of 22)	-intron (ARHGAP26, intron 12 of 22)	-151262	ARHGAP26-AS1	ARHGAP26-AS1	NR_046680			ARHGAP26-AS1			NA
Interval_719	chr1	224691118	224691354	+	0	NA	Intergenic	Intergenic	-69235	WDR26	WDR26	NM_025160			WDR26			NA
Interval_6335	chr5	53813373	53813601	+	0	NA	promoter-TSS (SNX18)	-promoter-TSS (SNX18)	-106	SNX18	SNX18	NM_001102575			SNX18			NA
Interval_1794	chr12	92899215	92899786	+	0	NA	Intergenic	Intergenic	-77576	CLLU1OS	CLLU1OS	NM_001025232			CLLU1OS			NA
Interval_3135	chr17	4280558	4280835	+	0	NA	Intergenic	Intergenic	-10727	UBE2G1	UBE2G1	NM_003342			UBE2G1			NA
Interval_3312	chr17	43434900	43435151	+	0	NA	Intergenic	Intergenic	-40595	MAP3K14	MAP3K14	NM_003954			MAP3K14			NA
Interval_444	chr1	154121340	154121536	+	0	NA	intron (NUP210L, intron 2 of 39)	-intron (NUP210L, intron 2 of 37)	6154	NUP210L	NUP210L	NM_001159484			NUP210L			NA
Interval_4865	chr20	29592564	29592774	+	0	NA	Intergenic	Intergenic	-19210	FRG1B	FRG1B	NR_003579			FRG1B			NA
Interval_5812	chr3	179667178	179667479	+	0	NA	intron (PEX5L, intron 1 of 14)	-intron (PEX5L, intron 1 of 14)	50003	LOC101928790	LOC101928790	NR_110059			LOC101928790			NA
Interval_2038	chr13	42980001	42980242	+	0	NA	Intergenic	Intergenic	133832	AKAP11	AKAP11	NM_016248			AKAP11			NA
Interval_8052	chr9	1536586	1536796	+	0	NA	Intergenic	Intergenic	-478528	SMARCA2	SMARCA2	NM_003070			SMARCA2			NA
Interval_998	chr10	77533299	77533524	+	0	NA	intron (C10orf11, intron 1 of 7)	-intron (C10orf11, intron 2 of 6)	126144	C10orf11	C10orf11	NM_001305581			C10orf11			NA
Interval_5448	chr3	32511395	32511827	+	0	NA	Intergenic	Intergenic	32792	CMTM6	CMTM6	NM_017801			CMTM6			NA
Interval_4031	chr19	45970893	45971130	+	0	NA	promoter-TSS (FOSB)	-promoter-TSS (FOSB)	-242	FOSB	FOSB	NM_001114171			FOSB			NA
Interval_3268	chr17	36886181	36886466	+	0	NA	promoter-TSS (CISD3)	-promoter-TSS (CISD3)	-187	CISD3	CISD3	NM_001136498			CISD3			NA
Interval_2792	chr16	10822072	10822292	+	0	NA	Intergenic	Intergenic	-15461	NUBP1	NUBP1	NM_001278506			NUBP1			NA
Interval_4391	chr2	98612379	98612766	+	0	NA	promoter-TSS (TMEM131)	-promoter-TSS (TMEM131)	-218	TMEM131	TMEM131	NM_015348			TMEM131			NA
Interval_2881	chr16	23027795	23027990	+	0	NA	Intergenic	Intergenic	132699	USP31	USP31	NM_020718			USP31			NA
Interval_6338	chr5	55209924	55210213	+	0	NA	intron (IL31RA, intron 13 of 14)	-intron (IL31RA, intron 13 of 14)	62861	IL31RA	IL31RA	NM_001242638			IL31RA			NA
Interval_4618	chr2	194407591	194407878	+	0	NA	Intergenic	Intergenic	793163	PCGEM1	PCGEM1	NR_002769			PCGEM1			NA
Interval_6894	chr6	39668238	39668494	+	0	NA	intron (KIF6, intron 3 of 22)	-intron (KIF6, intron 3 of 21)	24815	KIF6	KIF6	NM_145027			KIF6			NA
Interval_6665	chr5	170184238	170184465	+	0	NA	Intergenic	Intergenic	-26372	GABRP	GABRP	NM_014211			GABRP			NA
Interval_5628	chr3	101661304	101661623	+	0	NA	intron (LOC152225, intron 1 of 3)	-intron (LOC152225, intron 1 of 3)	1760	LOC152225	LOC152225	NR_026934			LOC152225			NA
Interval_6750	chr6	11467613	11467816	+	0	NA	Intergenic	Intergenic	-70746	TMEM170B	TMEM170B	NM_001100829			TMEM170B			NA
Interval_1601	chr12	12178019	12178318	+	0	NA	Intergenic	Intergenic	-45710	BCL2L14	BCL2L14	NM_138723			BCL2L14			NA
Interval_7093	chr6	130069518	130069804	+	0	NA	Intergenic	Intergenic	-38291	ARHGAP18	ARHGAP18	NM_033515			ARHGAP18			NA
Interval_4875	chr20	32274147	32274402	+	0	NA	promoter-TSS (E2F1)	-promoter-TSS (E2F1)	-64	E2F1	E2F1	NM_005225			E2F1			NA
Interval_2099	chr13	80096765	80097033	+	0	NA	intron (NDFIP2, intron 2 of 7)	-intron (NDFIP2, intron 2 of 7)	-41533	NDFIP2-AS1	NDFIP2-AS1	NR_046685			NDFIP2-AS1			NA
Interval_7257	chr7	2207664	2208248	+	0	NA	intron (MAD1L1, intron 10 of 18)	-intron (MAD1L1, intron 10 of 18)	64627	MAD1L1	MAD1L1	NM_001013836			MAD1L1			NA
Interval_5936	chr4	14127133	14127349	+	0	NA	intron (LINC01085, intron 1 of 2)	-intron (LINC01085, intron 1 of 2)	13649	LINC01085	LINC01085	NR_033931			LINC01085			NA
Interval_188	chr1	33937956	33938196	+	0	NA	promoter-TSS (ZSCAN20)	-promoter-TSS (ZSCAN20)	-156	ZSCAN20	ZSCAN20	NM_145238			ZSCAN20			NA
Interval_4425	chr2	110096417	110096620	+	0	NA	intron (SH3RF3, intron 8 of 9)	-intron (SH3RF3, intron 8 of 9)	-166437	MIR4266	MIR4266	NR_036224			MIR4266			NA
Interval_847	chr10	11674210	11674491	+	0	NA	Intergenic	Intergenic	-20562	USP6NL	USP6NL	NR_125732			USP6NL			NA
Interval_6541	chr5	132028174	132028366	+	0	NA	TTS (KIF3A)	-TTS (KIF3A)	18592	IL4	IL4	NM_000589			IL4			NA
Interval_635	chr1	203259451	203259794	+	0	NA	Intergenic	Intergenic	2794	LINC01353	LINC01353	NR_117097			LINC01353			NA
Interval_8078	chr9	6757754	6758063	+	0	NA	exon (KDM4C, exon 1 of 18)	-exon (KDM4C, exon 1 of 18)	267	KDM4C	KDM4C	NM_015061			KDM4C			NA
Interval_7872	chr8	81276403	81276804	+	0	NA	Intergenic	Intergenic	-121845	ZBTB10	ZBTB10	NM_001105539			ZBTB10			NA
Interval_1314	chr11	65207111	65207381	+	0	NA	exon (NEAT1, exon 1 of 1)	-exon (NEAT1, exon 1 of 1)	-4683	MIR612	MIR612	NR_030343			MIR612			NA
Interval_4462	chr2	123356455	123356651	+	0	NA	Intergenic	Intergenic	843432	TSN	TSN	NM_004622			TSN			NA
Interval_6129	chr4	112423245	112423549	+	0	NA	Intergenic	Intergenic	-643156	C4orf32	C4orf32	NM_152400			C4orf32			NA
Interval_1728	chr12	56109716	56110052	+	0	NA	promoter-TSS (BLOC1S1)	-promoter-TSS (BLOC1S1)	66	BLOC1S1-RDH5	BLOC1S1-RDH5	NR_037658			BLOC1S1-RDH5			NA
Interval_3171	chr17	13423432	13423633	+	0	NA	intron (HS3ST3A1, intron 1 of 1)	-intron (HS3ST3A1, intron 1 of 1)	81727	HS3ST3A1	HS3ST3A1	NM_006042			HS3ST3A1			NA
Interval_2948	chr16	52820985	52821277	+	0	NA	Intergenic	Intergenic	-180244	CASC16	CASC16	NR_033920			CASC16			NA
Interval_2000	chr13	30694396	30694644	+	0	NA	Intergenic	Intergenic	-11508	LINC00365	LINC00365	NR_046998			LINC00365			NA
Interval_1501	chr11	123351123	123351383	+	0	NA	Intergenic	Intergenic	-45091	GRAMD1B	GRAMD1B	NM_001286563			GRAMD1B			NA
Interval_7172	chr6	149798545	149798864	+	0	NA	intron (ZC3H12D, intron 1 of 5)	-intron (ZC3H12D, intron 1 of 5)	7444	ZC3H12D	ZC3H12D	NM_207360			ZC3H12D			NA
Interval_4579	chr2	179886059	179886518	+	0	NA	intron (CCDC141, intron 2 of 23)	-intron (CCDC141, intron 2 of 23)	28498	CCDC141	CCDC141	NM_173648			CCDC141			NA
Interval_3518	chr17	80416369	80416563	+	0	NA	promoter-TSS (NARF)	-promoter-TSS (NARF)	-74	NARF	NARF	NM_001083608			NARF			NA
Interval_3320	chr17	44439088	44439314	+	0	NA	promoter-TSS (ARL17B)	-promoter-TSS (ARL17B)	-67	ARL17B	ARL17B	NM_001103154_1			ARL17B			NA
Interval_5672	chr3	120499928	120500206	+	0	NA	exon (GTF2E1, exon 5 of 5)	-exon (GTF2E1, exon 5 of 5)	38509	GTF2E1	GTF2E1	NM_005513			GTF2E1			NA
Interval_6494	chr5	123145435	123145728	+	0	NA	Intergenic	Intergenic	264470	CSNK1G3	CSNK1G3	NM_001270573			CSNK1G3			NA
Interval_5439	chr3	30644439	30644750	+	0	NA	Intergenic	Intergenic	-3400	TGFBR2	TGFBR2	NM_003242			TGFBR2			NA
Interval_1321	chr11	65341657	65341954	+	0	NA	TTS (FAM89B)	-TTS (FAM89B)	-1704	EHBP1L1	EHBP1L1	NM_001099409			EHBP1L1			NA
Interval_7560	chr7	104584732	104584978	+	0	NA	Intergenic	Intergenic	-17763	LHFPL3-AS2	LHFPL3-AS2	NR_027374			LHFPL3-AS2			NA
Interval_6485	chr5	118058689	118059099	+	0	NA	Intergenic	Intergenic	127011	LOC102467225	LOC102467225	NR_104998			LOC102467225			NA
Interval_4526	chr2	150983490	150984259	+	0	NA	Intergenic	Intergenic	360335	RND3	RND3	NM_005168			RND3			NA
Interval_2582	chr15	65176352	65176582	+	0	NA	Intergenic	Intergenic	-27634	ANKDD1A	ANKDD1A	NM_182703			ANKDD1A			NA
Interval_829	chr10	6309286	6309563	+	0	NA	Intergenic	Intergenic	-59083	LOC399715	LOC399715	NR_040079			LOC399715			NA
Interval_524	chr1	171221733	171221987	+	0	NA	intron (FMO1, intron 1 of 7)	-intron (FMO1, intron 1 of 8)	4250	FMO1	FMO1	NM_001282694			FMO1			NA
Interval_2844	chr16	14091777	14092118	+	0	NA	Intergenic	Intergenic	17928	LOC101927311	LOC101927311	NR_110909			LOC101927311			NA
Interval_2236	chr14	49053309	49053607	+	0	NA	Intergenic	Intergenic	-789241	LINC00648	LINC00648	NR_039996			LINC00648			NA
Interval_3693	chr18	61695461	61695723	+	0	NA	Intergenic	Intergenic	58329	SERPINB8	SERPINB8	NM_198833			SERPINB8			NA
Interval_4140	chr2	8944132	8944439	+	0	NA	intron (KIDINS220, intron 7 of 29)	-intron (KIDINS220, intron 7 of 29)	33470	KIDINS220	KIDINS220	NM_020738			KIDINS220			NA
Interval_3372	chr17	57696559	57697277	+	0	NA	promoter-TSS (CLTC)	-promoter-TSS (CLTC)	-132	CLTC	CLTC	NM_004859			CLTC			NA
Interval_2485	chr15	31558093	31559049	+	0	NA	Intergenic	Intergenic	-35521	LOC283710	LOC283710	NM_001243538			LOC283710			NA
Interval_8410	chrX	13105406	13105837	+	0	NA	Intergenic	Intergenic	-42704	FAM9C	FAM9C	NM_174901			FAM9C			NA
Interval_5841	chr3	187546822	187547281	+	0	NA	Intergenic	Intergenic	-83538	BCL6	BCL6	NM_001706			BCL6			NA
Interval_736	chr1	230258918	230259912	+	0	NA	intron (GALNT2, intron 1 of 15)	-intron (GALNT2, intron 1 of 15)	56473	GALNT2	GALNT2	NM_004481			GALNT2			NA
Interval_6234	chr4	185209732	185209940	+	0	NA	Intergenic	Intergenic	65294	LOC728175	LOC728175	NR_040108			LOC728175			NA
Interval_5080	chr21	30606000	30606288	+	0	NA	intron (LINC00189, intron 1 of 1)	-intron (LINC00189, intron 1 of 1)	40329	LINC00189	LINC00189	NR_027072			LINC00189			NA
Interval_762	chr1	235098929	235099279	+	0	NA	intron (LOC101927851, intron 1 of 3)	-intron (LOC101927851, intron 1 of 3)	642	LOC101927851	LOC101927851	NR_125945			LOC101927851			NA
Interval_1438	chr11	107798748	107799286	+	0	NA	promoter-TSS (RAB39A)	-promoter-TSS (RAB39A)	-184	RAB39A	RAB39A	NM_017516			RAB39A			NA
Interval_7731	chr8	21817671	21817890	+	0	NA	intron (XPO7, intron 1 of 27)	-intron (XPO7, intron 1 of 27)	40600	XPO7	XPO7	NM_015024			XPO7			NA
Interval_1211	chr11	20219502	20219792	+	0	NA	Intergenic	Intergenic	-37777	DBX1	DBX1	NM_001029865			DBX1			NA
Interval_3601	chr18	31518360	31518600	+	0	NA	intron (NOL4, intron 7 of 8)	-intron (NOL4, intron 8 of 9)	285035	NOL4	NOL4	NM_003787			NOL4			NA
Interval_2879	chr16	22218443	22218726	+	0	NA	intron (EEF2K, intron 1 of 17)	-intron (EEF2K, intron 1 of 17)	992	EEF2K	EEF2K	NM_013302			EEF2K			NA
Interval_2341	chr14	73329953	73330178	+	0	NA	intron (DPF3, intron 1 of 9)	-intron (DPF3, intron 1 of 10)	30759	DPF3	DPF3	NM_001280542			DPF3			NA
Interval_1163	chr11	331011	331221	+	0	NA	Intergenic	Intergenic	-10202	IFITM3	IFITM3	NM_021034			IFITM3			NA
Interval_3617	chr18	42339245	42339657	+	0	NA	intron (SETBP1, intron 2 of 5)	-intron (SETBP1, intron 2 of 3)	78588	SETBP1	SETBP1	NM_015559			SETBP1			NA
