PeakID (cmd=annotatePeaks.pl GATA3.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_2945	chr11	17435883	17436073	+	0	NA	intron (ABCC8, intron 19 of 38)	-intron (ABCC8, intron 19 of 38)	-25100	KCNJ11	KCNJ11	NM_001166290			KCNJ11			NA
Interval_2936	chr11	15274016	15274233	+	0	NA	Intergenic	Intergenic	103476	INSC	INSC	NM_001278314			INSC			NA
Interval_1653	chr1	229616281	229616496	+	0	NA	intron (NUP133, intron 12 of 25)	-intron (NUP133, intron 12 of 25)	27700	NUP133	NUP133	NM_018230			NUP133			NA
Interval_17451	chr9	71503007	71503515	+	0	NA	intron (PIP5K1B, intron 6 of 15)	-intron (PIP5K1B, intron 5 of 13)	87496	LOC101927069	LOC101927069	NR_110647			LOC101927069			NA
Interval_13664	chr5	40530405	40530623	+	0	NA	Intergenic	Intergenic	-149518	PTGER4	PTGER4	NM_000958			PTGER4			NA
Interval_1602	chr1	226186999	226187750	+	0	NA	promoter-TSS (SDE2)	-promoter-TSS (SDE2)	-308	SDE2	SDE2	NM_152608			SDE2			NA
Interval_15262	chr6	108913881	108914070	+	0	NA	intron (FOXO3, intron 2 of 3)	-intron (FOXO3, intron 1 of 2)	32949	FOXO3	FOXO3	NM_001455			FOXO3			NA
Interval_3489	chr11	117399242	117399444	+	0	NA	intron (DSCAML1, intron 4 of 32)	-intron (DSCAML1, intron 4 of 32)	200772	CEP164	CEP164	NM_014956			CEP164			NA
Interval_1546	chr1	217542901	217543214	+	0	NA	Intergenic	Intergenic	261387	GPATCH2	GPATCH2	NM_001297754			GPATCH2			NA
Interval_9865	chr2	191079215	191079471	+	0	NA	intron (HIBCH, intron 11 of 12)	-intron (HIBCH, intron 11 of 13)	33662	C2orf88	C2orf88	NM_032321			C2orf88			NA
Interval_5349	chr14	65886464	65886757	+	0	NA	intron (FUT8, intron 1 of 10)	-intron (FUT8, intron 1 of 9)	7162	FUT8	FUT8	NM_004480			FUT8			NA
Interval_599	chr1	65515663	65515842	+	0	NA	Intergenic	Intergenic	7773	MIR3671	MIR3671	NR_037443			MIR3671			NA
Interval_12794	chr4	27721681	27722116	+	0	NA	Intergenic	Intergenic	502797	LOC101929199	LOC101929199	NR_125921			LOC101929199			NA
Interval_11465	chr3	10176267	10176494	+	0	NA	Intergenic	Intergenic	-6939	VHL	VHL	NM_000551			VHL			NA
Interval_4108	chr12	66698319	66698660	+	0	NA	intron (HELB, intron 1 of 13)	-intron (HELB, intron 1 of 13)	2154	HELB	HELB	NM_033647			HELB			NA
Interval_14363	chr5	154237696	154238264	+	0	NA	promoter-TSS (CNOT8)	-promoter-TSS (CNOT8)	-99	CNOT8	CNOT8	NM_001301086			CNOT8			NA
Interval_2594	chr10	111769902	111770118	+	0	NA	intron (ADD3, intron 1 of 14)	-intron (ADD3, intron 1 of 13)	-1871	ADD3-AS1	ADD3-AS1	NR_038943			ADD3-AS1			NA
Interval_381	chr1	38439103	38439325	+	0	NA	intron (SF3A3, intron 12 of 16)	-intron (SF3A3, intron 12 of 16)	16547	SF3A3	SF3A3	NM_006802			SF3A3			NA
Interval_11848	chr3	46684623	46684804	+	0	NA	Intergenic	Intergenic	30788	LOC100132146	LOC100132146	NM_001195442			LOC100132146			NA
Interval_8259	chr19	4639120	4639437	+	0	NA	promoter-TSS (TNFAIP8L1)	-promoter-TSS (TNFAIP8L1)	-249	TNFAIP8L1	TNFAIP8L1	NM_152362			TNFAIP8L1			NA
Interval_6773	chr16	68103869	68104170	+	0	NA	intron (DUS2, intron 10 of 16)	-intron (DUS2, intron 9 of 15)	-15250	NFATC3	NFATC3	NM_173165			NFATC3			NA
Interval_8331	chr19	11039347	11039530	+	0	NA	promoter-TSS (C19orf52)	-promoter-TSS (C19orf52)	14	C19orf52	C19orf52	NM_138358			C19orf52			NA
Interval_685	chr1	89949729	89949981	+	0	NA	Intergenic	Intergenic	-74417	LRRC8B	LRRC8B	NM_015350			LRRC8B			NA
Interval_15270	chr6	109544019	109544504	+	0	NA	Intergenic	Intergenic	-13556	LOC100996634	LOC100996634	NM_001277339			LOC100996634			NA
Interval_3475	chr11	115088628	115089082	+	0	NA	intron (CADM1, intron 5 of 9)	-intron (CADM1, intron 5 of 8)	286386	CADM1	CADM1	NM_014333			CADM1			NA
Interval_7946	chr18	25716138	25716471	+	0	NA	intron (CDH2, intron 2 of 15)	-intron (CDH2, intron 2 of 15)	41106	CDH2	CDH2	NM_001792			CDH2			NA
Interval_8554	chr19	39893293	39893548	+	0	NA	Intergenic	Intergenic	-4067	ZFP36	ZFP36	NM_003407			ZFP36			NA
Interval_337	chr1	32479054	32479265	+	0	NA	promoter-TSS (KHDRBS1)	-promoter-TSS (KHDRBS1)	-136	KHDRBS1	KHDRBS1	NR_073499			KHDRBS1			NA
Interval_17337	chr9	7067091	7067688	+	0	NA	intron (KDM4C, intron 17 of 21)	-intron (KDM4C, intron 17 of 17)	309748	KDM4C	KDM4C	NM_015061			KDM4C			NA
Interval_17307	chr9	3161987	3162240	+	0	NA	Intergenic	Intergenic	-19476	LINC01231	LINC01231	NR_121585			LINC01231			NA
Interval_3595	chr11	128245894	128246247	+	0	NA	Intergenic	Intergenic	146135	ETS1	ETS1	NM_001143820			ETS1			NA
Interval_785	chr1	101593751	101594895	+	0	NA	Intergenic	Intergenic	102921	LOC102606465	LOC102606465	NR_109849			LOC102606465			NA
Interval_12872	chr4	56932422	56932665	+	0	NA	Intergenic	Intergenic	-31052	MIR7641-2	MIR7641-2	NR_106988_26			MIR7641-2			NA
Interval_13527	chr5	3664412	3664600	+	0	NA	Intergenic	Intergenic	68338	IRX1	IRX1	NM_024337			IRX1			NA
Interval_12421	chr3	165061108	165061516	+	0	NA	intron (LINC01322, intron 1 of 5)	-intron (LINC01322, intron 1 of 5)	136564	LINC01322	LINC01322	NR_125764			LINC01322			NA
Interval_4208	chr12	92474173	92474487	+	0	NA	intron (C12orf79, intron 1 of 5)	-intron (C12orf79, intron 1 of 4)	62117	C12orf79	C12orf79	NM_001256375			C12orf79			NA
Interval_727	chr1	93498593	93498770	+	0	NA	Intergenic	Intergenic	-46111	MTF2	MTF2	NM_007358			MTF2			NA
Interval_5194	chr14	45604973	45605165	+	0	NA	promoter-TSS (FANCM)	-promoter-TSS (FANCM)	-73	FANCM	FANCM	NM_001308133			FANCM			NA
Interval_12980	chr4	81064381	81064828	+	0	NA	Intergenic	Intergenic	-41820	PRDM8	PRDM8	NM_020226			PRDM8			NA
Interval_3392	chr11	98160623	98161073	+	0	NA	Intergenic	Intergenic	-1266028	CNTN5	CNTN5	NM_001243270			CNTN5			NA
Interval_8905	chr2	26742330	26742932	+	0	NA	intron (OTOF, intron 3 of 46)	-intron (OTOF, intron 3 of 45)	-41721	OTOF	OTOF	NM_194248			OTOF			NA
Interval_13495	chr4	190579483	190579748	+	0	NA	Intergenic	Intergenic	-1145	LINC01262	LINC01262	NR_121679			LINC01262			NA
Interval_8943	chr2	30643938	30644593	+	0	NA	Intergenic	Intergenic	-25827	LCLAT1	LCLAT1	NM_001002257			LCLAT1			NA
Interval_6549	chr16	23526078	23526563	+	0	NA	Intergenic	Intergenic	-4505	GGA2	GGA2	NM_015044			GGA2			NA
Interval_837	chr1	109102084	109102728	+	0	NA	promoter-TSS (FAM102B)	-promoter-TSS (FAM102B)	-565	FAM102B	FAM102B	NM_001010883			FAM102B			NA
Interval_2605	chr10	112224544	112224759	+	0	NA	Intergenic	Intergenic	-32974	DUSP5	DUSP5	NM_004419			DUSP5			NA
Interval_14192	chr5	132028168	132028345	+	0	NA	TTS (KIF3A)	-TTS (KIF3A)	18578	IL4	IL4	NM_000589			IL4			NA
Interval_17229	chr8	140352153	140352394	+	0	NA	Intergenic	Intergenic	363026	KCNK9	KCNK9	NM_001282534			KCNK9			NA
Interval_9003	chr2	46375081	46375366	+	0	NA	intron (PRKCE, intron 12 of 14)	-intron (PRKCE, intron 12 of 14)	-149318	EPAS1	EPAS1	NM_001430			EPAS1			NA
Interval_5827	chr15	39553596	39553905	+	0	NA	Intergenic	Intergenic	10880	C15orf54	C15orf54	NM_207445			C15orf54			NA
Interval_17770	chr9	117146086	117146477	+	0	NA	intron (AKNA, intron 1 of 21)	-intron (AKNA, intron 1 of 21)	10404	AKNA	AKNA	NM_030767			AKNA			NA
Interval_1664	chr1	229893929	229894537	+	0	NA	Intergenic	Intergenic	132252	URB2	URB2	NM_014777			URB2			NA
Interval_3698	chr12	4071814	4072034	+	0	NA	Intergenic	Intergenic	-89310	PARP11	PARP11	NM_020367			PARP11			NA
Interval_14190	chr5	132023693	132024119	+	0	NA	Intergenic	Intergenic	14228	IL4	IL4	NM_000589			IL4			NA
Interval_10647	chr20	49135932	49136173	+	0	NA	intron (PTPN1, intron 1 of 8)	-intron (PTPN1, intron 1 of 8)	9194	PTPN1	PTPN1	NM_002827			PTPN1			NA
Interval_17396	chr9	31267027	31267382	+	0	NA	Intergenic	Intergenic	-858752	LINC01242	LINC01242	NR_046204			LINC01242			NA
Interval_2082	chr10	27088327	27088558	+	0	NA	intron (ABI1, intron 2 of 11)	-intron (ABI1, intron 2 of 10)	61574	ABI1	ABI1	NM_001012752			ABI1			NA
Interval_6645	chr16	34794819	34795369	+	0	NA	Intergenic	Intergenic	-54254	LOC100130700	LOC100130700	NR_034019			LOC100130700			NA
Interval_1714	chr1	232739804	232740013	+	0	NA	Intergenic	Intergenic	-88665	SIPA1L2	SIPA1L2	NM_020808			SIPA1L2			NA
Interval_7682	chr17	74674532	74674866	+	0	NA	TTS (MXRA7)	-TTS (MXRA7)	6689	LOC105274304	LOC105274304	NR_130916			LOC105274304			NA
Interval_16794	chr8	61151056	61151359	+	0	NA	intron (CA8, intron 3 of 8)	-intron (CA8, intron 3 of 8)	42747	CA8	CA8	NM_004056			CA8			NA
Interval_13901	chr5	80148181	80148432	+	0	NA	intron (MSH3, intron 20 of 23)	-intron (MSH3, intron 20 of 23)	-108202	RASGRF2	RASGRF2	NM_006909			RASGRF2			NA
Interval_3713	chr12	6178799	6179006	+	0	NA	intron (VWF, intron 10 of 51)	-intron (VWF, intron 10 of 51)	54934	VWF	VWF	NM_000552			VWF			NA
Interval_15503	chr6	144998865	144999176	+	0	NA	intron (UTRN, intron 50 of 73)	-intron (UTRN, intron 50 of 73)	386147	UTRN	UTRN	NM_007124			UTRN			NA
Interval_5417	chr14	72868083	72869466	+	0	NA	intron (RGS6, intron 3 of 16)	-intron (RGS6, intron 3 of 17)	-114754	MIR7843	MIR7843	NR_106994			MIR7843			NA
Interval_14441	chr5	168278878	168279525	+	0	NA	intron (SLIT3, intron 5 of 35)	-intron (SLIT3, intron 5 of 35)	-83941	MIR218-2	MIR218-2	NR_029632			MIR218-2			NA
Interval_9382	chr2	102118612	102118853	+	0	NA	Intergenic	Intergenic	-27567	RFX8	RFX8	NM_001145664			RFX8			NA
Interval_13103	chr4	109090084	109090287	+	0	NA	promoter-TSS (LEF1)	-promoter-TSS (LEF1)	-73	LEF1	LEF1	NM_016269			LEF1			NA
Interval_17170	chr8	134072297	134072978	+	0	NA	promoter-TSS (SLA)	-promoter-TSS (SLA)	-34	SLA	SLA	NM_001045557			SLA			NA
Interval_8539	chr19	39177249	39177472	+	0	NA	intron (ACTN4, intron 1 of 20)	-intron (ACTN4, intron 1 of 20)	39093	ACTN4	ACTN4	NM_004924			ACTN4			NA
Interval_8342	chr19	11850216	11850539	+	0	NA	promoter-TSS (ZNF823)	-promoter-TSS (ZNF823)	-553	ZNF823	ZNF823	NM_001080493			ZNF823			NA
Interval_13588	chr5	25713449	25713746	+	0	NA	Intergenic	Intergenic	-872905	LOC340107	LOC340107	NR_037896			LOC340107			NA
Interval_9092	chr2	60332741	60333067	+	0	NA	Intergenic	Intergenic	281676	MIR4432	MIR4432	NR_039631			MIR4432			NA
Interval_14182	chr5	131746390	131746823	+	0	NA	exon (C5orf56, exon 1 of 4)	-exon (C5orf56, exon 1 of 4)	141	C5orf56	C5orf56	NR_045116			C5orf56			NA
Interval_10616	chr20	45217832	45218146	+	0	NA	intron (SLC13A3, intron 6 of 12)	-intron (SLC13A3, intron 7 of 13)	-38776	OCSTAMP	OCSTAMP	NM_080721			OCSTAMP			NA
Interval_14079	chr5	115177614	115177791	+	0	NA	promoter-TSS (ATG12)	-promoter-TSS (ATG12)	83	AP3S1	AP3S1	NM_001284			AP3S1			NA
Interval_7608	chr17	65721465	65722051	+	0	NA	intron (NOL11, intron 6 of 17)	-intron (NOL11, intron 5 of 16)	7809	NOL11	NOL11	NM_015462			NOL11			NA
Interval_12298	chr3	135509234	135509574	+	0	NA	Intergenic	Intergenic	-232173	PPP2R3A	PPP2R3A	NM_002718			PPP2R3A			NA
Interval_10586	chr20	43239026	43239534	+	0	NA	intron (PKIG, intron 4 of 5)	-intron (PKIG, intron 4 of 5)	41096	ADA	ADA	NM_000022			ADA			NA
Interval_6460	chr16	11188763	11189011	+	0	NA	intron (CLEC16A, intron 18 of 22)	-intron (CLEC16A, intron 18 of 20)	150542	CLEC16A	CLEC16A	NM_015226			CLEC16A			NA
Interval_2383	chr10	79822149	79822427	+	0	NA	Intergenic	Intergenic	28770	RPS24	RPS24	NM_001142285			RPS24			NA
Interval_11151	chr22	25267592	25268198	+	0	NA	intron (SGSM1, intron 12 of 23)	-intron (SGSM1, intron 12 of 25)	65707	SGSM1	SGSM1	NM_133454			SGSM1			NA
Interval_5500	chr14	81635033	81635236	+	0	NA	Intergenic	Intergenic	34044	SNORA79	SNORA79	NR_003021			SNORA79			NA
Interval_6470	chr16	11704360	11704721	+	0	NA	Intergenic	Intergenic	-23218	LITAF	LITAF	NR_024320			LITAF			NA
Interval_14262	chr5	139227755	139228028	+	0	NA	exon (NRG2, exon 8 of 8)	-exon (NRG2, exon 8 of 8)	52485	PSD2	PSD2	NM_032289			PSD2			NA
Interval_13349	chr4	154059422	154059723	+	0	NA	Intergenic	Intergenic	-65994	TRIM2	TRIM2	NM_001130067			TRIM2			NA
Interval_4621	chr13	26273811	26273991	+	0	NA	intron (ATP8A2, intron 25 of 36)	-intron (ATP8A2, intron 25 of 36)	327692	ATP8A2	ATP8A2	NM_016529			ATP8A2			NA
Interval_8804	chr2	7707801	7707980	+	0	NA	Intergenic	Intergenic	146498	LOC100506274	LOC100506274	NR_038432			LOC100506274			NA
Interval_15299	chr6	112080200	112080429	+	0	NA	promoter-TSS (FYN)	-promoter-TSS (FYN)	20	FYN	FYN	NM_002037			FYN			NA
Interval_17448	chr9	38384942	38385446	+	0	NA	Intergenic	Intergenic	-7467	ALDH1B1	ALDH1B1	NM_000692			ALDH1B1			NA
Interval_15068	chr6	52151713	52151940	+	0	NA	Intergenic	Intergenic	-2147	MCM3	MCM3	NM_001270472			MCM3			NA
Interval_2994	chr11	34270050	34270450	+	0	NA	intron (ABTB2, intron 1 of 16)	-intron (ABTB2, intron 1 of 16)	109305	ABTB2	ABTB2	NM_145804			ABTB2			NA
Interval_2739	chr10	125309267	125309691	+	0	NA	Intergenic	Intergenic	-116392	GPR26	GPR26	NM_153442			GPR26			NA
Interval_10940	chr21	37403084	37403326	+	0	NA	Intergenic	Intergenic	25587	LINC01436	LINC01436	NR_110419			LINC01436			NA
Interval_9812	chr2	178130550	178131023	+	0	NA	promoter-TSS (NFE2L2)	-promoter-TSS (NFE2L2)	-927	NFE2L2	NFE2L2	NM_006164			NFE2L2			NA
Interval_16690	chr8	37194272	37194500	+	0	NA	intron (MIR1268A, intron 2 of 2)	-intron (MIR1268A, intron 2 of 2)	184518	LINC01605	LINC01605	NR_121621			LINC01605			NA
Interval_11652	chr3	30644350	30644825	+	0	NA	Intergenic	Intergenic	-3407	TGFBR2	TGFBR2	NM_003242			TGFBR2			NA
Interval_10480	chr20	30607701	30608305	+	0	NA	intron (CCM2L, intron 5 of 8)	-intron (CCM2L, intron 5 of 8)	9758	CCM2L	CCM2L	NM_080625			CCM2L			NA
Interval_4814	chr13	50788670	50788905	+	0	NA	intron (DLEU1, intron 2 of 6)	-intron (DLEU1, intron 2 of 6)	42633	ST13P4	ST13P4	NR_002183			ST13P4			NA
Interval_17398	chr9	32525534	32525935	+	0	NA	intron (DDX58, intron 1 of 17)	-intron (DDX58, intron 1 of 17)	588	DDX58	DDX58	NM_014314			DDX58			NA
Interval_8669	chr19	51631090	51631336	+	0	NA	exon (SIGLEC9, exon 5 of 7)	-exon (SIGLEC9, exon 5 of 7)	3076	SIGLEC9	SIGLEC9	NM_001198558			SIGLEC9			NA
Interval_18385	chrY	22134964	22135313	+	0	NA	Intergenic	Intergenic	-228313	KDM5D	KDM5D	NM_001146706			KDM5D			NA
Interval_2444	chr10	89805488	89805840	+	0	NA	Intergenic	Intergenic	182469	PTEN	PTEN	NM_001304718			PTEN			NA
Interval_4154	chr12	72636745	72637059	+	0	NA	Intergenic	Intergenic	-29627	TRHDE	TRHDE	NM_013381			TRHDE			NA
Interval_5570	chr14	93313534	93313997	+	0	NA	Intergenic	Intergenic	53189	GOLGA5	GOLGA5	NM_005113			GOLGA5			NA
Interval_13164	chr4	114683780	114684025	+	0	NA	promoter-TSS (CAMK2D)	-promoter-TSS (CAMK2D)	-819	CAMK2D	CAMK2D	NM_172114			CAMK2D			NA
Interval_18250	chrX	122134998	122135275	+	0	NA	Intergenic	Intergenic	-182960	GRIA3	GRIA3	NM_007325			GRIA3			NA
Interval_6175	chr15	77471953	77472438	+	0	NA	exon (PEAK1, exon 5 of 8)	-exon (PEAK1, exon 5 of 8)	45551	LINC00597	LINC00597	NR_026813			LINC00597			NA
Interval_17484	chr9	76860794	76861096	+	0	NA	intron (MIR6130, intron 5 of 7)	-intron (MIR6130, intron 5 of 7)	-125502	LOC101927358	LOC101927358	NR_121182			LOC101927358			NA
Interval_8699	chr19	55770603	55770802	+	0	NA	promoter-TSS (PPP6R1)	-promoter-TSS (PPP6R1)	-664	PPP6R1	PPP6R1	NM_014931			PPP6R1			NA
Interval_6374	chr15	100861087	100861429	+	0	NA	intron (ADAMTS17, intron 3 of 21)	-intron (ADAMTS17, intron 3 of 21)	20925	ADAMTS17	ADAMTS17	NM_139057			ADAMTS17			NA
Interval_454	chr1	46009599	46009903	+	0	NA	Intergenic	Intergenic	-6704	AKR1A1	AKR1A1	NM_153326			AKR1A1			NA
Interval_12578	chr3	194017836	194018387	+	0	NA	TTS (LINC00887)	-TTS (LINC00887)	12482	LINC00887	LINC00887	NR_024480			LINC00887			NA
Interval_15581	chr6	159224751	159225106	+	0	NA	intron (EZR, intron 1 of 12)	-intron (EZR, intron 2 of 13)	-14083	EZR-AS1	EZR-AS1	NR_102425			EZR-AS1			NA
Interval_12738	chr4	15374966	15375251	+	0	NA	intron (C1QTNF7, intron 1 of 2)	-intron (C1QTNF7, intron 1 of 2)	54430	LOC101929095	LOC101929095	NR_125911			LOC101929095			NA
Interval_8404	chr19	16197175	16197654	+	0	NA	intron (TPM4, intron 3 of 7)	-intron (TPM4, intron 4 of 8)	10279	TPM4	TPM4	NM_001145160			TPM4			NA
Interval_3026	chr11	36481873	36482174	+	0	NA	intron (PRR5L, intron 9 of 9)	-intron (PRR5L, intron 8 of 8)	49840	TRAF6	TRAF6	NM_145803			TRAF6			NA
Interval_11343	chr22	41842866	41843155	+	0	NA	promoter-TSS (TOB2)	-promoter-TSS (TOB2)	17	TOB2	TOB2	NM_016272			TOB2			NA
Interval_2150	chr10	37995757	37996301	+	0	NA	Intergenic	Intergenic	88074	ZNF33BP1	ZNF33BP1	NR_051997			ZNF33BP1			NA
Interval_10638	chr20	48440067	48440423	+	0	NA	intron (SLC9A8, intron 3 of 11)	-intron (SLC9A8, intron 3 of 15)	10995	SLC9A8	SLC9A8	NM_001260491			SLC9A8			NA
Interval_8885	chr2	23420201	23420583	+	0	NA	Intergenic	Intergenic	-187906	KLHL29	KLHL29	NM_052920			KLHL29			NA
Interval_17281	chr8	145518863	145519202	+	0	NA	intron (HSF1, intron 1 of 12)	-intron (HSF1, intron 1 of 12)	3762	HSF1	HSF1	NM_005526			HSF1			NA
Interval_8443	chr19	18617918	18618494	+	0	NA	intron (ELL, intron 1 of 11)	-intron (ELL, intron 1 of 11)	14731	ELL	ELL	NM_006532			ELL			NA
Interval_18138	chrX	48794306	48794626	+	0	NA	intron (OTUD5, intron 2 of 8)	-intron (OTUD5, intron 2 of 8)	-18053	PIM2	PIM2	NM_006875			PIM2			NA
Interval_2502	chr10	96303473	96303767	+	0	NA	Intergenic	Intergenic	-1904	HELLS	HELLS	NM_001289071			HELLS			NA
Interval_14903	chr6	37151172	37151357	+	0	NA	Intergenic	Intergenic	13342	PIM1	PIM1	NM_001243186			PIM1			NA
Interval_315	chr1	31372956	31373280	+	0	NA	intron (SDC3, intron 1 of 4)	-intron (SDC3, intron 1 of 4)	8362	SDC3	SDC3	NM_014654			SDC3			NA
Interval_16177	chr7	117943274	117943502	+	0	NA	Intergenic	Intergenic	78676	ANKRD7	ANKRD7	NM_019644			ANKRD7			NA
Interval_10905	chr21	35322278	35322545	+	0	NA	intron (LINC00649, intron 1 of 1)	-intron (LINC00649, intron 1 of 1)	18895	LINC00649	LINC00649	NR_038883			LINC00649			NA
Interval_14925	chr6	38540110	38540443	+	0	NA	intron (BTBD9, intron 5 of 10)	-intron (BTBD9, intron 6 of 10)	23567	BTBD9	BTBD9	NM_001099272			BTBD9			NA
Interval_827	chr1	108497425	108497656	+	0	NA	intron (VAV3, intron 1 of 26)	-intron (VAV3, intron 1 of 26)	-9525	VAV3-AS1	VAV3-AS1	NR_046653			VAV3-AS1			NA
Interval_4278	chr12	103387239	103387702	+	0	NA	Intergenic	Intergenic	36018	ASCL1	ASCL1	NM_004316			ASCL1			NA
Interval_10620	chr20	46062522	46062915	+	0	NA	Intergenic	Intergenic	-67883	NCOA3	NCOA3	NM_001174087			NCOA3			NA
Interval_14856	chr6	34150290	34151241	+	0	NA	Intergenic	Intergenic	-36851	GRM4	GRM4	NM_001256809			GRM4			NA
Interval_16417	chr7	157310620	157310861	+	0	NA	Intergenic	Intergenic	51815	LOC101927914	LOC101927914	NR_110157			LOC101927914			NA
Interval_16880	chr8	82059317	82059775	+	0	NA	Intergenic	Intergenic	-35243	PAG1	PAG1	NM_018440			PAG1			NA
Interval_11297	chr22	39296862	39297051	+	0	NA	Intergenic	Intergenic	-28617	CBX6	CBX6	NM_014292			CBX6			NA
Interval_11605	chr3	20050190	20050451	+	0	NA	intron (PP2D1, intron 1 of 3)	-intron (PP2D1, intron 1 of 2)	3445	PP2D1	PP2D1	NM_001252657			PP2D1			NA
Interval_10970	chr21	40352758	40353249	+	0	NA	Intergenic	Intergenic	-3303	LOC101928435	LOC101928435	NR_109962			LOC101928435			NA
Interval_10694	chr20	55577960	55578594	+	0	NA	Intergenic	Intergenic	-210475	BMP7-AS1	BMP7-AS1	NR_110631			BMP7-AS1			NA
Interval_4719	chr13	40466976	40467309	+	0	NA	Intergenic	Intergenic	-228870	MIR4305	MIR4305	NR_036190			MIR4305			NA
Interval_216	chr1	23939621	23939970	+	0	NA	Intergenic	Intergenic	-14029	MDS2	MDS2	NR_027042			MDS2			NA
Interval_5786	chr15	31929038	31929601	+	0	NA	intron (OTUD7A, intron 1 of 10)	-intron (OTUD7A, intron 1 of 10)	18223	OTUD7A	OTUD7A	NM_130901			OTUD7A			NA
Interval_666	chr1	86315958	86316235	+	0	NA	intron (COL24A1, intron 37 of 59)	-intron (COL24A1, intron 37 of 59)	-141980	ZNHIT6	ZNHIT6	NM_017953			ZNHIT6			NA
Interval_5514	chr14	89288020	89288644	+	0	NA	Intergenic	Intergenic	-2165	TTC8	TTC8	NM_198310			TTC8			NA
Interval_9316	chr2	99173231	99173445	+	0	NA	intron (INPP4A, intron 16 of 24)	-intron (INPP4A, intron 17 of 25)	51643	COA5	COA5	NM_001008215			COA5			NA
Interval_12775	chr4	24474438	24474643	+	0	NA	Intergenic	Intergenic	47373	MIR573	MIR573	NR_030299			MIR573			NA
Interval_1589	chr1	224567744	224568158	+	0	NA	TTS (CNIH4)	-TTS (CNIH4)	18062	MIR4742	MIR4742	NR_039896			MIR4742			NA
Interval_197	chr1	21776438	21776624	+	0	NA	intron (NBPF3, intron 2 of 13)	-intron (NBPF3, intron 2 of 14)	9948	NBPF3	NBPF3	NM_032264			NBPF3			NA
