PeakID (cmd=annotatePeaks.pl POU5F1_IP_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
POU5F1_IP_R1_peak_111	chr3	29503032	29503435	+	30	NA	intron (RBMS3, intron 2 of 12)	-intron (RBMS3, intron 2 of 13)	180430	RBMS3	RBMS3	NM_001177711			RBMS3			NA
POU5F1_IP_R1_peak_123	chr3	195127934	195128578	+	30	NA	intron (ACAP2, intron 1 of 22)	-intron (ACAP2, intron 1 of 22)	35561	ACAP2	ACAP2	NM_012287			ACAP2			NA
POU5F1_IP_R1_peak_184	chr8	41816680	41817294	+	30	NA	intron (KAT6A, intron 8 of 16)	-intron (KAT6A, intron 8 of 13)	92557	KAT6A	KAT6A	NM_001305878			KAT6A			NA
POU5F1_IP_R1_peak_97	chr2	85133171	85133588	+	30	NA	intron (TMSB10, intron 2 of 2)	-intron (TMSB10, intron 2 of 2)	616	TMSB10	TMSB10	NM_021103			TMSB10			NA
POU5F1_IP_R1_peak_61	chr14	86265877	86266206	+	30	NA	Intergenic	Intergenic	-134981	LOC101928767	LOC101928767	NR_110155			LOC101928767			NA
POU5F1_IP_R1_peak_125	chr4	17396813	17397158	+	30	NA	Intergenic	Intergenic	116872	QDPR	QDPR	NM_000320			QDPR			NA
POU5F1_IP_R1_peak_109	chr22	27549344	27549659	+	30	NA	Intergenic	Intergenic	250246	LINC01422	LINC01422	NR_110540			LINC01422			NA
POU5F1_IP_R1_peak_193	chr8	143446202	143446985	+	30	NA	intron (TSNARE1, intron 1 of 13)	-intron (TSNARE1, intron 1 of 10)	38017	TSNARE1	TSNARE1	NM_001291931			TSNARE1			NA
POU5F1_IP_R1_peak_8	chr1	92368900	92369226	+	30	NA	intron (TGFBR3, intron 1 of 17)	-intron (TGFBR3, intron 1 of 17)	-17227	TGFBR3	TGFBR3	NM_001195684			TGFBR3			NA
POU5F1_IP_R1_peak_187	chr8	100141800	100142294	+	30	NA	intron (VPS13B, intron 8 of 61)	-intron (VPS13B, intron 8 of 17)	116553	VPS13B	VPS13B	NM_017890			VPS13B			NA
POU5F1_IP_R1_peak_159	chr6	34111924	34112332	+	30	NA	intron (GRM4, intron 1 of 9)	-intron (GRM4, intron 1 of 10)	1786	GRM4	GRM4	NM_001256809			GRM4			NA
POU5F1_IP_R1_peak_172	chr7	73137287	73137852	+	30	NA	Intergenic	Intergenic	-3552	STX1A	STX1A	NM_001165903			STX1A			NA
POU5F1_IP_R1_peak_134	chr4	180610954	180611434	+	30	NA	Intergenic	Intergenic	1469108	LINC00290	LINC00290	NR_033918			LINC00290			NA
POU5F1_IP_R1_peak_171	chr7	51939779	51940196	+	30	NA	Intergenic	Intergenic	-555472	COBL	COBL	NM_015198			COBL			NA
POU5F1_IP_R1_peak_178	chr7	111499049	111499640	+	30	NA	intron (DOCK4, intron 23 of 51)	-intron (DOCK4, intron 23 of 51)	50783	DOCK4-AS1	DOCK4-AS1	NR_103806			DOCK4-AS1			NA
POU5F1_IP_R1_peak_84	chr19	6395931	6396239	+	30	NA	Intergenic	Intergenic	-2794	GTF2F1	GTF2F1	NM_002096			GTF2F1			NA
POU5F1_IP_R1_peak_87	chr19	41669128	41669505	+	30	NA	Intergenic	Intergenic	-29796	CYP2S1	CYP2S1	NM_030622			CYP2S1			NA
POU5F1_IP_R1_peak_179	chr8	6516304	6516794	+	30	NA	intron (MCPH1-AS1, intron 1 of 4)	-intron (MCPH1-AS1, intron 1 of 4)	-36808	MIR8055	MIR8055	NR_107022			MIR8055			NA
POU5F1_IP_R1_peak_117	chr3	97727646	97728043	+	30	NA	exon (GABRR3, exon 6 of 10)	-exon (GABRR3, exon 6 of 10)	26304	GABRR3	GABRR3	NR_047685			GABRR3			NA
POU5F1_IP_R1_peak_48	chr12	118375779	118376157	+	30	NA	intron (KSR2, intron 1 of 19)	-intron (KSR2, intron 1 of 19)	30060	KSR2	KSR2	NM_173598			KSR2			NA
POU5F1_IP_R1_peak_191	chr8	128835111	128835532	+	30	NA	Intergenic	Intergenic	27113	MIR1204	MIR1204	NR_031609			MIR1204			NA
POU5F1_IP_R1_peak_119	chr3	135456261	135456597	+	30	NA	Intergenic	Intergenic	-285148	PPP2R3A	PPP2R3A	NM_002718			PPP2R3A			NA
POU5F1_IP_R1_peak_85	chr19	14697355	14697718	+	30	NA	intron (CLEC17A, intron 2 of 12)	-intron (CLEC17A, intron 2 of 13)	3640	CLEC17A	CLEC17A	NM_001204118			CLEC17A			NA
POU5F1_IP_R1_peak_127	chr4	55393410	55393747	+	30	NA	Intergenic	Intergenic	-130517	KIT	KIT	NM_001093772			KIT			NA
POU5F1_IP_R1_peak_79	chr18	39182094	39182810	+	30	NA	Intergenic	Intergenic	-81891	KC6	KC6	NR_002838			KC6			NA
POU5F1_IP_R1_peak_115	chr3	67029885	67030386	+	29	NA	Intergenic	Intergenic	-18592	KBTBD8	KBTBD8	NM_032505			KBTBD8			NA
POU5F1_IP_R1_peak_135	chr4	181525442	181525880	+	29	NA	Intergenic	Intergenic	554641	LINC00290	LINC00290	NR_033918			LINC00290			NA
POU5F1_IP_R1_peak_99	chr2	172683814	172684167	+	29	NA	intron (SLC25A12, intron 7 of 16)	-intron (SLC25A12, intron 8 of 17)	66826	SLC25A12	SLC25A12	NM_003705			SLC25A12			NA
POU5F1_IP_R1_peak_80	chr18	45087441	45087900	+	29	NA	Intergenic	Intergenic	180803	MIR4527	MIR4527	NR_039753			MIR4527			NA
POU5F1_IP_R1_peak_27	chr10	100540656	100541063	+	29	NA	intron (HPSE2, intron 3 of 11)	-intron (HPSE2, intron 3 of 10)	143466	MIR6507	MIR6507	NR_106762			MIR6507			NA
POU5F1_IP_R1_peak_129	chr4	85568265	85568645	+	29	NA	intron (CDS1, intron 12 of 12)	-intron (CDS1, intron 12 of 12)	64398	CDS1	CDS1	NM_001263			CDS1			NA
POU5F1_IP_R1_peak_30	chr11	20808557	20808959	+	29	NA	intron (NELL1, intron 3 of 18)	-intron (NELL1, intron 4 of 20)	117661	NELL1	NELL1	NM_001288714			NELL1			NA
POU5F1_IP_R1_peak_78	chr18	31941854	31942315	+	29	NA	Intergenic	Intergenic	-138569	NOL4	NOL4	NM_003787			NOL4			NA
POU5F1_IP_R1_peak_176	chr7	106768932	106769248	+	28	NA	intron (PRKAR2B, intron 4 of 10)	-intron (PRKAR2B, intron 4 of 10)	-40370	HBP1	HBP1	NM_012257			HBP1			NA
POU5F1_IP_R1_peak_41	chr12	28390164	28390465	+	28	NA	Intergenic	Intergenic	-19819	CCDC91	CCDC91	NM_018318			CCDC91			NA
POU5F1_IP_R1_peak_59	chr14	78498296	78498743	+	28	NA	Intergenic	Intergenic	-138197	NRXN3	NRXN3	NM_138970			NRXN3			NA
POU5F1_IP_R1_peak_128	chr4	69929774	69930225	+	28	NA	Intergenic	Intergenic	-32194	UGT2B7	UGT2B7	NM_001074			UGT2B7			NA
POU5F1_IP_R1_peak_46	chr12	95884049	95884512	+	27	NA	intron (METAP2, intron 4 of 10)	-intron (METAP2, intron 4 of 10)	16458	METAP2	METAP2	NM_006838			METAP2			NA
POU5F1_IP_R1_peak_174	chr7	75893189	75893496	+	27	NA	intron (SRRM3, intron 8 of 15)	-intron (SRRM3, intron 8 of 14)	-38533	HSPB1	HSPB1	NM_001540			HSPB1			NA
POU5F1_IP_R1_peak_69	chr17	38284272	38284641	+	26	NA	intron (MSL1, intron 3 of 9)	-intron (MSL1, intron 3 of 9)	5666	MSL1	MSL1	NM_001012241			MSL1			NA
POU5F1_IP_R1_peak_153	chr6	3008944	3009260	+	26	NA	intron (NQO2, intron 2 of 5)	-intron (NQO2, intron 2 of 6)	9052	NQO2	NQO2	NM_001290222			NQO2			NA
POU5F1_IP_R1_peak_133	chr4	174254265	174254806	+	25	NA	intron (HMGB2, intron 2 of 4)	-intron (HMGB2, intron 2 of 4)	1060	HMGB2	HMGB2	NM_002129			HMGB2			NA
POU5F1_IP_R1_peak_40	chr12	25083504	25083850	+	25	NA	intron (BCAT1, intron 1 of 10)	-intron (BCAT1, intron 1 of 9)	18716	BCAT1	BCAT1	NM_005504			BCAT1			NA
POU5F1_IP_R1_peak_49	chr12	124972038	124972436	+	24	NA	intron (NCOR2, intron 3 of 48)	-intron (NCOR2, intron 3 of 47)	79773	NCOR2	NCOR2	NM_001077261			NCOR2			NA
POU5F1_IP_R1_peak_18	chr1	200533391	200533879	+	24	NA	intron (KIF14, intron 25 of 29)	-intron (KIF14, intron 23 of 27)	56227	KIF14	KIF14	NM_014875			KIF14			NA
POU5F1_IP_R1_peak_57	chr14	66280609	66280981	+	24	NA	Intergenic	Intergenic	342975	MIR625	MIR625	NR_030355			MIR625			NA
POU5F1_IP_R1_peak_28	chr10	110461781	110462103	+	24	NA	Intergenic	Intergenic	-468473	RNU6-53P	RNU6-53P	NR_046928			RNU6-53P			NA
POU5F1_IP_R1_peak_108	chr21	44414653	44415047	+	24	NA	intron (PKNOX1, intron 1 of 10)	-intron (PKNOX1, intron 1 of 9)	20230	PKNOX1	PKNOX1	NM_004571			PKNOX1			NA
POU5F1_IP_R1_peak_168	chr6	149186479	149186836	+	24	NA	intron (UST, intron 1 of 7)	-intron (UST, intron 1 of 7)	99163	LOC100128176	LOC100128176	NR_038408			LOC100128176			NA
POU5F1_IP_R1_peak_155	chr6	23797830	23798169	+	24	NA	Intergenic	Intergenic	-328415	NRSN1	NRSN1	NM_080723			NRSN1			NA
POU5F1_IP_R1_peak_147	chr5	104414335	104414791	+	24	NA	Intergenic	Intergenic	-20612	RAB9BP1	RAB9BP1	NR_000039			RAB9BP1			NA
POU5F1_IP_R1_peak_144	chr5	74706529	74706860	+	20	NA	intron (COL4A3BP, intron 8 of 16)	-intron (COL4A3BP, intron 9 of 18)	73701	HMGCR	HMGCR	NM_000859			HMGCR			NA
POU5F1_IP_R1_peak_180	chr8	28442079	28442408	+	20	NA	Intergenic	Intergenic	-79544	MIR4288	MIR4288	NR_036250			MIR4288			NA
POU5F1_IP_R1_peak_22	chr1	241164120	241164477	+	20	NA	intron (RGS7, intron 3 of 17)	-intron (RGS7, intron 3 of 15)	-131274	MIR3123	MIR3123	NR_036069			MIR3123			NA
POU5F1_IP_R1_peak_51	chr13	35469249	35469588	+	20	NA	Intergenic	Intergenic	-47006	NBEA	NBEA	NM_001204197			NBEA			NA
POU5F1_IP_R1_peak_70	chr17	42302157	42302603	+	20	NA	Intergenic	Intergenic	-3386	UBTF	UBTF	NR_045058			UBTF			NA
POU5F1_IP_R1_peak_189	chr8	123850423	123850833	+	19	NA	intron (ZHX2, intron 1 of 3)	-intron (ZHX2, intron 1 of 3)	56727	ZHX2	ZHX2	NM_014943			ZHX2			NA
POU5F1_IP_R1_peak_148	chr5	117097850	117098160	+	18	NA	intron (LOC102467224, intron 1 of 2)	-intron (LOC102467224, intron 1 of 2)	31949	LOC102467224	LOC102467224	NR_104997			LOC102467224			NA
POU5F1_IP_R1_peak_91	chr2	25235392	25235838	+	18	NA	intron (DNAJC27-AS1, intron 2 of 2)	-intron (DNAJC27-AS1, intron 2 of 2)	-29358	EFR3B	EFR3B	NM_014971			EFR3B			NA
POU5F1_IP_R1_peak_74	chr17	63281083	63281405	+	18	NA	Intergenic	Intergenic	147788	RGS9	RGS9	NM_001081955			RGS9			NA
POU5F1_IP_R1_peak_77	chr18	4081386	4081734	+	18	NA	intron (DLGAP1, intron 2 of 12)	-intron (DLGAP1, intron 2 of 11)	119207	DLGAP1-AS4	DLGAP1-AS4	NR_102696			DLGAP1-AS4			NA
POU5F1_IP_R1_peak_65	chr16	63618525	63618826	+	18	NA	Intergenic	Intergenic	1537365	CDH11	CDH11	NM_001308392			CDH11			NA
POU5F1_IP_R1_peak_33	chr11	45564191	45564498	+	18	NA	Intergenic	Intergenic	122862	CHST1	CHST1	NM_003654			CHST1			NA
POU5F1_IP_R1_peak_199	chrX	6160290	6160623	+	18	NA	Intergenic	Intergenic	-13533	NLGN4X	NLGN4X	NM_181332			NLGN4X			NA
POU5F1_IP_R1_peak_29	chr11	19188269	19188573	+	18	NA	intron (ZDHHC13, intron 14 of 16)	-intron (ZDHHC13, intron 13 of 15)	43697	CSRP3	CSRP3	NM_003476			CSRP3			NA
POU5F1_IP_R1_peak_98	chr2	91683456	91683984	+	18	NA	Intergenic	Intergenic	164255	LOC654342	LOC654342	NR_027238			LOC654342			NA
POU5F1_IP_R1_peak_86	chr19	40907282	40907691	+	18	NA	intron (PRX, intron 5 of 6)	-intron (PRX, intron 5 of 5)	-11358	HIPK4	HIPK4	NM_144685			HIPK4			NA
POU5F1_IP_R1_peak_126	chr4	19485620	19486128	+	18	NA	Intergenic	Intergenic	-769313	SLIT2	SLIT2	NM_001289135			SLIT2			NA
POU5F1_IP_R1_peak_182	chr8	32093376	32093679	+	18	NA	intron (NRG1, intron 1 of 4)	-intron (NRG1, intron 1 of 4)	-204735	NRG1-IT3	NRG1-IT3	NR_047475			NRG1-IT3			NA
POU5F1_IP_R1_peak_139	chr5	15523670	15524032	+	18	NA	intron (FBXL7, intron 1 of 3)	-intron (FBXL7, intron 1 of 3)	23546	FBXL7	FBXL7	NM_001278317			FBXL7			NA
POU5F1_IP_R1_peak_106	chr20	171317	171623	+	18	NA	Intergenic	Intergenic	-1148	DEFB128	DEFB128	NM_001037732			DEFB128			NA
POU5F1_IP_R1_peak_110	chr22	39490427	39490782	+	18	NA	Intergenic	Intergenic	-2625	APOBEC3H	APOBEC3H	NM_001166002			APOBEC3H			NA
POU5F1_IP_R1_peak_6	chr1	67907640	67907990	+	18	NA	Intergenic	Intergenic	-11692	SERBP1	SERBP1	NM_001018067			SERBP1			NA
POU5F1_IP_R1_peak_150	chr5	165177986	165178366	+	18	NA	Intergenic	Intergenic	1175199	CTB-7E3.1	CTB-7E3	NR_108020			CTB-7E3.1			NA
POU5F1_IP_R1_peak_58	chr14	72546442	72546796	+	18	NA	intron (RGS6, intron 2 of 16)	-intron (RGS6, intron 2 of 17)	146833	RGS6	RGS6	NM_001204422			RGS6			NA
POU5F1_IP_R1_peak_72	chr17	55955253	55955556	+	18	NA	intron (CUEDC1, intron 3 of 10)	-intron (CUEDC1, intron 3 of 10)	25346	CUEDC1	CUEDC1	NM_001271875			CUEDC1			NA
POU5F1_IP_R1_peak_13	chr1	167164707	167165169	+	18	NA	exon (LINC01363, exon 1 of 4)	-exon (LINC01363, exon 1 of 4)	104	LINC01363	LINC01363	NR_110811			LINC01363			NA
POU5F1_IP_R1_peak_186	chr8	58816366	58816803	+	18	NA	Intergenic	Intergenic	-74333	LINC01602	LINC01602	NR_130934			LINC01602			NA
POU5F1_IP_R1_peak_94	chr2	50451838	50452208	+	18	NA	intron (NRXN1, intron 2 of 5)	-intron (NRXN1, intron 19 of 23)	122871	NRXN1	NRXN1	NM_001135659			NRXN1			NA
POU5F1_IP_R1_peak_100	chr2	202222749	202223155	+	18	NA	promoter-TSS (ALS2CR12)	-promoter-TSS (ALS2CR12)	-831	ALS2CR12	ALS2CR12	NM_001289993			ALS2CR12			NA
POU5F1_IP_R1_peak_31	chr11	21348890	21349217	+	18	NA	intron (NELL1, intron 14 of 18)	-intron (NELL1, intron 15 of 20)	657956	NELL1	NELL1	NM_001288714			NELL1			NA
POU5F1_IP_R1_peak_25	chr10	63597871	63598177	+	18	NA	Intergenic	Intergenic	-62989	ARID5B	ARID5B	NM_001244638			ARID5B			NA
POU5F1_IP_R1_peak_93	chr2	31693398	31693761	+	18	NA	Intergenic	Intergenic	-55968	XDH	XDH	NM_000379			XDH			NA
POU5F1_IP_R1_peak_7	chr1	90858051	90858386	+	18	NA	Intergenic	Intergenic	324576	BARHL2	BARHL2	NM_020063			BARHL2			NA
POU5F1_IP_R1_peak_166	chr6	129895097	129895616	+	18	NA	Intergenic	Intergenic	136014	ARHGAP18	ARHGAP18	NM_033515			ARHGAP18			NA
POU5F1_IP_R1_peak_9	chr1	100223509	100223998	+	18	NA	intron (FRRS1, intron 1 of 16)	-intron (FRRS1, intron 1 of 16)	7596	FRRS1	FRRS1	NM_001013660			FRRS1			NA
POU5F1_IP_R1_peak_95	chr2	57027838	57028195	+	18	NA	Intergenic	Intergenic	-615111	LOC100129434	LOC100129434	NR_125368			LOC100129434			NA
POU5F1_IP_R1_peak_32	chr11	22228491	22228814	+	18	NA	intron (ANO5, intron 2 of 21)	-intron (ANO5, intron 2 of 21)	13930	ANO5	ANO5	NM_213599			ANO5			NA
POU5F1_IP_R1_peak_137	chr5	632642	632984	+	18	NA	intron (CEP72, intron 4 of 11)	-intron (CEP72, intron 4 of 11)	20408	CEP72	CEP72	NM_018140			CEP72			NA
POU5F1_IP_R1_peak_183	chr8	38756715	38757244	+	18	NA	Intergenic	Intergenic	-1774	PLEKHA2	PLEKHA2	NM_021623			PLEKHA2			NA
POU5F1_IP_R1_peak_185	chr8	51992016	51992356	+	18	NA	Intergenic	Intergenic	729819	PXDNL	PXDNL	NM_144651			PXDNL			NA
POU5F1_IP_R1_peak_107	chr20	21301606	21301978	+	18	NA	intron (XRN2, intron 1 of 29)	-intron (XRN2, intron 1 of 29)	17850	XRN2	XRN2	NM_012255			XRN2			NA
POU5F1_IP_R1_peak_63	chr14	100714147	100714472	+	18	NA	intron (YY1, intron 1 of 4)	-intron (YY1, intron 1 of 4)	9207	YY1	YY1	NM_003403			YY1			NA
POU5F1_IP_R1_peak_192	chr8	137919166	137919560	+	18	NA	Intergenic	Intergenic	506468	LOC101927915	LOC101927915	NR_125428			LOC101927915			NA
POU5F1_IP_R1_peak_164	chr6	122015372	122015855	+	18	NA	Intergenic	Intergenic	258890	GJA1	GJA1	NM_000165			GJA1			NA
POU5F1_IP_R1_peak_54	chr13	97503518	97503899	+	18	NA	Intergenic	Intergenic	132718	LINC00359	LINC00359	NR_051966			LINC00359			NA
POU5F1_IP_R1_peak_102	chr2	218080051	218080394	+	18	NA	Intergenic	Intergenic	344727	LOC101928327	LOC101928327	NR_130782			LOC101928327			NA
POU5F1_IP_R1_peak_2	chr1	8188858	8189360	+	18	NA	Intergenic	Intergenic	-79623	LOC102724539	LOC102724539	NR_125998			LOC102724539			NA
POU5F1_IP_R1_peak_121	chr3	153025387	153025801	+	18	NA	Intergenic	Intergenic	145593	RAP2B	RAP2B	NM_002886			RAP2B			NA
POU5F1_IP_R1_peak_20	chr1	230847569	230847920	+	18	NA	intron (AGT, intron 1 of 4)	-intron (AGT, intron 1 of 4)	2592	AGT	AGT	NM_000029			AGT			NA
