PeakID (cmd=annotatePeaks.pl PRDM1.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1753	chr8	37679272	37679576	+	0	NA	intron (ADGRA2, intron 2 of 18)	-intron (ADGRA2, intron 2 of 18)	25023	ADGRA2	ADGRA2	NM_032777			ADGRA2			NA
Interval_851	chr18	33767082	33767386	+	0	NA	promoter-TSS (MOCOS)	-promoter-TSS (MOCOS)	-246	MOCOS	MOCOS	NM_017947			MOCOS			NA
Interval_371	chr11	63334534	63334970	+	0	NA	Intergenic	Intergenic	-3897	HRASLS2	HRASLS2	NM_017878			HRASLS2			NA
Interval_1796	chr8	124286947	124288050	+	0	NA	promoter-TSS (ZHX1)	-promoter-TSS (ZHX1)	-771	ZHX1-C8orf76	ZHX1-C8orf76	NM_001204180			ZHX1-C8orf76			NA
Interval_764	chr17	38720420	38720745	+	0	NA	intron (CCR7, intron 1 of 2)	-intron (CCR7, intron 1 of 1)	1154	CCR7	CCR7	NM_001838			CCR7			NA
Interval_762	chr17	38601148	38601575	+	0	NA	intron (IGFBP4, intron 1 of 3)	-intron (IGFBP4, intron 1 of 3)	1685	IGFBP4	IGFBP4	NM_001552			IGFBP4			NA
Interval_813	chr17	66243504	66243949	+	0	NA	promoter-TSS (AMZ2)	-promoter-TSS (AMZ2)	-419	AMZ2	AMZ2	NM_001033569			AMZ2			NA
Interval_289	chr10	101780046	101780588	+	0	NA	Intergenic	Intergenic	-10641	DNMBP	DNMBP	NM_015221			DNMBP			NA
Interval_1136	chr20	2509732	2511696	+	0	NA	Intergenic	Intergenic	-6539	TMC2	TMC2	NM_080751			TMC2			NA
Interval_787	chr17	53819827	53820154	+	0	NA	Intergenic	Intergenic	-8350	PCTP	PCTP	NM_001102402			PCTP			NA
Interval_532	chr14	35885413	35885731	+	0	NA	Intergenic	Intergenic	-11612	NFKBIA	NFKBIA	NM_020529			NFKBIA			NA
Interval_145	chr1	164581508	164581789	+	0	NA	intron (PBX1, intron 2 of 8)	-intron (PBX1, intron 2 of 7)	53051	PBX1	PBX1	NM_001204963			PBX1			NA
Interval_1118	chr2	231454336	231454622	+	0	NA	Intergenic	Intergenic	110765	LOC151475	LOC151475	NR_040038			LOC151475			NA
Interval_468	chr12	116996962	116997852	+	0	NA	intron (MAP1LC3B2, intron 1 of 1)	-intron (MAP1LC3B2, intron 1 of 1)	221	MAP1LC3B2	MAP1LC3B2	NM_001085481			MAP1LC3B2			NA
Interval_1759	chr8	54570332	54570638	+	0	NA	Intergenic	Intergenic	185117	ATP6V1H	ATP6V1H	NM_015941			ATP6V1H			NA
Interval_543	chr14	67954882	67955194	+	0	NA	intron (TMEM229B, intron 1 of 2)	-intron (TMEM229B, intron 1 of 2)	26983	TMEM229B	TMEM229B	NM_182526			TMEM229B			NA
Interval_1064	chr2	128321138	128321695	+	0	NA	intron (MYO7B, intron 2 of 46)	-intron (MYO7B, intron 2 of 46)	28038	MYO7B	MYO7B	NM_001080527			MYO7B			NA
Interval_1005	chr2	30853937	30854478	+	0	NA	intron (LCLAT1, intron 6 of 6)	-intron (LCLAT1, intron 5 of 5)	176104	CAPN13	CAPN13	NM_144575			CAPN13			NA
Interval_1861	chr9	100716938	100717436	+	0	NA	Intergenic	Intergenic	-16512	HEMGN	HEMGN	NM_018437			HEMGN			NA
Interval_625	chr15	64926893	64927184	+	0	NA	intron (ZNF609, intron 2 of 8)	-intron (ZNF609, intron 2 of 8)	68442	OAZ2	OAZ2	NM_002537			OAZ2			NA
Interval_449	chr12	95209543	95209943	+	0	NA	Intergenic	Intergenic	-18431	MIR492	MIR492	NR_030171			MIR492			NA
Interval_1435	chr5	10590913	10591338	+	0	NA	intron (ANKRD33B, intron 1 of 3)	-intron (ANKRD33B, intron 1 of 3)	26690	ANKRD33B	ANKRD33B	NM_001164440			ANKRD33B			NA
Interval_1462	chr5	90458595	90458870	+	0	NA	intron (ADGRV1, intron 89 of 89)	-intron (ADGRV1, intron 89 of 89)	151487	LUCAT1	LUCAT1	NR_103549			LUCAT1			NA
Interval_1490	chr5	145600872	145601157	+	0	NA	intron (RBM27, intron 2 of 20)	-intron (RBM27, intron 2 of 20)	17851	RBM27	RBM27	NM_018989			RBM27			NA
Interval_1533	chr6	18263252	18263901	+	0	NA	intron (DEK, intron 2 of 10)	-intron (DEK, intron 2 of 9)	1223	DEK	DEK	NM_003472			DEK			NA
Interval_1387	chr4	38133856	38134192	+	0	NA	intron (TBC1D1, intron 18 of 19)	-intron (TBC1D1, intron 19 of 20)	171968	PTTG2	PTTG2	NM_006607			PTTG2			NA
Interval_1586	chr6	86575734	86576045	+	0	NA	Intergenic	Intergenic	-187438	SNHG5	SNHG5	NR_003038			SNHG5			NA
Interval_1691	chr7	99766238	99766699	+	0	NA	promoter-TSS (GAL3ST4)	-promoter-TSS (GAL3ST4)	-95	GAL3ST4	GAL3ST4	NM_024637			GAL3ST4			NA
Interval_814	chr17	66454534	66454810	+	0	NA	intron (PRKAR1A, intron 1 of 10)	-intron (PRKAR1A, intron 1 of 10)	-1019	WIPI1	WIPI1	NM_017983			WIPI1			NA
Interval_743	chr17	10135130	10135433	+	0	NA	Intergenic	Intergenic	-33413	GAS7	GAS7	NM_201433			GAS7			NA
Interval_279	chr10	90844022	90844589	+	0	NA	Intergenic	Intergenic	-21137	MIR4679-2	MIR4679-2	NR_039827			MIR4679-2			NA
Interval_1203	chr21	37442599	37442961	+	0	NA	exon (LOC100133286, exon 4 of 4)	-exon (LOC100133286, exon 4 of 4)	558	CBR1	CBR1	NM_001757			CBR1			NA
Interval_1513	chr5	176924417	176924978	+	0	NA	promoter-TSS (PDLIM7)	-promoter-TSS (PDLIM7)	-91	PDLIM7	PDLIM7	NM_213636			PDLIM7			NA
Interval_31	chr1	24553222	24553535	+	0	NA	Intergenic	Intergenic	26648	LOC284632	LOC284632	NR_027087			LOC284632			NA
Interval_1698	chr7	103452315	103452930	+	0	NA	intron (RELN, intron 3 of 63)	-intron (RELN, intron 3 of 64)	177341	RELN	RELN	NM_173054			RELN			NA
Interval_1163	chr20	42282561	42282863	+	0	NA	Intergenic	Intergenic	-12947	MYBL2	MYBL2	NM_002466			MYBL2			NA
Interval_874	chr18	77442748	77443262	+	0	NA	intron (CTDP1, intron 1 of 12)	-intron (CTDP1, intron 1 of 12)	3204	CTDP1	CTDP1	NM_004715			CTDP1			NA
Interval_93	chr1	112879651	112879964	+	0	NA	Intergenic	Intergenic	-58993	CTTNBP2NL	CTTNBP2NL	NM_018704			CTTNBP2NL			NA
Interval_1811	chr8	137931085	137932142	+	0	NA	Intergenic	Intergenic	494218	LOC101927915	LOC101927915	NR_125428			LOC101927915			NA
Interval_752	chr17	30850267	30850667	+	0	NA	intron (MYO1D, intron 21 of 21)	-intron (MYO1D, intron 21 of 21)	36362	CDK5R1	CDK5R1	NM_003885			CDK5R1			NA
Interval_1802	chr8	129389197	129389725	+	0	NA	Intergenic	Intergenic	187464	LINC00824	LINC00824	NR_121672			LINC00824			NA
Interval_1525	chr6	7722062	7722382	+	0	NA	Intergenic	Intergenic	-4789	BMP6	BMP6	NM_001718			BMP6			NA
Interval_229	chr1	244210950	244211768	+	0	NA	promoter-TSS (ZBTB18)	-promoter-TSS (ZBTB18)	-3202	ZBTB18	ZBTB18	NM_205768			ZBTB18			NA
Interval_1026	chr2	61045461	61045743	+	0	NA	Intergenic	Intergenic	62237	PAPOLG	PAPOLG	NM_022894			PAPOLG			NA
Interval_510	chr13	111594704	111595078	+	0	NA	Intergenic	Intergenic	-23483	LINC00431	LINC00431	NR_126378			LINC00431			NA
Interval_853	chr18	36520925	36521265	+	0	NA	Intergenic	Intergenic	681044	MIR924	MIR924	NR_030628			MIR924			NA
Interval_1752	chr8	37339314	37339814	+	0	NA	intron (LINC01605, intron 1 of 6)	-intron (LINC01605, intron 1 of 6)	39340	LINC01605	LINC01605	NR_121621			LINC01605			NA
Interval_1088	chr2	177337809	177338117	+	0	NA	Intergenic	Intergenic	127817	MIR1246	MIR1246	NR_031648			MIR1246			NA
Interval_1176	chr20	50671343	50671628	+	0	NA	Intergenic	Intergenic	137039	ZFP64	ZFP64	NM_018197			ZFP64			NA
Interval_1034	chr2	68430858	68431164	+	0	NA	intron (PPP3R1, intron 2 of 5)	-intron (PPP3R1, intron 2 of 5)	46006	PNO1	PNO1	NM_020143			PNO1			NA
Interval_562	chr14	78119594	78119912	+	0	NA	Intergenic	Intergenic	-36643	SPTLC2	SPTLC2	NM_004863			SPTLC2			NA
Interval_982	chr2	11970293	11970988	+	0	NA	Intergenic	Intergenic	6472	MIR4262	MIR4262	NR_036226			MIR4262			NA
Interval_317	chr11	3888516	3888880	+	0	NA	intron (STIM1, intron 1 of 11)	-intron (STIM1, intron 1 of 11)	11406	MIR4687	MIR4687	NR_039835			MIR4687			NA
Interval_1685	chr7	94538010	94538424	+	0	NA	promoter-TSS (PPP1R9A)	-promoter-TSS (PPP1R9A)	1268	PPP1R9A	PPP1R9A	NM_017650			PPP1R9A			NA
Interval_1800	chr8	127413500	127414173	+	0	NA	Intergenic	Intergenic	76096	LOC101927657	LOC101927657	NR_125421			LOC101927657			NA
Interval_1502	chr5	167913862	167914611	+	0	NA	intron (RARS, intron 1 of 14)	-intron (RARS, intron 1 of 14)	773	RARS	RARS	NM_002887			RARS			NA
Interval_363	chr11	47921157	47921630	+	0	NA	Intergenic	Intergenic	-51336	NUP160	NUP160	NM_015231			NUP160			NA
Interval_1328	chr3	127186138	127186426	+	0	NA	Intergenic	Intergenic	70341	LINC01471	LINC01471	NR_125397			LINC01471			NA
Interval_1593	chr6	119671504	119671847	+	0	NA	promoter-TSS (MAN1A1)	-promoter-TSS (MAN1A1)	-744	MAN1A1	MAN1A1	NM_005907			MAN1A1			NA
Interval_1075	chr2	151343428	151343740	+	0	NA	intron (RND3, intron 2 of 5)	-intron (RND3, intron 1 of 4)	625	RND3	RND3	NM_005168			RND3			NA
Interval_198	chr1	221915185	221915754	+	0	NA	promoter-TSS (DUSP10)	-promoter-TSS (DUSP10)	49	DUSP10	DUSP10	NM_007207			DUSP10			NA
Interval_763	chr17	38697265	38698180	+	0	NA	Intergenic	Intergenic	24014	CCR7	CCR7	NM_001838			CCR7			NA
Interval_1541	chr6	26568855	26569242	+	0	NA	Intergenic	Intergenic	-28123	ABT1	ABT1	NM_013375			ABT1			NA
Interval_577	chr14	102291405	102291742	+	0	NA	intron (PPP2R5C, intron 3 of 15)	-intron (PPP2R5C, intron 3 of 15)	15433	PPP2R5C	PPP2R5C	NM_002719			PPP2R5C			NA
Interval_1099	chr2	194558785	194559161	+	0	NA	Intergenic	Intergenic	-650020	LOC101927406	LOC101927406	NR_110222			LOC101927406			NA
Interval_70	chr1	59281825	59282197	+	0	NA	intron (LINC01135, intron 1 of 1)	-intron (LINC01135, intron 1 of 3)	31188	LINC01135	LINC01135	NR_108106			LINC01135			NA
Interval_139	chr1	161932092	161932420	+	0	NA	exon (ATF6, exon 16 of 16)	-exon (ATF6, exon 16 of 16)	61999	OLFML2B	OLFML2B	NM_001297713			OLFML2B			NA
Interval_284	chr10	93999601	93999936	+	0	NA	exon (CPEB3, exon 2 of 10)	-exon (CPEB3, exon 2 of 10)	51107	CPEB3	CPEB3	NM_014912			CPEB3			NA
Interval_742	chr17	7518201	7518801	+	0	NA	promoter-TSS (FXR2)	-promoter-TSS (FXR2)	-286	FXR2	FXR2	NM_004860			FXR2			NA
Interval_1786	chr8	103809482	103810116	+	0	NA	Intergenic	Intergenic	66629	AZIN1	AZIN1	NM_001301668			AZIN1			NA
Interval_1249	chr22	40915407	40916353	+	0	NA	intron (MKL1, intron 3 of 14)	-intron (MKL1, intron 3 of 13)	-1924	LOC101927257	LOC101927257	NR_109965			LOC101927257			NA
Interval_1563	chr6	34191841	34192210	+	0	NA	Intergenic	Intergenic	-14543	HMGA1	HMGA1	NM_145899			HMGA1			NA
Interval_245	chr10	7861149	7861513	+	0	NA	intron (TAF3, intron 1 of 6)	-intron (TAF3, intron 1 of 6)	864	TAF3	TAF3	NM_031923			TAF3			NA
Interval_848	chr18	29665149	29665498	+	0	NA	Intergenic	Intergenic	-7246	RNF138	RNF138	NM_016271			RNF138			NA
Interval_809	chr17	63845831	63846301	+	0	NA	intron (CEP112, intron 19 of 24)	-intron (CEP112, intron 21 of 26)	-23405	CEP112	CEP112	NM_001199165			CEP112			NA
Interval_1419	chr4	140477283	140477703	+	0	NA	exon (SETD7, exon 1 of 8)	-exon (SETD7, exon 1 of 8)	430	SETD7	SETD7	NM_030648			SETD7			NA
Interval_1842	chr9	37371025	37371486	+	0	NA	Intergenic	Intergenic	-51452	GRHPR	GRHPR	NM_012203			GRHPR			NA
Interval_1076	chr2	152145922	152146930	+	0	NA	promoter-TSS (NMI)	-promoter-TSS (NMI)	4	NMI	NMI	NM_004688			NMI			NA
Interval_555	chr14	75715879	75716587	+	0	NA	Intergenic	Intergenic	-29248	FOS	FOS	NM_005252			FOS			NA
Interval_709	chr16	53133734	53134014	+	0	NA	intron (CHD9, intron 1 of 38)	-intron (CHD9, intron 1 of 38)	44929	CHD9	CHD9	NM_025134			CHD9			NA
Interval_898	chr19	10978647	10978998	+	0	NA	intron (C19orf38, intron 6 of 6)	-intron (C19orf38, intron 6 of 6)	-3431	CARM1	CARM1	NM_199141			CARM1			NA
Interval_1823	chr9	13957186	13957520	+	0	NA	Intergenic	Intergenic	29383	LINC00583	LINC00583	NR_038194			LINC00583			NA
Interval_1242	chr22	36556527	36557093	+	0	NA	exon (APOL3, exon 1 of 4)	-exon (APOL3, exon 1 of 4)	5415	APOL3	APOL3	NM_145642			APOL3			NA
Interval_837	chr18	2960382	2960710	+	0	NA	intron (LPIN2, intron 2 of 19)	-intron (LPIN2, intron 2 of 19)	-13925	LOC727896	LOC727896	NR_026659			LOC727896			NA
Interval_1168	chr20	45479874	45480298	+	0	NA	Intergenic	Intergenic	-43177	EYA2	EYA2	NM_172110			EYA2			NA
Interval_402	chr11	117356791	117357247	+	0	NA	intron (DSCAML1, intron 11 of 32)	-intron (DSCAML1, intron 11 of 32)	158448	CEP164	CEP164	NM_014956			CEP164			NA
Interval_266	chr10	47104059	47104344	+	0	NA	intron (LINC00842, intron 1 of 3)	-intron (LINC00842, intron 1 of 3)	17476	CH17-360D5.1	CH17-360D5	NM_001278795			CH17-360D5.1			NA
Interval_1628	chr7	2749633	2750042	+	0	NA	intron (AMZ1, intron 6 of 6)	-intron (AMZ1, intron 5 of 5)	30681	AMZ1	AMZ1	NM_133463			AMZ1			NA
Interval_1382	chr4	9989474	9989899	+	0	NA	intron (SLC2A9, intron 3 of 11)	-intron (SLC2A9, intron 4 of 12)	33428	SLC2A9	SLC2A9	NM_001001290			SLC2A9			NA
Interval_313	chr11	796319	796739	+	0	NA	promoter-TSS (PANO1)	-promoter-TSS (PANO1)	-266	SLC25A22	SLC25A22	NM_001191061			SLC25A22			NA
Interval_307	chr10	125337133	125337610	+	0	NA	Intergenic	Intergenic	-88500	GPR26	GPR26	NM_153442			GPR26			NA
Interval_39	chr1	33225426	33225953	+	0	NA	intron (KIAA1522, intron 1 of 6)	-intron (KIAA1522, intron 1 of 6)	18177	KIAA1522	KIAA1522	NM_001198972			KIAA1522			NA
Interval_1687	chr7	95546379	95546660	+	0	NA	intron (DYNC1I1, intron 6 of 16)	-intron (DYNC1I1, intron 6 of 16)	144701	DYNC1I1	DYNC1I1	NM_001278422			DYNC1I1			NA
Interval_1813	chr8	142011868	142012713	+	0	NA	promoter-TSS (PTK2)	-promoter-TSS (PTK2)	-878	PTK2	PTK2	NM_005607			PTK2			NA
Interval_1087	chr2	176057923	176058389	+	0	NA	Intergenic	Intergenic	-11666	ATP5G3	ATP5G3	NM_001689			ATP5G3			NA
Interval_261	chr10	24752961	24753383	+	0	NA	intron (KIAA1217, intron 1 of 13)	-intron (KIAA1217, intron 6 of 18)	188558	MIR603	MIR603	NR_030334			MIR603			NA
Interval_485	chr12	133071071	133071673	+	0	NA	intron (FBRSL1, intron 1 of 16)	-intron (FBRSL1, intron 1 of 16)	4215	FBRSL1	FBRSL1	NM_001142641			FBRSL1			NA
Interval_1662	chr7	36166167	36166640	+	0	NA	Intergenic	Intergenic	-26433	EEPD1	EEPD1	NM_030636			EEPD1			NA
Interval_1182	chr20	57002953	57003789	+	0	NA	intron (VAPB, intron 2 of 2)	-intron (VAPB, intron 2 of 2)	39196	VAPB	VAPB	NM_004738			VAPB			NA
Interval_1354	chr3	182448123	182448721	+	0	NA	Intergenic	Intergenic	-62869	ATP11B	ATP11B	NM_014616			ATP11B			NA
Interval_798	chr17	57696703	57697326	+	0	NA	promoter-TSS (CLTC)	-promoter-TSS (CLTC)	-36	CLTC	CLTC	NM_004859			CLTC			NA
Interval_1634	chr7	12297133	12297689	+	0	NA	Intergenic	Intergenic	46563	TMEM106B	TMEM106B	NM_018374			TMEM106B			NA
Interval_703	chr16	30381903	30382184	+	0	NA	promoter-TSS (TBC1D10B)	-promoter-TSS (TBC1D10B)	-521	TBC1D10B	TBC1D10B	NM_015527			TBC1D10B			NA
Interval_793	chr17	56410928	56411233	+	0	NA	intron (BZRAP1-AS1, intron 1 of 3)	-intron (BZRAP1-AS1, intron 2 of 4)	2303	MIR4736	MIR4736	NR_039889			MIR4736			NA
Interval_1617	chr6	158235971	158236376	+	0	NA	Intergenic	Intergenic	-8030	SNX9	SNX9	NM_016224			SNX9			NA
Interval_152	chr1	171454082	171454683	+	0	NA	promoter-TSS (PRRC2C)	-promoter-TSS (PRRC2C)	-284	PRRC2C	PRRC2C	NM_015172			PRRC2C			NA
Interval_1132	chr20	388720	389677	+	0	NA	exon (RBCK1, exon 1 of 11)	-exon (RBCK1, exon 1 of 11)	489	RBCK1	RBCK1	NM_006462			RBCK1			NA
Interval_732	chr16	85588657	85588966	+	0	NA	Intergenic	Intergenic	-58031	GSE1	GSE1	NM_014615			GSE1			NA
Interval_1159	chr20	37471170	37471746	+	0	NA	intron (PPP1R16B, intron 2 of 10)	-intron (PPP1R16B, intron 2 of 9)	37110	PPP1R16B	PPP1R16B	NM_001172735			PPP1R16B			NA
Interval_221	chr1	235625163	235625545	+	0	NA	intron (B3GALNT2, intron 7 of 11)	-intron (B3GALNT2, intron 7 of 11)	42427	B3GALNT2	B3GALNT2	NM_001277155			B3GALNT2			NA
Interval_538	chr14	62327006	62327866	+	0	NA	Intergenic	Intergenic	98361	SNAPC1	SNAPC1	NM_003082			SNAPC1			NA
Interval_824	chr17	75606205	75606746	+	0	NA	Intergenic	Intergenic	63452	LOC100507351	LOC100507351	NR_040050			LOC100507351			NA
Interval_1756	chr8	42609495	42610248	+	0	NA	intron (CHRNA6, intron 5 of 5)	-intron (CHRNA6, intron 4 of 4)	14058	CHRNA6	CHRNA6	NM_004198			CHRNA6			NA
Interval_741	chr17	7464877	7465218	+	0	NA	promoter-TSS (SENP3)	-promoter-TSS (SENP3)	-262	SENP3-EIF4A1	SENP3-EIF4A1	NR_037926			SENP3-EIF4A1			NA
Interval_1881	chr9	125412977	125413288	+	0	NA	Intergenic	Intergenic	-10863	OR1L1	OR1L1	NM_001005236			OR1L1			NA
Interval_1414	chr4	122121878	122122171	+	0	NA	intron (TNIP3, intron 2 of 12)	-intron (TNIP3, intron 2 of 12)	-36529	TNIP3	TNIP3	NM_001244764			TNIP3			NA
Interval_835	chr18	158679	159164	+	0	NA	intron (USP14, intron 1 of 15)	-intron (USP14, intron 1 of 14)	438	USP14	USP14	NM_001037334			USP14			NA
Interval_836	chr18	658102	658603	+	0	NA	promoter-TSS (TYMSOS)	-promoter-TSS (TYMSOS)	-12	TYMSOS	TYMSOS	NM_001012716			TYMSOS			NA
Interval_1863	chr9	100968132	100968552	+	0	NA	intron (TBC1D2, intron 8 of 11)	-intron (TBC1D2, intron 9 of 12)	-13386	CORO2A	CORO2A	NM_052820			CORO2A			NA
Interval_968	chr19	56165201	56165511	+	0	NA	promoter-TSS (U2AF2)	-promoter-TSS (U2AF2)	-60	U2AF2	U2AF2	NM_001012478			U2AF2			NA
Interval_1620	chr6	167525974	167526561	+	0	NA	intron (CCR6, intron 1 of 2)	-intron (CCR6, intron 1 of 2)	-9974	CCR6	CCR6	NM_004367			CCR6			NA
Interval_169	chr1	193387542	193387844	+	0	NA	Intergenic	Intergenic	113818	LINC01031	LINC01031	NR_125789			LINC01031			NA
Interval_6	chr1	3227283	3227578	+	0	NA	intron (PRDM16, intron 3 of 16)	-intron (PRDM16, intron 3 of 16)	-143717	ARHGEF16	ARHGEF16	NM_014448			ARHGEF16			NA
Interval_928	chr19	37262120	37262830	+	0	NA	intron (ZNF850, intron 1 of 3)	-intron (ZNF850, intron 1 of 4)	1241	ZNF850	ZNF850	NM_001267779			ZNF850			NA
Interval_879	chr19	3098832	3099216	+	0	NA	intron (GNA11, intron 1 of 6)	-intron (GNA11, intron 1 of 6)	4616	GNA11	GNA11	NM_002067			GNA11			NA
Interval_44	chr1	36102887	36103537	+	0	NA	intron (PSMB2, intron 1 of 5)	-intron (PSMB2, intron 1 of 5)	4233	PSMB2	PSMB2	NM_002794			PSMB2			NA
Interval_1774	chr8	95905783	95906121	+	0	NA	intron (CCNE2, intron 4 of 11)	-intron (CCNE2, intron 4 of 11)	1530	CCNE2	CCNE2	NM_057749			CCNE2			NA
Interval_1578	chr6	53659371	53659697	+	0	NA	promoter-TSS (LRRC1)	-promoter-TSS (LRRC1)	-244	LRRC1	LRRC1	NM_018214			LRRC1			NA
Interval_1515	chr5	178132056	178132590	+	0	NA	Intergenic	Intergenic	25380	ZNF354A	ZNF354A	NM_005649			ZNF354A			NA
Interval_1152	chr20	32709069	32709540	+	0	NA	Intergenic	Intergenic	-9219	EIF2S2	EIF2S2	NM_003908			EIF2S2			NA
Interval_1915	chrX	47518110	47518517	+	0	NA	promoter-TSS (UXT-AS1)	-promoter-TSS (UXT-AS1)	81	UXT-AS1	UXT-AS1	NR_028119			UXT-AS1			NA
Interval_251	chr10	11760032	11760431	+	0	NA	Intergenic	Intergenic	-24125	ECHDC3	ECHDC3	NM_024693			ECHDC3			NA
Interval_1084	chr2	172174725	172175136	+	0	NA	exon (METTL8, exon 10 of 10)	-exon (METTL8, exon 10 of 10)	-115831	DCAF17	DCAF17	NM_025000			DCAF17			NA
Interval_906	chr19	13319029	13319848	+	0	NA	intron (CACNA1A, intron 46 of 46)	-intron (CACNA1A, intron 46 of 46)	58156	IER2	IER2	NM_004907			IER2			NA
Interval_162	chr1	175215216	175215605	+	0	NA	Intergenic	Intergenic	-53461	KIAA0040	KIAA0040	NM_001162894			KIAA0040			NA
Interval_1704	chr7	119738158	119738632	+	0	NA	Intergenic	Intergenic	-175327	KCND2	KCND2	NM_012281			KCND2			NA
Interval_1824	chr9	14317680	14318136	+	0	NA	intron (NFIB, intron 1 of 8)	-intron (NFIB, intron 1 of 8)	-3863	NFIB	NFIB	NM_001190738			NFIB			NA
Interval_1315	chr3	118561116	118561495	+	0	NA	Intergenic	Intergenic	-100618	IGSF11-AS1	IGSF11-AS1	NR_046230			IGSF11-AS1			NA
Interval_20	chr1	16747141	16747892	+	0	NA	intron (SPATA21, intron 5 of 12)	-intron (SPATA21, intron 5 of 12)	16403	SPATA21	SPATA21	NM_198546			SPATA21			NA
Interval_431	chr12	48551250	48551617	+	0	NA	promoter-TSS (ASB8)	-promoter-TSS (ASB8)	-56	ASB8	ASB8	NM_024095			ASB8			NA
Interval_1308	chr3	101497775	101498209	+	0	NA	promoter-TSS (NXPE3)	-promoter-TSS (NXPE3)	-37	NXPE3	NXPE3	NM_145037			NXPE3			NA
Interval_386	chr11	72904665	72905077	+	0	NA	Intergenic	Intergenic	-24472	P2RY2	P2RY2	NM_176072			P2RY2			NA
Interval_1612	chr6	154550751	154551247	+	0	NA	intron (IPCEF1, intron 5 of 11)	-intron (OPRM1, intron 3 of 3)	126901	IPCEF1	IPCEF1	NM_001130700			IPCEF1			NA
Interval_78	chr1	68121722	68122532	+	0	NA	Intergenic	Intergenic	-28733	GADD45A	GADD45A	NM_001199741			GADD45A			NA
Interval_1721	chr7	137601286	137601649	+	0	NA	intron (CREB3L2, intron 2 of 11)	-intron (CREB3L2, intron 2 of 3)	-36627	LOC100130880	LOC100130880	NM_001243523			LOC100130880			NA
Interval_171	chr1	194364756	194365107	+	0	NA	Intergenic	Intergenic	1091056	LINC01031	LINC01031	NR_125789			LINC01031			NA
Interval_1082	chr2	165870423	165870741	+	0	NA	Intergenic	Intergenic	-58547	SLC38A11	SLC38A11	NM_001199148			SLC38A11			NA
Interval_601	chr15	41206196	41206579	+	0	NA	Intergenic	Intergenic	-15144	DLL4	DLL4	NM_019074			DLL4			NA
Interval_525	chr14	25147858	25148467	+	0	NA	Intergenic	Intergenic	-44730	GZMB	GZMB	NM_004131			GZMB			NA
Interval_364	chr11	59383722	59384206	+	0	NA	promoter-TSS (OSBP)	-promoter-TSS (OSBP)	-347	OSBP	OSBP	NM_002556			OSBP			NA
