PeakID (cmd=annotatePeaks.pl anti-GATA3.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1975	chr10	106357342	106357501	+	0	NA	Intergenic	Intergenic	-43438	SORCS3	SORCS3	NM_014978			SORCS3			NA
Interval_11758	chr6	56820319	56820490	+	0	NA	promoter-TSS (DST)	-promoter-TSS (DST)	631	BEND6	BEND6	NM_152731			BEND6			NA
Interval_10294	chr4	140238974	140239198	+	0	NA	intron (NAA15, intron 1 of 19)	-intron (NAA15, intron 1 of 19)	16410	NAA15	NAA15	NM_057175			NAA15			NA
Interval_6613	chr2	23755334	23755782	+	0	NA	intron (KLHL29, intron 2 of 13)	-intron (KLHL29, intron 2 of 13)	147260	KLHL29	KLHL29	NM_052920			KLHL29			NA
Interval_10927	chr5	96270693	96270866	+	0	NA	promoter-TSS (LNPEP)	-promoter-TSS (LNPEP)	-23377	LNPEP	LNPEP	NM_175920			LNPEP			NA
Interval_10593	chr5	35130272	35130443	+	0	NA	intron (PRLR, intron 1 of 9)	-intron (PRLR, intron 1 of 9)	-12133	PRLR	PRLR	NM_000949			PRLR			NA
Interval_5829	chr17	76875747	76875972	+	0	NA	intron (TIMP2, intron 1 of 4)	-intron (TIMP2, intron 1 of 4)	23440	CEP295NL	CEP295NL	NM_001243540			CEP295NL			NA
Interval_7610	chr2	202116802	202117041	+	0	NA	intron (CASP8, intron 2 of 9)	-intron (CASP8, intron 2 of 8)	-5833	CASP8	CASP8	NM_033355			CASP8			NA
Interval_7996	chr20	32443171	32443330	+	0	NA	Intergenic	Intergenic	44140	CHMP4B	CHMP4B	NM_176812			CHMP4B			NA
Interval_11779	chr6	70479933	70480092	+	0	NA	intron (LMBRD1, intron 3 of 15)	-intron (LMBRD1, intron 3 of 15)	27037	LMBRD1	LMBRD1	NM_018368			LMBRD1			NA
Interval_12581	chr7	54878240	54878449	+	0	NA	Intergenic	Intergenic	51338	LOC100996654	LOC100996654	NR_110040			LOC100996654			NA
Interval_8889	chr3	40874413	40874668	+	0	NA	Intergenic	Intergenic	308171	ZNF621	ZNF621	NM_001287245			ZNF621			NA
Interval_9123	chr3	86418457	86418636	+	0	NA	Intergenic	Intergenic	71815	RNU6-69P	RNU6-69P	NR_046939			RNU6-69P			NA
Interval_13482	chr8	116235001	116235248	+	0	NA	Intergenic	Intergenic	446131	TRPS1	TRPS1	NM_014112			TRPS1			NA
Interval_1386	chr10	2940237	2940596	+	0	NA	Intergenic	Intergenic	-169296	PFKP	PFKP	NM_002627			PFKP			NA
Interval_4616	chr15	52024937	52025096	+	0	NA	intron (LYSMD2, intron 1 of 2)	-intron (LYSMD2, intron 1 of 2)	5304	LYSMD2	LYSMD2	NM_001143917			LYSMD2			NA
Interval_14180	chr9	128705910	128706097	+	0	NA	intron (PBX3, intron 4 of 6)	-intron (PBX3, intron 5 of 8)	196386	PBX3	PBX3	NM_001134778			PBX3			NA
Interval_8505	chr22	37545933	37546340	+	0	NA	promoter-TSS (IL2RB)	-promoter-TSS (IL2RB)	-174	IL2RB	IL2RB	NM_000878			IL2RB			NA
Interval_3536	chr13	23634912	23635071	+	0	NA	Intergenic	Intergenic	-120069	SGCG	SGCG	NM_000231			SGCG			NA
Interval_11984	chr6	115452151	115452371	+	0	NA	Intergenic	Intergenic	-907633	TPI1P3	TPI1P3	NR_027338			TPI1P3			NA
Interval_11302	chr5	176356676	176356940	+	0	NA	intron (UIMC1, intron 10 of 14)	-intron (UIMC1, intron 11 of 15)	-30475	HK3	HK3	NM_002115			HK3			NA
Interval_12394	chr7	18220461	18220664	+	0	NA	intron (HDAC9, intron 2 of 12)	-intron (HDAC9, intron 2 of 12)	-53630	MIR1302-6	MIR1302-6	NR_031635			MIR1302-6			NA
Interval_4980	chr16	11182624	11182915	+	0	NA	intron (CLEC16A, intron 18 of 22)	-intron (CLEC16A, intron 18 of 20)	144424	CLEC16A	CLEC16A	NM_015226			CLEC16A			NA
Interval_1433	chr10	7015790	7016155	+	0	NA	Intergenic	Intergenic	194412	LINC00707	LINC00707	NR_038291			LINC00707			NA
Interval_7792	chr2	235167386	235167597	+	0	NA	Intergenic	Intergenic	208145	SPP2	SPP2	NM_006944			SPP2			NA
Interval_8583	chr22	46635613	46635999	+	0	NA	exon (PPARA, exon 8 of 8)	-exon (PPARA, exon 8 of 8)	10387	CDPF1	CDPF1	NM_207327			CDPF1			NA
Interval_7126	chr2	108553317	108553495	+	0	NA	Intergenic	Intergenic	-49564	SLC5A7	SLC5A7	NM_001305007			SLC5A7			NA
Interval_1098	chr1	204347543	204347768	+	0	NA	Intergenic	Intergenic	-8808	LINC00628	LINC00628	NR_027022			LINC00628			NA
Interval_11231	chr5	157345883	157346283	+	0	NA	Intergenic	Intergenic	-59900	CLINT1	CLINT1	NM_014666			CLINT1			NA
Interval_4121	chr14	56640094	56640323	+	0	NA	intron (PELI2, intron 1 of 5)	-intron (PELI2, intron 1 of 5)	55115	PELI2	PELI2	NM_021255			PELI2			NA
Interval_14326	chrX	21992274	21992451	+	0	NA	intron (SMS, intron 4 of 10)	-intron (SMS, intron 2 of 8)	33671	SMS	SMS	NM_001258423			SMS			NA
Interval_10196	chr4	113859686	113859979	+	0	NA	intron (ANK2, intron 2 of 46)	-intron (ANK2, intron 2 of 46)	-110953	ANK2	ANK2	NM_020977			ANK2			NA
Interval_9769	chr4	11429632	11429963	+	0	NA	intron (HS3ST1, intron 1 of 1)	-intron (HS3ST1, intron 1 of 1)	740	HS3ST1	HS3ST1	NM_005114			HS3ST1			NA
Interval_2893	chr12	16138075	16138235	+	0	NA	intron (DERA, intron 6 of 8)	-intron (DERA, intron 5 of 7)	74049	DERA	DERA	NM_015954			DERA			NA
Interval_3159	chr12	65478627	65478816	+	0	NA	intron (WIF1, intron 2 of 9)	-intron (WIF1, intron 2 of 9)	36625	WIF1	WIF1	NM_007191			WIF1			NA
Interval_977	chr1	186049351	186049561	+	0	NA	intron (HMCN1, intron 55 of 106)	-intron (HMCN1, intron 55 of 106)	-215949	PRG4	PRG4	NM_001303232			PRG4			NA
Interval_2765	chr12	1231763	1231981	+	0	NA	intron (ERC1, intron 6 of 19)	-intron (ERC1, intron 6 of 18)	131498	ERC1	ERC1	NM_178040			ERC1			NA
Interval_13056	chr8	12570371	12570530	+	0	NA	Intergenic	Intergenic	-6186	MIR5692A1	MIR5692A1	NR_049875_1			MIR5692A1			NA
Interval_339	chr1	59453039	59453280	+	0	NA	Intergenic	Intergenic	-32989	LINC01358	LINC01358	NR_110626			LINC01358			NA
Interval_747	chr1	153809760	153809998	+	0	NA	intron (GATAD2B, intron 1 of 10)	-intron (GATAD2B, intron 1 of 10)	43456	LOC343052	LOC343052	NR_126565			LOC343052			NA
Interval_9453	chr3	156068787	156068936	+	0	NA	intron (KCNAB1, intron 1 of 13)	-intron (KCNAB1, intron 1 of 12)	95833	KCNAB1-AS1	KCNAB1-AS1	NR_046618			KCNAB1-AS1			NA
Interval_12375	chr7	12250653	12250876	+	0	NA	promoter-TSS (TMEM106B)	-promoter-TSS (TMEM106B)	-84	TMEM106B	TMEM106B	NM_018374			TMEM106B			NA
Interval_3856	chr13	92002950	92003108	+	0	NA	promoter-TSS (MIR18A)	-promoter-TSS (MIR18A)	24	MIR18A	MIR18A	NR_029488			MIR18A			NA
Interval_4267	chr14	77554589	77554859	+	0	NA	Intergenic	Intergenic	-9854	CIPC	CIPC	NM_033426			CIPC			NA
Interval_11365	chr6	4517307	4517481	+	0	NA	Intergenic	Intergenic	-93405	KU-MEL-3	KU-MEL-3	NR_122107			KU-MEL-3			NA
Interval_14183	chr9	129173954	129174259	+	0	NA	intron (MVB12B, intron 6 of 9)	-intron (MVB12B, intron 6 of 9)	-1323	NRON	NRON	NR_045006			NRON			NA
Interval_2201	chr11	19989420	19989608	+	0	NA	intron (NAV2, intron 10 of 37)	-intron (NAV2, intron 10 of 37)	81335	NAV2-AS2	NAV2-AS2	NR_046672			NAV2-AS2			NA
Interval_8277	chr21	37601379	37601554	+	0	NA	intron (DOPEY2, intron 13 of 36)	-intron (DOPEY2, intron 13 of 36)	64627	DOPEY2	DOPEY2	NM_005128			DOPEY2			NA
Interval_5553	chr17	38024498	38024741	+	0	NA	exon (ZPBP2, exon 1 of 7)	-exon (ZPBP2, exon 1 of 7)	164	ZPBP2	ZPBP2	NM_199321			ZPBP2			NA
Interval_3325	chr12	103163403	103163562	+	0	NA	Intergenic	Intergenic	54695	LINC00485	LINC00485	NR_033855			LINC00485			NA
Interval_7646	chr2	207395549	207395877	+	0	NA	intron (ADAM23, intron 4 of 25)	-intron (ADAM23, intron 4 of 25)	87345	ADAM23	ADAM23	NM_003812			ADAM23			NA
Interval_7454	chr2	175886739	175886898	+	0	NA	Intergenic	Intergenic	-16711	CHN1	CHN1	NM_001025201			CHN1			NA
Interval_9470	chr3	160117262	160117437	+	0	NA	promoter-TSS (IFT80)	-promoter-TSS (IFT80)	-29	IFT80	IFT80	NM_020800			IFT80			NA
Interval_12714	chr7	98248725	98248991	+	0	NA	intron (NPTX2, intron 1 of 4)	-intron (NPTX2, intron 1 of 4)	2261	NPTX2	NPTX2	NM_002523			NPTX2			NA
Interval_668	chr1	116272126	116272356	+	0	NA	intron (CASQ2, intron 5 of 10)	-intron (CASQ2, intron 5 of 10)	39185	CASQ2	CASQ2	NM_001232			CASQ2			NA
Interval_13419	chr8	101732398	101732598	+	0	NA	intron (PABPC1, intron 1 of 14)	-intron (PABPC1, intron 1 of 14)	1817	PABPC1	PABPC1	NM_002568			PABPC1			NA
Interval_5510	chr17	32769000	32769182	+	0	NA	Intergenic	Intergenic	-78839	CCL1	CCL1	NM_002981			CCL1			NA
Interval_7409	chr2	170690991	170691138	+	0	NA	intron (UBR3, intron 1 of 38)	-intron (UBR3, intron 1 of 38)	7046	UBR3	UBR3	NM_172070			UBR3			NA
Interval_10599	chr5	35830686	35831230	+	0	NA	Intergenic	Intergenic	-26019	IL7R	IL7R	NM_002185			IL7R			NA
Interval_1835	chr10	81947886	81948161	+	0	NA	intron (ANXA11, intron 1 of 16)	-intron (ANXA11, intron 1 of 14)	17305	ANXA11	ANXA11	NM_001278407			ANXA11			NA
Interval_9730	chr4	5183509	5183659	+	0	NA	intron (STK32B, intron 3 of 11)	-intron (STK32B, intron 4 of 12)	130340	STK32B	STK32B	NM_001306082			STK32B			NA
Interval_12983	chr7	157197673	157198023	+	0	NA	intron (DNAJB6, intron 8 of 9)	-intron (DNAJB6, intron 8 of 9)	-61077	LOC101927914	LOC101927914	NR_110157			LOC101927914			NA
Interval_7491	chr2	182305641	182306043	+	0	NA	Intergenic	Intergenic	-15777	ITGA4	ITGA4	NM_000885			ITGA4			NA
Interval_11648	chr6	40010377	40010565	+	0	NA	Intergenic	Intergenic	-108181	MOCS1	MOCS1	NM_001075098			MOCS1			NA
Interval_5720	chr17	62980304	62980463	+	0	NA	Intergenic	Intergenic	-8680	AMZ2P1	AMZ2P1	NR_026903			AMZ2P1			NA
Interval_3942	chr13	111819435	111819716	+	0	NA	intron (ARHGEF7, intron 3 of 19)	-intron (ARHGEF7, intron 3 of 19)	-13651	LOC101060553	LOC101060553	NR_120398			LOC101060553			NA
Interval_124	chr1	24828795	24828954	+	0	NA	promoter-TSS (RCAN3)	-promoter-TSS (RCAN3)	-24	RCAN3AS	RCAN3AS	NR_045408			RCAN3AS			NA
Interval_7763	chr2	231845320	231845467	+	0	NA	Intergenic	Intergenic	15354	SPATA3-AS1	SPATA3-AS1	NR_033879			SPATA3-AS1			NA
Interval_4270	chr14	77656121	77656280	+	0	NA	intron (TMEM63C, intron 1 of 23)	-intron (TMEM63C, intron 1 of 23)	8098	TMEM63C	TMEM63C	NM_020431			TMEM63C			NA
Interval_1721	chr10	63727642	63727825	+	0	NA	intron (ARID5B, intron 3 of 9)	-intron (ARID5B, intron 3 of 9)	-8328	MIR548AV	MIR548AV	NR_049858			MIR548AV			NA
Interval_6361	chr19	24315030	24315255	+	0	NA	Intergenic	Intergenic	31107	HAVCR1P1	HAVCR1P1	NR_003603			HAVCR1P1			NA
Interval_12032	chr6	127767412	127767712	+	0	NA	exon (SOGA3, exon 11 of 12)	-exon (SOGA3, exon 11 of 12)	12973	KIAA0408	KIAA0408	NM_014702			KIAA0408			NA
Interval_6881	chr2	63733506	63733862	+	0	NA	intron (WDPCP, intron 1 of 17)	-intron (WDPCP, intron 1 of 17)	-68543	WDPCP	WDPCP	NM_015910			WDPCP			NA
Interval_3346	chr12	105114314	105114600	+	0	NA	intron (CHST11, intron 2 of 2)	-intron (CHST11, intron 2 of 2)	129046	MIR3922	MIR3922	NR_037487			MIR3922			NA
Interval_2114	chr11	3206219	3206378	+	0	NA	Intergenic	Intergenic	-19716	OSBPL5	OSBPL5	NM_145638			OSBPL5			NA
Interval_7359	chr2	162806916	162807106	+	0	NA	intron (SLC4A10, intron 17 of 25)	-intron (SLC4A10, intron 18 of 26)	124041	DPP4	DPP4	NM_001935			DPP4			NA
Interval_10743	chr5	66301684	66301907	+	0	NA	intron (MAST4, intron 1 of 25)	-intron (MAST4, intron 4 of 28)	-1813	LOC101928794	LOC101928794	NR_111908			LOC101928794			NA
Interval_8072	chr20	45318086	45318278	+	0	NA	promoter-TSS (TP53RK)	-promoter-TSS (TP53RK)	94	TP53RK	TP53RK	NM_033550			TP53RK			NA
Interval_1069	chr1	201508667	201508948	+	0	NA	Intergenic	Intergenic	19775	RPS10P7	RPS10P7	NR_026667			RPS10P7			NA
Interval_5358	chr17	1958248	1958407	+	0	NA	promoter-TSS (HIC1)	-promoter-TSS (HIC1)	-66	HIC1	HIC1	NM_001098202			HIC1			NA
Interval_4415	chr14	103884812	103884972	+	0	NA	intron (MARK3, intron 2 of 15)	-intron (MARK3, intron 2 of 17)	33191	MARK3	MARK3	NM_001128919			MARK3			NA
Interval_4847	chr15	88039194	88039353	+	0	NA	Intergenic	Intergenic	-80887	LINC00052	LINC00052	NR_026869			LINC00052			NA
Interval_12608	chr7	68019878	68020037	+	0	NA	Intergenic	Intergenic	534717	LOC102723427	LOC102723427	NR_120514			LOC102723427			NA
Interval_9530	chr3	174259827	174260063	+	0	NA	Intergenic	Intergenic	-317166	NAALADL2	NAALADL2	NM_207015			NAALADL2			NA
Interval_12930	chr7	145787148	145787368	+	0	NA	Intergenic	Intergenic	-26195	CNTNAP2	CNTNAP2	NM_014141			CNTNAP2			NA
Interval_10360	chr4	153604225	153604501	+	0	NA	Intergenic	Intergenic	-3046	TMEM154	TMEM154	NM_152680			TMEM154			NA
Interval_9581	chr3	182524910	182525069	+	0	NA	intron (ATP11B, intron 1 of 29)	-intron (ATP11B, intron 1 of 29)	13698	ATP11B	ATP11B	NM_014616			ATP11B			NA
Interval_14137	chr9	123571745	123571904	+	0	NA	Intergenic	Intergenic	16049	LOC100288842	LOC100288842	NR_027442			LOC100288842			NA
Interval_12007	chr6	119764154	119764454	+	0	NA	Intergenic	Intergenic	48163	LOC285762	LOC285762	NR_046100			LOC285762			NA
Interval_6212	chr19	1077139	1077298	+	0	NA	exon (HMHA1, exon 1 of 13)	-exon (HMHA1, exon 1 of 13)	10053	HMHA1	HMHA1	NM_001282334			HMHA1			NA
Interval_10463	chr4	178672423	178672702	+	0	NA	intron (LINC01098, intron 2 of 5)	-intron (LINC01098, intron 2 of 5)	22651	LINC01098	LINC01098	NR_028342			LINC01098			NA
Interval_13179	chr8	37974026	37974219	+	0	NA	intron (ASH2L, intron 7 of 15)	-intron (ASH2L, intron 7 of 15)	11111	ASH2L	ASH2L	NM_001261832			ASH2L			NA
Interval_10247	chr4	124317896	124318055	+	0	NA	promoter-TSS (SPRY1)	-promoter-TSS (SPRY1)	25	SPRY1	SPRY1	NM_005841			SPRY1			NA
Interval_3472	chr12	124310172	124310359	+	0	NA	intron (DNAH10, intron 23 of 77)	-intron (DNAH10, intron 23 of 77)	63223	DNAH10	DNAH10	NM_207437			DNAH10			NA
Interval_176	chr1	31238843	31239019	+	0	NA	Intergenic	Intergenic	-8248	LAPTM5	LAPTM5	NM_006762			LAPTM5			NA
Interval_2899	chr12	18141785	18141944	+	0	NA	Intergenic	Intergenic	101263	RERGL	RERGL	NM_001286201			RERGL			NA
Interval_12857	chr7	135686777	135686936	+	0	NA	Intergenic	Intergenic	-24652	MTPN	MTPN	NM_145808			MTPN			NA
Interval_4593	chr15	48785226	48785389	+	0	NA	intron (FBN1, intron 23 of 65)	-intron (FBN1, intron 23 of 65)	152678	FBN1	FBN1	NM_000138			FBN1			NA
Interval_8269	chr21	36810798	36811153	+	0	NA	intron (LOC100506403, intron 2 of 2)	-intron (LOC100506403, intron 2 of 2)	142087	LOC100506403	LOC100506403	NR_073512			LOC100506403			NA
Interval_1333	chr1	240905282	240905441	+	0	NA	intron (MIR1273E, intron 3 of 3)	-intron (MIR1273E, intron 3 of 3)	-129899	GREM2	GREM2	NM_022469			GREM2			NA
Interval_631	chr1	112046215	112046717	+	0	NA	exon (ADORA3, exon 1 of 2)	-exon (ADORA3, exon 1 of 2)	277	TMIGD3	TMIGD3	NM_001302680			TMIGD3			NA
Interval_10499	chr5	217678	217968	+	0	NA	promoter-TSS (SDHA)	-promoter-TSS (SDHA)	474	CCDC127	CCDC127	NM_145265			CCDC127			NA
Interval_6895	chr2	64716583	64716752	+	0	NA	Intergenic	Intergenic	-34772	AFTPH	AFTPH	NM_017657			AFTPH			NA
Interval_6967	chr2	77717041	77717200	+	0	NA	intron (LRRTM4, intron 3 of 3)	-intron (LRRTM4, intron 3 of 3)	32382	LRRTM4	LRRTM4	NM_001282928			LRRTM4			NA
Interval_7432	chr2	173327982	173328288	+	0	NA	intron (ITGA6, intron 1 of 24)	-intron (ITGA6, intron 1 of 25)	35821	ITGA6	ITGA6	NM_001079818			ITGA6			NA
Interval_3821	chr13	79770536	79770825	+	0	NA	Intergenic	Intergenic	209676	RBM26	RBM26	NM_022118			RBM26			NA
Interval_5087	chr16	30432349	30432508	+	0	NA	Intergenic	Intergenic	8945	DCTPP1	DCTPP1	NM_024096			DCTPP1			NA
Interval_338	chr1	59399151	59399310	+	0	NA	Intergenic	Intergenic	-86918	LINC01358	LINC01358	NR_110626			LINC01358			NA
Interval_684	chr1	117529873	117530074	+	0	NA	exon (PTGFRN, exon 9 of 9)	-exon (PTGFRN, exon 9 of 9)	-14399	CD101	CD101	NM_001256109			CD101			NA
Interval_109	chr1	23345929	23346216	+	0	NA	exon (KDM1A, exon 1 of 21)	-exon (KDM1A, exon 1 of 21)	131	KDM1A	KDM1A	NM_015013			KDM1A			NA
Interval_13759	chr9	15358193	15358404	+	0	NA	Intergenic	Intergenic	-50940	TTC39B	TTC39B	NM_152574			TTC39B			NA
Interval_220	chr1	36772293	36772459	+	0	NA	promoter-TSS (SH3D21)	-promoter-TSS (SH3D21)	-332	SH3D21	SH3D21	NM_001162530			SH3D21			NA
Interval_11881	chr6	94538839	94539036	+	0	NA	Intergenic	Intergenic	122136	TSG1	TSG1	NR_015362			TSG1			NA
Interval_14502	chrX	128870436	128870769	+	0	NA	Intergenic	Intergenic	-2344	XPNPEP2	XPNPEP2	NM_003399			XPNPEP2			NA
Interval_1803	chr10	76345878	76346219	+	0	NA	intron (ADK, intron 7 of 10)	-intron (ADK, intron 7 of 10)	-56966	LOC102723439	LOC102723439	NR_120673			LOC102723439			NA
Interval_161	chr1	27612314	27612638	+	0	NA	intron (WDTC1, intron 5 of 15)	-intron (WDTC1, intron 5 of 15)	-36160	TMEM222	TMEM222	NM_032125			TMEM222			NA
Interval_6909	chr2	65605646	65605850	+	0	NA	intron (SPRED2, intron 1 of 5)	-intron (SPRED2, intron 1 of 5)	53908	SPRED2	SPRED2	NM_181784			SPRED2			NA
Interval_2148	chr11	9792291	9792541	+	0	NA	intron (SBF2-AS1, intron 1 of 2)	-intron (SBF2-AS1, intron 1 of 2)	-11336	LOC440028	LOC440028	NR_033972			LOC440028			NA
Interval_3836	chr13	83086458	83086653	+	0	NA	Intergenic	Intergenic	-1285437	LINC00564	LINC00564	NR_047494			LINC00564			NA
Interval_7870	chr20	5574183	5574342	+	0	NA	intron (GPCPD1, intron 3 of 19)	-intron (GPCPD1, intron 3 of 19)	17410	GPCPD1	GPCPD1	NM_019593			GPCPD1			NA
Interval_503	chr1	92094348	92094610	+	0	NA	Intergenic	Intergenic	128075	CDC7	CDC7	NM_001134419			CDC7			NA
Interval_12069	chr6	134860992	134861334	+	0	NA	promoter-TSS (LOC101928304)	-promoter-TSS (LOC101928304)	-20	LOC101928304	LOC101928304	NR_125855			LOC101928304			NA
Interval_6512	chr2	458108	458385	+	0	NA	Intergenic	Intergenic	-169938	FAM150B	FAM150B	NM_001002919			FAM150B			NA
Interval_4273	chr14	78108057	78108448	+	0	NA	Intergenic	Intergenic	-25142	SPTLC2	SPTLC2	NM_004863			SPTLC2			NA
Interval_11946	chr6	109812633	109812795	+	0	NA	Intergenic	Intergenic	-8274	ZBTB24	ZBTB24	NM_014797			ZBTB24			NA
Interval_3466	chr12	123560471	123560633	+	0	NA	intron (PITPNM2, intron 1 of 24)	-intron (PITPNM2, intron 1 of 24)	-5379	LOC100507091	LOC100507091	NR_038290			LOC100507091			NA
Interval_720	chr1	150025933	150026092	+	0	NA	Intergenic	Intergenic	-13713	VPS45	VPS45	NM_001279353			VPS45			NA
Interval_8673	chr3	12467643	12467973	+	0	NA	intron (PPARG, intron 7 of 7)	-intron (PPARG, intron 6 of 6)	-58202	TSEN2	TSEN2	NM_025265			TSEN2			NA
Interval_10402	chr4	165011762	165011987	+	0	NA	intron (MARCH1, intron 2 of 7)	-intron (MARCH1, intron 2 of 7)	106989	ANP32C	ANP32C	NM_012403			ANP32C			NA
Interval_5150	chr16	56881203	56881505	+	0	NA	Intergenic	Intergenic	-11076	MIR138-2	MIR138-2	NR_029680			MIR138-2			NA
Interval_3004	chr12	43601745	43601904	+	0	NA	Intergenic	Intergenic	343900	ADAMTS20	ADAMTS20	NM_025003			ADAMTS20			NA
Interval_7465	chr2	177679481	177679776	+	0	NA	Intergenic	Intergenic	177146	LINC01117	LINC01117	NR_110599			LINC01117			NA
Interval_12061	chr6	133451698	133451857	+	0	NA	Intergenic	Intergenic	42558	LINC00326	LINC00326	NR_026969			LINC00326			NA
Interval_9430	chr3	152147382	152147541	+	0	NA	intron (MBNL1, intron 2 of 7)	-intron (MBNL1, intron 3 of 9)	-88682	TMEM14E	TMEM14E	NM_001123228			TMEM14E			NA
Interval_6316	chr19	15955287	15955581	+	0	NA	Intergenic	Intergenic	15677	UCA1	UCA1	NR_015379			UCA1			NA
Interval_2864	chr12	12556771	12557088	+	0	NA	intron (LOH12CR1, intron 2 of 3)	-intron (LOH12CR1, intron 2 of 3)	46916	LOH12CR1	LOH12CR1	NM_058169			LOH12CR1			NA
Interval_9076	chr3	71711519	71711675	+	0	NA	Intergenic	Intergenic	-78457	FOXP1	FOXP1	NM_001244810			FOXP1			NA
Interval_4588	chr15	45909597	45909779	+	0	NA	Intergenic	Intergenic	-17250	SQRDL	SQRDL	NM_021199			SQRDL			NA
Interval_7979	chr20	30633368	30633515	+	0	NA	Intergenic	Intergenic	-6550	HCK	HCK	NM_002110			HCK			NA
Interval_11482	chr6	21217494	21217653	+	0	NA	intron (CDKAL1, intron 15 of 15)	-intron (CDKAL1, intron 15 of 15)	294550	LINC00581	LINC00581	NR_103790			LINC00581			NA
Interval_13355	chr8	82750330	82750514	+	0	NA	intron (SNX16, intron 2 of 7)	-intron (SNX16, intron 3 of 8)	4099	SNX16	SNX16	NM_152837			SNX16			NA
Interval_7220	chr2	131873379	131873695	+	0	NA	intron (PLEKHB2, intron 1 of 6)	-intron (PLEKHB2, intron 1 of 7)	11117	PLEKHB2	PLEKHB2	NM_001309451			PLEKHB2			NA
Interval_10933	chr5	97609953	97610112	+	0	NA	Intergenic	Intergenic	-494967	RGMB	RGMB	NM_001012761			RGMB			NA
Interval_10835	chr5	80833969	80834438	+	0	NA	intron (SSBP2, intron 4 of 16)	-intron (SSBP2, intron 4 of 16)	-144215	ACOT12	ACOT12	NM_130767			ACOT12			NA
Interval_6654	chr2	28462948	28463095	+	0	NA	intron (BRE, intron 9 of 12)	-intron (BRE, intron 8 of 11)	-33193	LOC100505736	LOC100505736	NR_120504			LOC100505736			NA
Interval_9354	chr3	140692093	140692292	+	0	NA	intron (SLC25A36, intron 5 of 6)	-intron (SLC25A36, intron 5 of 6)	31530	SLC25A36	SLC25A36	NM_001104647			SLC25A36			NA
Interval_7809	chr2	238343669	238343952	+	0	NA	Intergenic	Intergenic	-20960	COL6A3	COL6A3	NM_004369			COL6A3			NA
Interval_9515	chr3	171818936	171819183	+	0	NA	intron (FNDC3B, intron 1 of 25)	-intron (FNDC3B, intron 1 of 25)	61641	FNDC3B	FNDC3B	NM_001135095			FNDC3B			NA
Interval_7623	chr2	204516208	204516441	+	0	NA	Intergenic	Intergenic	-54874	CD28	CD28	NM_006139			CD28			NA
