PeakID (cmd=annotatePeaks.pl ENCAB606JHO.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_7933	chr19	41933776	41934109	+	0	NA	intron (B3GNT8, intron 1 of 2)	-intron (B3GNT8, intron 1 of 2)	693	B3GNT8	B3GNT8	NM_198540			B3GNT8			NA
Interval_4433	chr13	41710946	41711278	+	0	NA	intron (LOC101929140, intron 1 of 3)	-intron (LOC101929140, intron 1 of 3)	4048	LOC101929140	LOC101929140	NR_120423			LOC101929140			NA
Interval_7462	chr19	9250714	9251654	+	0	NA	exon (ZNF317, exon 1 of 6)	-exon (ZNF317, exon 1 of 6)	128	ZNF317	ZNF317	NM_001190791			ZNF317			NA
Interval_1800	chr1	235460252	235460571	+	0	NA	intron (ARID4B, intron 2 of 22)	-intron (ARID4B, intron 2 of 23)	31121	ARID4B	ARID4B	NM_016374			ARID4B			NA
Interval_13055	chr6	27463471	27463862	+	0	NA	Intergenic	Intergenic	-22769	ZNF184	ZNF184	NM_007149			ZNF184			NA
Interval_1874	chr1	246734619	246735083	+	0	NA	intron (CNST, intron 1 of 8)	-intron (CNST, intron 1 of 8)	5212	CNST	CNST	NM_152609			CNST			NA
Interval_13177	chr6	30650092	30650961	+	0	NA	intron (PPP1R18, intron 1 of 2)	-intron (PPP1R18, intron 2 of 3)	5146	PPP1R18	PPP1R18	NM_001134870_7			PPP1R18			NA
Interval_15574	chr9	34139797	34140133	+	0	NA	Intergenic	Intergenic	-13194	DCAF12	DCAF12	NM_015397			DCAF12			NA
Interval_9946	chr20	56827074	56827444	+	0	NA	intron (PPP4R1L, intron 4 of 16)	-intron (PPP4R1L, intron 4 of 16)	-23550	ANKRD60	ANKRD60	NM_001304369			ANKRD60			NA
Interval_16255	chrX	55478283	55478605	+	0	NA	promoter-TSS (MAGEH1)	-promoter-TSS (MAGEH1)	-78	MAGEH1	MAGEH1	NM_014061			MAGEH1			NA
Interval_12238	chr5	72792701	72793058	+	0	NA	Intergenic	Intergenic	-1371	BTF3	BTF3	NM_001207			BTF3			NA
Interval_10006	chr21	15352517	15352776	+	0	NA	exon (ANKRD20A11P, exon 1 of 6)	-exon (ANKRD20A11P, exon 1 of 6)	119	ANKRD20A11P	ANKRD20A11P	NR_027270			ANKRD20A11P			NA
Interval_3311	chr11	100551964	100552227	+	0	NA	Intergenic	Intergenic	-6312	ARHGAP42	ARHGAP42	NM_152432			ARHGAP42			NA
Interval_11942	chr4	164471379	164471641	+	0	NA	intron (MARCH1, intron 2 of 3)	-intron (MARCH1, intron 6 of 7)	55837	TMA16	TMA16	NM_018352			TMA16			NA
Interval_8281	chr19	52772450	52773150	+	0	NA	promoter-TSS (ZNF766)	-promoter-TSS (ZNF766)	-24	ZNF766	ZNF766	NM_001010851			ZNF766			NA
Interval_6483	chr17	36208805	36209123	+	0	NA	intron (YWHAEP7, intron 5 of 6)	-intron (YWHAEP7, intron 5 of 6)	35399	YWHAEP7	YWHAEP7	NR_024178			YWHAEP7			NA
Interval_13504	chr6	68750190	68750926	+	0	NA	Intergenic	Intergenic	-14685	LOC102723883	LOC102723883	NR_125869			LOC102723883			NA
Interval_1962	chr10	9919926	9920176	+	0	NA	Intergenic	Intergenic	-180634	LOC101928298	LOC101928298	NR_120636			LOC101928298			NA
Interval_7052	chr18	1406333	1406696	+	0	NA	Intergenic	Intergenic	-46884	LINC00470	LINC00470	NR_110327			LINC00470			NA
Interval_14011	chr7	5821298	5821558	+	0	NA	promoter-TSS (RNF216)	-promoter-TSS (RNF216)	-67	RNF216	RNF216	NM_207111			RNF216			NA
Interval_15559	chr9	32573066	32573434	+	0	NA	promoter-TSS (NDUFB6)	-promoter-TSS (NDUFB6)	-68	NDUFB6	NDUFB6	NM_182739			NDUFB6			NA
Interval_6448	chr17	32291314	32291861	+	0	NA	intron (ASIC2, intron 1 of 9)	-intron (ASIC2, intron 1 of 9)	219064	LOC101927239	LOC101927239	NR_110748			LOC101927239			NA
Interval_12550	chr5	141846235	141846510	+	0	NA	Intergenic	Intergenic	141514	LOC101926941	LOC101926941	NR_120664			LOC101926941			NA
Interval_2411	chr10	99050775	99051088	+	0	NA	intron (ARHGAP19-SLIT1, intron 1 of 14)	-intron (ARHGAP19, intron 1 of 10)	1499	ARHGAP19-SLIT1	ARHGAP19-SLIT1	NR_037909			ARHGAP19-SLIT1			NA
Interval_3199	chr11	76758597	76758911	+	0	NA	Intergenic	Intergenic	13369	B3GNT6	B3GNT6	NM_138706			B3GNT6			NA
Interval_4283	chr12	123518531	123518787	+	0	NA	intron (PITPNM2, intron 2 of 24)	-intron (PITPNM2, intron 2 of 24)	-23384	MIR4304	MIR4304	NR_036187			MIR4304			NA
Interval_16516	chrX	153757434	153757680	+	0	NA	Intergenic	Intergenic	-12991	FAM3A	FAM3A	NM_001282312			FAM3A			NA
Interval_281	chr1	24306582	24307349	+	0	NA	promoter-TSS (SRSF10)	-promoter-TSS (SRSF10)	-12	SRSF10	SRSF10	NM_001191007_1			SRSF10			NA
Interval_13647	chr6	114242027	114242466	+	0	NA	exon (FLJ34503, exon 4 of 4)	-exon (FLJ34503, exon 4 of 4)	16695	FLJ34503	FLJ34503	NR_027060			FLJ34503			NA
Interval_10795	chr3	48936282	48936558	+	0	NA	promoter-TSS (SLC25A20)	-promoter-TSS (SLC25A20)	6	SLC25A20	SLC25A20	NM_000387			SLC25A20			NA
Interval_15492	chr8	146012717	146014053	+	0	NA	promoter-TSS (ZNF34)	-promoter-TSS (ZNF34)	-655	ZNF34	ZNF34	NM_001286769			ZNF34			NA
Interval_2484	chr10	104503025	104503948	+	0	NA	promoter-TSS (WBP1L)	-promoter-TSS (WBP1L)	29188	SFXN2	SFXN2	NM_178858			SFXN2			NA
Interval_6184	chr17	1945204	1946023	+	0	NA	intron (OVCA2, intron 1 of 1)	-intron (DPH1, intron 12 of 12)	336	OVCA2	OVCA2	NM_080822			OVCA2			NA
Interval_4107	chr12	107350554	107351327	+	0	NA	intron (TMEM263, intron 2 of 3)	-intron (TMEM263, intron 2 of 3)	1396	TMEM263	TMEM263	NM_152261			TMEM263			NA
Interval_5078	chr15	40968218	40968694	+	0	NA	Intergenic	Intergenic	18847	RAD51-AS1	RAD51-AS1	NR_040058			RAD51-AS1			NA
Interval_15835	chr9	123342342	123342880	+	0	NA	promoter-TSS (CDK5RAP2)	-promoter-TSS (CDK5RAP2)	-163	CDK5RAP2	CDK5RAP2	NM_001272039			CDK5RAP2			NA
Interval_11143	chr3	151589355	151589916	+	0	NA	intron (AADACL2-AS1, intron 1 of 2)	-intron (AADACL2-AS1, intron 1 of 3)	-1796	SUCNR1	SUCNR1	NM_033050			SUCNR1			NA
Interval_3264	chr11	89981329	89981660	+	0	NA	Intergenic	Intergenic	-2906	DISC1FP1	DISC1FP1	NR_104190			DISC1FP1			NA
Interval_12408	chr5	122577723	122578067	+	0	NA	Intergenic	Intergenic	153054	PRDM6	PRDM6	NM_001136239			PRDM6			NA
Interval_11515	chr4	17812086	17812741	+	0	NA	promoter-TSS (DCAF16)	-promoter-TSS (DCAF16)	-23	NCAPG	NCAPG	NM_022346			NCAPG			NA
Interval_8400	chr19	57988733	57989149	+	0	NA	promoter-TSS (ZNF772)	-promoter-TSS (ZNF772)	-3	ZNF772	ZNF772	NM_001144068			ZNF772			NA
Interval_15806	chr9	114393230	114393558	+	0	NA	promoter-TSS (DNAJC25)	-promoter-TSS (DNAJC25)	-238	DNAJC25	DNAJC25	NM_001015882			DNAJC25			NA
Interval_15746	chr9	100395434	100396027	+	0	NA	promoter-TSS (NCBP1)	-promoter-TSS (NCBP1)	25	NCBP1	NCBP1	NM_002486			NCBP1			NA
Interval_12781	chr6	3018700	3019058	+	0	NA	intron (NQO2, intron 5 of 5)	-intron (NQO2, intron 6 of 6)	6126	HTATSF1P2	HTATSF1P2	NR_033884			HTATSF1P2			NA
Interval_12580	chr5	149011997	149012384	+	0	NA	exon (ARHGEF37, exon 13 of 13)	-exon (ARHGEF37, exon 13 of 13)	51055	ARHGEF37	ARHGEF37	NM_001001669			ARHGEF37			NA
Interval_11995	chr4	184270478	184270849	+	0	NA	Intergenic	Intergenic	-27084	CLDN24	CLDN24	NM_001185149			CLDN24			NA
Interval_225	chr1	20987656	20988354	+	0	NA	promoter-TSS (DDOST)	-promoter-TSS (DDOST)	32	DDOST	DDOST	NM_005216			DDOST			NA
Interval_11430	chr4	1722819	1723099	+	0	NA	promoter-TSS (TACC3)	-promoter-TSS (TACC3)	125	TMEM129	TMEM129	NM_001127266			TMEM129			NA
Interval_4468	chr13	50366967	50367436	+	0	NA	promoter-TSS (KPNA3)	-promoter-TSS (KPNA3)	-144	KPNA3	KPNA3	NM_002267			KPNA3			NA
Interval_1638	chr1	211555791	211556781	+	0	NA	intron (LINC00467, intron 1 of 5)	-intron (LINC00467, intron 1 of 5)	189	LINC00467	LINC00467	NR_026761			LINC00467			NA
Interval_823	chr1	85070061	85070383	+	0	NA	intron (LINC01461, intron 2 of 2)	-intron (LINC01461, intron 2 of 2)	16492	LINC01461	LINC01461	NR_125761			LINC01461			NA
Interval_6772	chr17	56708330	56709704	+	0	NA	intron (TEX14, intron 2 of 32)	-intron (TEX14, intron 2 of 32)	60399	TEX14	TEX14	NM_001201457			TEX14			NA
Interval_4822	chr14	68146796	68147204	+	0	NA	intron (RDH11, intron 6 of 6)	-intron (RDH11, intron 5 of 5)	-5398	VTI1B	VTI1B	NM_006370			VTI1B			NA
Interval_7180	chr18	47013448	47014024	+	0	NA	promoter-TSS (C18orf32)	-promoter-TSS (C18orf32)	-7	MIR1539	MIR1539	NR_031720			MIR1539			NA
Interval_7584	chr19	13345440	13345817	+	0	NA	intron (CACNA1A, intron 34 of 46)	-intron (CACNA1A, intron 34 of 46)	84346	IER2	IER2	NM_004907			IER2			NA
Interval_12629	chr5	159435922	159436383	+	0	NA	promoter-TSS (TTC1)	-promoter-TSS (TTC1)	45	TTC1	TTC1	NM_003314			TTC1			NA
Interval_5301	chr15	70390030	70390272	+	0	NA	exon (TLE3, exon 1 of 20)	-exon (TLE3, exon 1 of 20)	105	TLE3	TLE3	NM_005078			TLE3			NA
Interval_163	chr1	15852910	15853869	+	0	NA	promoter-TSS (DNAJC16)	-promoter-TSS (DNAJC16)	81	DNAJC16	DNAJC16	NM_015291			DNAJC16			NA
Interval_4738	chr14	50107348	50107697	+	0	NA	Intergenic	Intergenic	-5574	DNAAF2	DNAAF2	NM_001083908			DNAAF2			NA
Interval_1165	chr1	153619723	153621095	+	0	NA	Intergenic	Intergenic	-10721	SNAPIN	SNAPIN	NM_012437			SNAPIN			NA
Interval_9665	chr20	23330470	23330716	+	0	NA	promoter-TSS (NXT1)	-promoter-TSS (NXT1)	-780	NXT1	NXT1	NM_013248			NXT1			NA
Interval_4685	chr14	31495855	31496384	+	0	NA	promoter-TSS (STRN3)	-promoter-TSS (STRN3)	-512	STRN3	STRN3	NM_001083893			STRN3			NA
Interval_7835	chr19	36504924	36505633	+	0	NA	promoter-TSS (LOC101927572)	-promoter-TSS (LOC101927572)	-123	LOC101927572	LOC101927572	NM_001290056			LOC101927572			NA
Interval_740	chr1	61858548	61858957	+	0	NA	intron (NFIA, intron 7 of 9)	-intron (NFIA, intron 7 of 10)	-139562	NFIA-AS1	NFIA-AS1	NR_104180			NFIA-AS1			NA
Interval_11880	chr4	141450804	141451051	+	0	NA	intron (ELMOD2, intron 3 of 8)	-intron (ELMOD2, intron 3 of 8)	5615	ELMOD2	ELMOD2	NM_153702			ELMOD2			NA
Interval_14364	chr7	76049144	76049418	+	0	NA	intron (ZP3, intron 1 of 8)	-intron (ZP3, intron 1 of 8)	-10269	SSC4D	SSC4D	NM_080744			SSC4D			NA
Interval_13683	chr6	125513551	125513908	+	0	NA	intron (TPD52L1, intron 1 of 4)	-intron (TPD52L1, intron 1 of 6)	38850	TPD52L1	TPD52L1	NM_003287			TPD52L1			NA
Interval_15356	chr8	124283054	124283326	+	0	NA	intron (ZHX1, intron 1 of 3)	-intron (ZHX1, intron 1 of 3)	3537	ZHX1	ZHX1	NR_037873			ZHX1			NA
Interval_1321	chr1	161170211	161170622	+	0	NA	intron (NDUFS2, intron 1 of 14)	-intron (NDUFS2, intron 1 of 14)	1311	NDUFS2	NDUFS2	NM_004550			NDUFS2			NA
Interval_8827	chr2	74006955	74007584	+	0	NA	promoter-TSS (DUSP11)	-promoter-TSS (DUSP11)	15	DUSP11	DUSP11	NM_003584			DUSP11			NA
Interval_2731	chr11	18416077	18416340	+	0	NA	intron (LDHA, intron 1 of 6)	-intron (LDHA, intron 1 of 6)	272	LDHA	LDHA	NM_001165415			LDHA			NA
Interval_15939	chr9	131873171	131873890	+	0	NA	promoter-TSS (CRAT)	-promoter-TSS (CRAT)	-63	PPP2R4	PPP2R4	NM_178000			PPP2R4			NA
Interval_2088	chr10	32293909	32294139	+	0	NA	Intergenic	Intergenic	51347	KIF5B	KIF5B	NM_004521			KIF5B			NA
Interval_8573	chr2	27472979	27473277	+	0	NA	Intergenic	Intergenic	12832	SLC30A3	SLC30A3	NM_003459			SLC30A3			NA
Interval_4874	chr14	74722663	74723054	+	0	NA	intron (VSX2, intron 3 of 4)	-intron (VSX2, intron 3 of 4)	16683	VSX2	VSX2	NM_182894			VSX2			NA
Interval_1483	chr1	183439983	183440383	+	0	NA	exon (SMG7-AS1, exon 1 of 5)	-exon (SMG7-AS1, exon 1 of 5)	934	SMG7-AS1	SMG7-AS1	NR_040063			SMG7-AS1			NA
Interval_11843	chr4	127771491	127771809	+	0	NA	Intergenic	Intergenic	-782437	INTU	INTU	NM_015693			INTU			NA
Interval_9076	chr2	131851126	131851397	+	0	NA	promoter-TSS (FAM168B)	-promoter-TSS (FAM168B)	-257	FAM168B	FAM168B	NM_001009993			FAM168B			NA
Interval_9615	chr20	5037560	5037816	+	0	NA	Intergenic	Intergenic	-46749	SLC23A2	SLC23A2	NM_203327			SLC23A2			NA
Interval_1880	chr1	247373900	247374542	+	0	NA	Intergenic	Intergenic	-8859	MIR3916	MIR3916	NR_037480			MIR3916			NA
Interval_4608	chr14	21457479	21458549	+	0	NA	promoter-TSS (METTL17)	-promoter-TSS (METTL17)	49	METTL17	METTL17	NM_022734			METTL17			NA
Interval_936	chr1	109850374	109850744	+	0	NA	promoter-TSS (MYBPHL)	-promoter-TSS (MYBPHL)	-896	MYBPHL	MYBPHL	NM_001010985			MYBPHL			NA
Interval_3111	chr11	67806147	67806855	+	0	NA	promoter-TSS (TCIRG1)	-promoter-TSS (TCIRG1)	-3946	TCIRG1	TCIRG1	NM_006019			TCIRG1			NA
Interval_16243	chrX	53122852	53123183	+	0	NA	promoter-TSS (KANTR)	-promoter-TSS (KANTR)	-322	KANTR	KANTR	NR_110456			KANTR			NA
Interval_8238	chr19	51523310	51523571	+	0	NA	promoter-TSS (KLK10)	-promoter-TSS (KLK10)	-486	KLK10	KLK10	NM_001077500			KLK10			NA
Interval_15489	chr8	145977200	145977524	+	0	NA	intron (ZNF251, intron 4 of 4)	-intron (ZNF251, intron 4 of 4)	3608	ZNF251	ZNF251	NM_138367			ZNF251			NA
Interval_11447	chr4	3969051	3969387	+	0	NA	Intergenic	Intergenic	-12064	FAM86EP	FAM86EP	NR_130742			FAM86EP			NA
Interval_2386	chr10	94588816	94589455	+	0	NA	Intergenic	Intergenic	-19090	EXOC6	EXOC6	NM_019053			EXOC6			NA
Interval_4011	chr12	93483873	93484153	+	0	NA	intron (LOC643339, intron 3 of 4)	-intron (LOC643339, intron 3 of 4)	-84129	LOC102724933	LOC102724933	NR_120492			LOC102724933			NA
Interval_12863	chr6	12008451	12009201	+	0	NA	Intergenic	Intergenic	-3898	HIVEP1	HIVEP1	NM_002114			HIVEP1			NA
Interval_6985	chr17	78549190	78549550	+	0	NA	intron (RPTOR, intron 1 of 33)	-intron (RPTOR, intron 1 of 29)	30745	RPTOR	RPTOR	NM_001163034			RPTOR			NA
Interval_16211	chrX	48647747	48648521	+	0	NA	intron (GATA1, intron 1 of 5)	-intron (GATA1, intron 1 of 5)	3152	GATA1	GATA1	NM_002049			GATA1			NA
Interval_6067	chr16	82173120	82173417	+	0	NA	Intergenic	Intergenic	30561	MPHOSPH6	MPHOSPH6	NM_005792			MPHOSPH6			NA
Interval_12718	chr5	177631296	177631648	+	0	NA	promoter-TSS (HNRNPAB)	-promoter-TSS (HNRNPAB)	-36	HNRNPAB	HNRNPAB	NM_004499			HNRNPAB			NA
Interval_3225	chr11	82871226	82871959	+	0	NA	intron (PCF11, intron 1 of 15)	-intron (PCF11, intron 1 of 15)	3455	PCF11	PCF11	NM_015885			PCF11			NA
Interval_15119	chr8	59313889	59314189	+	0	NA	Intergenic	Intergenic	-9784	UBXN2B	UBXN2B	NM_001077619			UBXN2B			NA
Interval_5579	chr16	3450819	3451252	+	0	NA	promoter-TSS (ZNF174)	-promoter-TSS (ZNF174)	30	ZSCAN32	ZSCAN32	NM_017810			ZSCAN32			NA
Interval_2735	chr11	18655660	18656361	+	0	NA	promoter-TSS (SPTY2D1)	-promoter-TSS (SPTY2D1)	10	SPTY2D1	SPTY2D1	NM_194285			SPTY2D1			NA
Interval_9545	chr2	240746565	240746846	+	0	NA	Intergenic	Intergenic	62151	LOC150935	LOC150935	NR_037808			LOC150935			NA
Interval_13527	chr6	74362493	74362985	+	0	NA	intron (SLC17A5, intron 1 of 10)	-intron (SLC17A5, intron 1 of 10)	998	SLC17A5	SLC17A5	NM_012434			SLC17A5			NA
Interval_7489	chr19	10397152	10397737	+	0	NA	promoter-TSS (ICAM4)	-promoter-TSS (ICAM4)	-199	ICAM4	ICAM4	NM_001039132			ICAM4			NA
Interval_10458	chr22	42418467	42418761	+	0	NA	intron (WBP2NL, intron 5 of 5)	-intron (WBP2NL, intron 5 of 5)	23885	WBP2NL	WBP2NL	NM_152613			WBP2NL			NA
Interval_1323	chr1	161179875	161180145	+	0	NA	intron (NDUFS2, intron 8 of 14)	-intron (NDUFS2, intron 7 of 12)	-5077	FCER1G	FCER1G	NM_004106			FCER1G			NA
Interval_15811	chr9	114934461	114935356	+	0	NA	intron (SUSD1, intron 1 of 16)	-intron (SUSD1, intron 1 of 17)	2669	SUSD1	SUSD1	NM_001282643			SUSD1			NA
Interval_13737	chr6	136557885	136558531	+	0	NA	intron (MTFR2, intron 6 of 7)	-intron (MTFR2, intron 6 of 7)	13241	MTFR2	MTFR2	NM_138419			MTFR2			NA
Interval_2712	chr11	14521158	14521661	+	0	NA	promoter-TSS (COPB1)	-promoter-TSS (COPB1)	-5	COPB1	COPB1	NM_001144062			COPB1			NA
Interval_775	chr1	67895871	67897004	+	0	NA	promoter-TSS (SERBP1)	-promoter-TSS (SERBP1)	-314	SERBP1	SERBP1	NM_001018067			SERBP1			NA
Interval_15015	chr8	29120715	29121026	+	0	NA	promoter-TSS (KIF13B)	-promoter-TSS (KIF13B)	-260	KIF13B	KIF13B	NM_015254			KIF13B			NA
Interval_14126	chr7	26273848	26274147	+	0	NA	Intergenic	Intergenic	32673	CBX3	CBX3	NM_016587			CBX3			NA
Interval_1051	chr1	145267802	145268114	+	0	NA	intron (NOTCH2NL, intron 2 of 4)	-intron (NBPF9, intron 20 of 24)	-25413	NBPF10	NBPF10	NM_001302371			NBPF10			NA
Interval_8850	chr2	74801051	74801618	+	0	NA	intron (M1AP, intron 7 of 10)	-intron (M1AP, intron 7 of 9)	19822	DOK1	DOK1	NM_001197260			DOK1			NA
Interval_5393	chr15	82824804	82825128	+	0	NA	promoter-TSS (RPS17)	-promoter-TSS (RPS17)	-14	RPS17	RPS17	NM_001021_1			RPS17			NA
Interval_14992	chr8	24835329	24835605	+	0	NA	Intergenic	Intergenic	-21084	NEFL	NEFL	NM_006158			NEFL			NA
Interval_12084	chr5	27986179	27986442	+	0	NA	Intergenic	Intergenic	513911	LINC01021	LINC01021	NR_038848			LINC01021			NA
Interval_1864	chr1	246152495	246152766	+	0	NA	intron (SMYD3, intron 5 of 11)	-intron (SMYD3, intron 5 of 11)	428084	SMYD3	SMYD3	NM_001167740			SMYD3			NA
Interval_1293	chr1	159750439	159750917	+	0	NA	promoter-TSS (DUSP23)	-promoter-TSS (DUSP23)	-81	DUSP23	DUSP23	NM_017823			DUSP23			NA
Interval_12156	chr5	43603027	43603296	+	0	NA	promoter-TSS (NNT)	-promoter-TSS (NNT)	-68	NNT	NNT	NM_012343			NNT			NA
Interval_8405	chr19	58144266	58144728	+	0	NA	promoter-TSS (ZNF211)	-promoter-TSS (ZNF211)	-38	ZNF211	ZNF211	NM_001265597			ZNF211			NA
Interval_11185	chr3	156865073	156865349	+	0	NA	TTS (CCNL1)	-TTS (CCNL1)	13338	CCNL1	CCNL1	NM_001308185			CCNL1			NA
Interval_2919	chr11	61197249	61197941	+	0	NA	promoter-TSS (CPSF7)	-promoter-TSS (CPSF7)	-2	SDHAF2	SDHAF2	NM_017841			SDHAF2			NA
Interval_1578	chr1	204380356	204381615	+	0	NA	promoter-TSS (PPP1R15B)	-promoter-TSS (PPP1R15B)	-40	PPP1R15B	PPP1R15B	NM_032833			PPP1R15B			NA
Interval_6309	chr17	17875842	17876317	+	0	NA	promoter-TSS (TOM1L2)	-promoter-TSS (TOM1L2)	-48	LRRC48	LRRC48	NM_031294			LRRC48			NA
