PeakID (cmd=annotatePeaks.pl ENCAB521XDP.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_767	chr1	143419172	143419487	+	0	NA	Intergenic	Intergenic	-217090	LOC102723769	LOC102723769	NR_110761			LOC102723769			NA
Interval_2768	chr12	48746153	48746571	+	0	NA	Intergenic	Intergenic	-1688	ZNF641	ZNF641	NM_001172682			ZNF641			NA
Interval_7380	chr2	24245279	24245826	+	0	NA	intron (MFSD2B, intron 9 of 12)	-intron (MFSD2B, intron 9 of 12)	12599	MFSD2B	MFSD2B	NM_001080473			MFSD2B			NA
Interval_9965	chr22	43196784	43197062	+	0	NA	intron (ARFGAP3, intron 14 of 15)	-intron (ARFGAP3, intron 13 of 14)	56485	ARFGAP3	ARFGAP3	NM_014570			ARFGAP3			NA
Interval_14013	chr8	141130645	141130933	+	0	NA	intron (TRAPPC9, intron 17 of 22)	-intron (TRAPPC9, intron 17 of 22)	337889	TRAPPC9	TRAPPC9	NM_031466			TRAPPC9			NA
Interval_3182	chr12	123371463	123371874	+	0	NA	intron (VPS37B, intron 1 of 3)	-intron (VPS37B, intron 1 of 3)	9044	VPS37B	VPS37B	NM_024667			VPS37B			NA
Interval_5472	chr17	1608377	1608611	+	0	NA	exon (TLCD2, exon 4 of 4)	-exon (TLCD2, exon 4 of 4)	5168	TLCD2	TLCD2	NM_001164407			TLCD2			NA
Interval_8485	chr2	235776568	235776793	+	0	NA	Intergenic	Intergenic	-83948	SH3BP4	SH3BP4	NM_014521			SH3BP4			NA
Interval_10076	chr3	5815929	5816523	+	0	NA	Intergenic	Intergenic	-524286	MIR4790	MIR4790	NR_039953			MIR4790			NA
Interval_9350	chr20	56152779	56153496	+	0	NA	Intergenic	Intergenic	17000	PCK1	PCK1	NM_002591			PCK1			NA
Interval_8389	chr2	220374610	220375211	+	0	NA	Intergenic	Intergenic	-3982	ASIC4	ASIC4	NM_182847			ASIC4			NA
Interval_3790	chr14	34427789	34428131	+	0	NA	Intergenic	Intergenic	-7676	EGLN3	EGLN3	NM_022073			EGLN3			NA
Interval_10497	chr3	131321240	131321527	+	0	NA	intron (CPNE4, intron 8 of 16)	-intron (CPNE4, intron 7 of 15)	-99523	MRPL3	MRPL3	NM_007208			MRPL3			NA
Interval_7409	chr2	27478219	27478519	+	0	NA	intron (SLC30A3, intron 7 of 7)	-intron (SLC30A3, intron 7 of 7)	7591	SLC30A3	SLC30A3	NM_003459			SLC30A3			NA
Interval_14248	chr9	86432851	86433098	+	0	NA	promoter-TSS (GKAP1)	-promoter-TSS (GKAP1)	-222	GKAP1	GKAP1	NM_001135953			GKAP1			NA
Interval_10409	chr3	113464858	113465328	+	0	NA	promoter-TSS (NAA50)	-promoter-TSS (NAA50)	53	NAA50	NAA50	NM_025146			NAA50			NA
Interval_14696	chrX	39011603	39011943	+	0	NA	Intergenic	Intergenic	174843	LINC01281	LINC01281	NR_038968			LINC01281			NA
Interval_3079	chr12	112811421	112811700	+	0	NA	intron (HECTD4, intron 1 of 75)	-intron (HECTD4, intron 1 of 75)	8336	HECTD4	HECTD4	NM_001109662			HECTD4			NA
Interval_9796	chr22	25496973	25497346	+	0	NA	intron (KIAA1671, intron 4 of 10)	-intron (KIAA1671, intron 4 of 10)	11500	LOC100128531	LOC100128531	NR_038941			LOC100128531			NA
Interval_3710	chr14	25459990	25460427	+	0	NA	intron (STXBP6, intron 1 of 5)	-intron (STXBP6, intron 2 of 6)	58887	STXBP6	STXBP6	NM_001304476			STXBP6			NA
Interval_12936	chr7	24903792	24904250	+	0	NA	intron (OSBPL3, intron 6 of 20)	-intron (OSBPL3, intron 7 of 22)	28219	OSBPL3	OSBPL3	NM_015550			OSBPL3			NA
Interval_12684	chr6	160420197	160420587	+	0	NA	intron (IGF2R, intron 2 of 47)	-intron (IGF2R, intron 2 of 47)	8304	AIRN	AIRN	NR_047511			AIRN			NA
Interval_5865	chr17	48705536	48705776	+	0	NA	TTS (CACNA1G)	-TTS (CACNA1G)	-6562	ABCC3	ABCC3	NM_003786			ABCC3			NA
Interval_1650	chr10	81136859	81138151	+	0	NA	Intergenic	Intergenic	30285	PPIF	PPIF	NM_005729			PPIF			NA
Interval_2956	chr12	90163059	90163351	+	0	NA	Intergenic	Intergenic	60473	LINC00936	LINC00936	NR_028138			LINC00936			NA
Interval_10852	chr4	4325970	4326271	+	0	NA	Intergenic	Intergenic	34196	ZBTB49	ZBTB49	NM_145291			ZBTB49			NA
Interval_7079	chr19	49524504	49525020	+	0	NA	Intergenic	Intergenic	-2021	LOC101059948	LOC101059948	NR_073552			LOC101059948			NA
Interval_8872	chr20	25990381	25990893	+	0	NA	intron (LOC100134868, intron 1 of 4)	-intron (LOC100134868, intron 1 of 4)	202	LOC100134868	LOC100134868	NR_004846			LOC100134868			NA
Interval_2095	chr11	33958807	33959209	+	0	NA	Intergenic	Intergenic	-45172	LMO2	LMO2	NM_005574			LMO2			NA
Interval_7690	chr2	84285064	84285490	+	0	NA	Intergenic	Intergenic	-232529	FUNDC2P2	FUNDC2P2	NR_003663			FUNDC2P2			NA
Interval_7320	chr2	12318191	12318912	+	0	NA	intron (LOC100506457, intron 3 of 5)	-intron (LOC100506457, intron 3 of 5)	-20705	MIR3681	MIR3681	NR_037452			MIR3681			NA
Interval_7308	chr2	11494528	11494795	+	0	NA	Intergenic	Intergenic	-9950	ROCK2	ROCK2	NM_004850			ROCK2			NA
Interval_1921	chr11	1017608	1017893	+	0	NA	exon (MUC6, exon 31 of 33)	-exon (MUC6, exon 31 of 33)	18956	MUC6	MUC6	NM_005961			MUC6			NA
Interval_14758	chrX	55147216	55147665	+	0	NA	Intergenic	Intergenic	31955	PAGE2	PAGE2	NM_207339			PAGE2			NA
Interval_13372	chr7	138729146	138729412	+	0	NA	exon (ZC3HAV1, exon 13 of 13)	-exon (ZC3HAV1, exon 13 of 13)	-8504	ZC3HAV1L	ZC3HAV1L	NM_080660			ZC3HAV1L			NA
Interval_10419	chr3	118930127	118930453	+	0	NA	TTS (B4GALT4)	-TTS (B4GALT4)	-15043	B4GALT4-AS1	B4GALT4-AS1	NR_046574			B4GALT4-AS1			NA
Interval_1211	chr1	229357114	229357400	+	0	NA	Intergenic	Intergenic	-46709	MIR4454	MIR4454	NR_039659_3			MIR4454			NA
Interval_2237	chr11	63284703	63285028	+	0	NA	TTS (LGALS12)	-TTS (LGALS12)	11341	LGALS12	LGALS12	NM_033101			LGALS12			NA
Interval_2466	chr11	97867524	97867831	+	0	NA	Intergenic	Intergenic	-1559199	CNTN5	CNTN5	NM_001243270			CNTN5			NA
Interval_173	chr1	16971286	16971850	+	0	NA	promoter-TSS (MST1P2)	-promoter-TSS (MST1P2)	-501	MST1P2	MST1P2	NR_027504			MST1P2			NA
Interval_13377	chr7	139136453	139136705	+	0	NA	Intergenic	Intergenic	-24307	LOC100129148	LOC100129148	NR_033999			LOC100129148			NA
Interval_13038	chr7	47611330	47611588	+	0	NA	intron (TNS3, intron 1 of 30)	-intron (TNS3, intron 1 of 30)	10283	TNS3	TNS3	NM_022748			TNS3			NA
Interval_8138	chr2	170782536	170782782	+	0	NA	intron (UBR3, intron 14 of 38)	-intron (UBR3, intron 14 of 38)	98641	UBR3	UBR3	NM_172070			UBR3			NA
Interval_13643	chr8	27219227	27219978	+	0	NA	intron (PTK2B, intron 1 of 30)	-intron (PTK2B, intron 2 of 31)	36606	PTK2B	PTK2B	NM_173175			PTK2B			NA
Interval_9128	chr20	43966133	43966556	+	0	NA	intron (SDC4, intron 1 of 4)	-intron (SDC4, intron 1 of 4)	10720	SDC4	SDC4	NM_002999			SDC4			NA
Interval_12945	chr7	26240194	26240654	+	0	NA	promoter-TSS (HNRNPA2B1)	-promoter-TSS (HNRNPA2B1)	-11	HNRNPA2B1	HNRNPA2B1	NM_031243			HNRNPA2B1			NA
Interval_5792	chr17	42343733	42344417	+	0	NA	intron (SLC4A1, intron 1 of 19)	-intron (SLC4A1, intron 1 of 19)	1427	SLC4A1	SLC4A1	NM_000342			SLC4A1			NA
Interval_4498	chr15	90727478	90727759	+	0	NA	promoter-TSS (SEMA4B)	-promoter-TSS (SEMA4B)	-16944	SEMA4B	SEMA4B	NM_020210			SEMA4B			NA
Interval_2218	chr11	61517283	61517582	+	0	NA	Intergenic	Intergenic	-5429	MYRF	MYRF	NM_001127392			MYRF			NA
Interval_1191	chr1	228366404	228366956	+	0	NA	exon (IBA57, exon 3 of 3)	-exon (IBA57, exon 3 of 3)	4429	IBA57	IBA57	NM_001310327			IBA57			NA
Interval_10461	chr3	128251933	128252215	+	0	NA	Intergenic	Intergenic	25396	LOC90246	LOC90246	NR_026954			LOC90246			NA
Interval_7177	chr2	260704	261140	+	0	NA	exon (SH3YL1, exon 3 of 12)	-exon (SH3YL1, exon 3 of 12)	208	SH3YL1	SH3YL1	NM_001282682			SH3YL1			NA
Interval_3558	chr14	23366519	23367000	+	0	NA	Intergenic	Intergenic	14327	REM2	REM2	NM_173527			REM2			NA
Interval_589	chr1	67628789	67629096	+	0	NA	Intergenic	Intergenic	-3227	IL23R	IL23R	NM_144701			IL23R			NA
Interval_10414	chr3	115828667	115828912	+	0	NA	intron (LSAMP, intron 1 of 6)	-intron (LSAMP, intron 1 of 6)	-250082	LSAMP-AS1	LSAMP-AS1	NR_109998			LSAMP-AS1			NA
Interval_13158	chr7	88319162	88319487	+	0	NA	Intergenic	Intergenic	-69358	ZNF804B	ZNF804B	NM_181646			ZNF804B			NA
Interval_4274	chr15	49144236	49144509	+	0	NA	intron (SHC4, intron 8 of 11)	-intron (SHC4, intron 8 of 11)	-25918	EID1	EID1	NM_014335			EID1			NA
Interval_13691	chr8	38225971	38226312	+	0	NA	intron (WHSC1L1, intron 1 of 23)	-intron (WHSC1L1, intron 1 of 9)	13649	WHSC1L1	WHSC1L1	NM_023034			WHSC1L1			NA
Interval_12675	chr6	159302925	159303391	+	0	NA	intron (C6orf99, intron 2 of 3)	-intron (C6orf99, intron 1 of 2)	12259	C6orf99	C6orf99	NM_001302839			C6orf99			NA
Interval_11765	chr5	148459482	148459827	+	0	NA	intron (LOC255187, intron 2 of 2)	-intron (LOC255187, intron 2 of 2)	16774	LOC255187	LOC255187	NR_122044			LOC255187			NA
Interval_3771	chr14	32545640	32545970	+	0	NA	promoter-TSS (ARHGAP5)	-promoter-TSS (ARHGAP5)	100	ARHGAP5-AS1	ARHGAP5-AS1	NR_027263			ARHGAP5-AS1			NA
Interval_4015	chr14	75393914	75394324	+	0	NA	Intergenic	Intergenic	-4974	RPS6KL1	RPS6KL1	NM_031464			RPS6KL1			NA
Interval_12553	chr6	135512695	135513175	+	0	NA	intron (MYB, intron 5 of 14)	-intron (MYB, intron 5 of 14)	10482	MYB	MYB	NM_001130172			MYB			NA
Interval_3198	chr12	124577118	124577522	+	0	NA	intron (ZNF664-FAM101A, intron 2 of 4)	-intron (ZNF664-FAM101A, intron 2 of 4)	119558	ZNF664-FAM101A	ZNF664-FAM101A	NM_001204299			ZNF664-FAM101A			NA
Interval_12563	chr6	136748215	136748581	+	0	NA	intron (MAP7, intron 1 of 17)	-intron (MAP7, intron 1 of 17)	123559	MAP7	MAP7	NM_001198617			MAP7			NA
Interval_10054	chr22	50923866	50924196	+	0	NA	exon (ADM2, exon 3 of 3)	-exon (ADM2, exon 3 of 3)	-1182	MIOX	MIOX	NM_017584			MIOX			NA
Interval_4260	chr15	45016644	45016934	+	0	NA	Intergenic	Intergenic	-4397	LOC100419583	LOC100419583	NR_125376			LOC100419583			NA
Interval_1849	chr10	126381309	126381911	+	0	NA	intron (FAM53B, intron 3 of 4)	-intron (FAM53B, intron 3 of 4)	-10987	FAM53B-AS1	FAM53B-AS1	NR_120631			FAM53B-AS1			NA
Interval_3094	chr12	114203230	114203700	+	0	NA	intron (LINC01234, intron 1 of 1)	-intron (LINC01234, intron 1 of 1)	8023	LINC01234	LINC01234	NR_110025			LINC01234			NA
Interval_14143	chr9	33239828	33240298	+	0	NA	promoter-TSS (SPINK4)	-promoter-TSS (SPINK4)	-133	SPINK4	SPINK4	NM_014471			SPINK4			NA
Interval_2052	chr11	16022804	16023042	+	0	NA	intron (SOX6, intron 12 of 14)	-intron (SOX6, intron 12 of 14)	-31756	MIR6073	MIR6073	NR_106721			MIR6073			NA
Interval_4720	chr16	12907249	12907494	+	0	NA	Intergenic	Intergenic	-9627	CPPED1	CPPED1	NM_018340			CPPED1			NA
Interval_4266	chr15	45461528	45461758	+	0	NA	intron (SHF, intron 3 of 3)	-intron (SHF, intron 5 of 5)	31730	SHF	SHF	NM_138356			SHF			NA
Interval_10391	chr3	101587633	101587940	+	0	NA	Intergenic	Intergenic	19428	NFKBIZ	NFKBIZ	NM_031419			NFKBIZ			NA
Interval_5645	chr17	29635308	29635675	+	0	NA	intron (EVI2B, intron 1 of 1)	-intron (NF1, intron 35 of 56)	5639	EVI2B	EVI2B	NM_006495			EVI2B			NA
Interval_2417	chr11	85780147	85780375	+	0	NA	promoter-TSS (PICALM)	-promoter-TSS (PICALM)	-122	PICALM	PICALM	NM_001206947			PICALM			NA
Interval_6184	chr17	78169394	78170011	+	0	NA	intron (CARD14, intron 12 of 21)	-intron (CARD14, intron 11 of 14)	24497	SGSH	SGSH	NM_000199			SGSH			NA
Interval_12946	chr7	26416713	26417090	+	0	NA	Intergenic	Intergenic	-26207	LOC441204	LOC441204	NR_015364			LOC441204			NA
Interval_2061	chr11	16875478	16875762	+	0	NA	intron (PLEKHA7, intron 6 of 22)	-intron (PLEKHA7, intron 6 of 22)	115472	C11orf58	C11orf58	NM_014267			C11orf58			NA
Interval_6536	chr19	909304	909532	+	0	NA	intron (R3HDM4, intron 1 of 7)	-intron (R3HDM4, intron 1 of 7)	3807	R3HDM4	R3HDM4	NM_138774			R3HDM4			NA
Interval_1810	chr10	114833599	114833880	+	0	NA	intron (TCF7L2, intron 4 of 13)	-intron (TCF7L2, intron 5 of 13)	123730	TCF7L2	TCF7L2	NM_001146285			TCF7L2			NA
Interval_12549	chr6	135418288	135418625	+	0	NA	Intergenic	Intergenic	-42420	HBS1L	HBS1L	NM_001145207			HBS1L			NA
Interval_5366	chr16	87932931	87933259	+	0	NA	intron (CA5A, intron 5 of 6)	-intron (CA5A, intron 5 of 6)	-29995	SLC7A5	SLC7A5	NM_003486			SLC7A5			NA
Interval_13205	chr7	100493770	100494137	+	0	NA	promoter-TSS (ACHE)	-promoter-TSS (ACHE)	-412	ACHE	ACHE	NM_001302622			ACHE			NA
Interval_2112	chr11	35684713	35685158	+	0	NA	exon (TRIM44, exon 1 of 5)	-exon (TRIM44, exon 1 of 5)	635	TRIM44	TRIM44	NM_017583			TRIM44			NA
Interval_8404	chr2	223636537	223636992	+	0	NA	Intergenic	Intergenic	-88968	ACSL3	ACSL3	NM_004457			ACSL3			NA
Interval_9181	chr20	45959984	45960483	+	0	NA	intron (ZMYND8, intron 2 of 21)	-intron (ZMYND8, intron 2 of 3)	12987	LOC100131496	LOC100131496	NR_024594			LOC100131496			NA
Interval_10770	chr3	195826505	195826784	+	0	NA	Intergenic	Intergenic	-17683	TFRC	TFRC	NM_001128148			TFRC			NA
Interval_11820	chr5	159048101	159048560	+	0	NA	Intergenic	Intergenic	-155046	LOC285627	LOC285627	NR_027110			LOC285627			NA
Interval_9090	chr20	42167181	42167606	+	0	NA	intron (L3MBTL1, intron 19 of 21)	-intron (L3MBTL1, intron 16 of 18)	-20242	SGK2	SGK2	NM_170693			SGK2			NA
Interval_1090	chr1	207194430	207194840	+	0	NA	exon (C1orf116, exon 3 of 3)	-exon (C1orf116, exon 3 of 3)	11466	C1orf116	C1orf116	NM_001083924			C1orf116			NA
Interval_8657	chr20	2780615	2780945	+	0	NA	intron (CPXM1, intron 1 of 13)	-intron (CPXM1, intron 1 of 13)	512	CPXM1	CPXM1	NM_001184699			CPXM1			NA
Interval_3836	chr14	36004282	36004814	+	0	NA	exon (INSM2, exon 1 of 1)	-exon (INSM2, exon 1 of 1)	1300	INSM2	INSM2	NM_032594			INSM2			NA
Interval_4307	chr15	58495757	58496040	+	0	NA	Intergenic	Intergenic	65490	AQP9	AQP9	NM_020980			AQP9			NA
Interval_8380	chr2	219740688	219740913	+	0	NA	Intergenic	Intergenic	-4455	WNT10A	WNT10A	NM_025216			WNT10A			NA
Interval_7540	chr2	47403386	47404176	+	0	NA	promoter-TSS (CALM2)	-promoter-TSS (CALM2)	-19	CALM2	CALM2	NM_001305625			CALM2			NA
Interval_7337	chr2	16252965	16253975	+	0	NA	Intergenic	Intergenic	62921	GACAT3	GACAT3	NR_126559			GACAT3			NA
Interval_9086	chr20	41766412	41766650	+	0	NA	intron (PTPRT, intron 1 of 31)	-intron (PTPRT, intron 1 of 30)	52026	PTPRT	PTPRT	NM_133170			PTPRT			NA
Interval_12721	chr6	166207672	166208190	+	0	NA	Intergenic	Intergenic	-132343	PDE10A	PDE10A	NM_001130690			PDE10A			NA
Interval_10186	chr3	38046008	38046607	+	0	NA	intron (VILL, intron 15 of 18)	-intron (VILL, intron 15 of 18)	11229	VILL	VILL	NM_015873			VILL			NA
Interval_4134	chr14	103565660	103566116	+	0	NA	promoter-TSS (EXOC3L4)	-promoter-TSS (EXOC3L4)	-593	EXOC3L4	EXOC3L4	NM_001077594			EXOC3L4			NA
Interval_1958	chr11	2721105	2721405	+	0	NA	promoter-TSS (KCNQ1OT1)	-promoter-TSS (KCNQ1OT1)	-27	KCNQ1OT1	KCNQ1OT1	NR_002728			KCNQ1OT1			NA
Interval_1961	chr11	2834855	2835233	+	0	NA	intron (KCNQ1, intron 15 of 15)	-intron (KCNQ1, intron 15 of 15)	47755	KCNQ1-AS1	KCNQ1-AS1	NR_130721			KCNQ1-AS1			NA
Interval_3334	chr13	30030660	30030984	+	0	NA	intron (MTUS2, intron 2 of 8)	-intron (MTUS2, intron 7 of 13)	28045	MTUS2	MTUS2	NM_001033602			MTUS2			NA
Interval_380	chr1	38272680	38272924	+	0	NA	promoter-TSS (C1orf122)	-promoter-TSS (C1orf122)	-671	C1orf122	C1orf122	NM_001142726			C1orf122			NA
Interval_14454	chr9	126734971	126735447	+	0	NA	Intergenic	Intergenic	-38680	LHX2	LHX2	NM_004789			LHX2			NA
Interval_12892	chr7	7035106	7035501	+	0	NA	Intergenic	Intergenic	71373	MIR3683	MIR3683	NR_037454			MIR3683			NA
Interval_1152	chr1	222885906	222886133	+	0	NA	promoter-TSS (BROX)	-promoter-TSS (BROX)	124	BROX	BROX	NM_001288579			BROX			NA
Interval_8783	chr20	17839591	17840081	+	0	NA	Intergenic	Intergenic	103753	SNORD17	SNORD17	NR_003045			SNORD17			NA
Interval_10134	chr3	17821233	17821544	+	0	NA	Intergenic	Intergenic	-38989	TBC1D5	TBC1D5	NM_014744			TBC1D5			NA
Interval_10303	chr3	57005940	57006190	+	0	NA	intron (ARHGEF3, intron 2 of 12)	-intron (ARHGEF3, intron 2 of 12)	31997	ARHGEF3-AS1	ARHGEF3-AS1	NR_046572			ARHGEF3-AS1			NA
Interval_10266	chr3	49509487	49509736	+	0	NA	intron (DAG1, intron 2 of 5)	-intron (DAG1, intron 1 of 5)	2046	DAG1	DAG1	NM_001177636			DAG1			NA
Interval_1769	chr10	104669831	104670098	+	0	NA	Intergenic	Intergenic	-8111	CNNM2	CNNM2	NM_017649			CNNM2			NA
Interval_153	chr1	15471979	15472209	+	0	NA	intron (TMEM51-AS1, intron 1 of 4)	-intron (TMEM51-AS1, intron 1 of 4)	6866	TMEM51-AS1	TMEM51-AS1	NR_027136			TMEM51-AS1			NA
Interval_3787	chr14	34378622	34379305	+	0	NA	Intergenic	Intergenic	41321	EGLN3	EGLN3	NM_022073			EGLN3			NA
Interval_7851	chr2	106285774	106286204	+	0	NA	Intergenic	Intergenic	-58973	LOC285000	LOC285000	NR_038891			LOC285000			NA
Interval_6936	chr19	36231845	36232148	+	0	NA	exon (IGFLR1, exon 2 of 5)	-exon (IGFLR1, exon 2 of 5)	1355	IGFLR1	IGFLR1	NM_024660			IGFLR1			NA
Interval_10353	chr3	72388170	72388740	+	0	NA	Intergenic	Intergenic	107319	RYBP	RYBP	NM_012234			RYBP			NA
Interval_10726	chr3	187754230	187754511	+	0	NA	Intergenic	Intergenic	117506	LPP-AS2	LPP-AS2	NR_036497			LPP-AS2			NA
Interval_19	chr1	1368549	1368876	+	0	NA	intron (LOC102724312, intron 1 of 1)	-intron (LOC102724312, intron 1 of 1)	1241	LOC102724312	LOC102724312	NR_125996			LOC102724312			NA
Interval_3709	chr14	25454132	25454410	+	0	NA	intron (STXBP6, intron 1 of 5)	-intron (STXBP6, intron 2 of 6)	64824	STXBP6	STXBP6	NM_001304476			STXBP6			NA
Interval_2437	chr11	93321028	93321285	+	0	NA	Intergenic	Intergenic	-44610	SMCO4	SMCO4	NM_020179			SMCO4			NA
Interval_1514	chr10	44479338	44479842	+	0	NA	Intergenic	Intergenic	74838	LINC00841	LINC00841	NR_033846			LINC00841			NA
Interval_12272	chr6	41033299	41033524	+	0	NA	TTS (APOBEC2)	-TTS (APOBEC2)	6777	OARD1	OARD1	NM_145063			OARD1			NA
Interval_11043	chr4	80131224	80131595	+	0	NA	intron (LINC01088, intron 4 of 5)	-intron (LINC01088, intron 4 of 5)	115762	NAA11	NAA11	NM_032693			NAA11			NA
Interval_846	chr1	154856484	154856876	+	0	NA	Intergenic	Intergenic	-24342	KCNN3	KCNN3	NM_002249			KCNN3			NA
Interval_13245	chr7	104607524	104608032	+	0	NA	Intergenic	Intergenic	23834	LINC01004	LINC01004	NR_039981			LINC01004			NA
Interval_8994	chr20	35262487	35262760	+	0	NA	intron (SLA2, intron 3 of 7)	-intron (SLA2, intron 3 of 7)	11996	SLA2	SLA2	NM_175077			SLA2			NA
Interval_2562	chr11	125741984	125742266	+	0	NA	Intergenic	Intergenic	-11384	HYLS1	HYLS1	NM_001134793			HYLS1			NA
Interval_9052	chr20	37218615	37219310	+	0	NA	Intergenic	Intergenic	9124	ADIG	ADIG	NR_130907			ADIG			NA
Interval_14279	chr9	91910417	91910692	+	0	NA	Intergenic	Intergenic	-15556	CKS2	CKS2	NM_001827			CKS2			NA
Interval_3867	chr14	38064901	38065630	+	0	NA	promoter-TSS (FOXA1)	-promoter-TSS (FOXA1)	861	TTC6	TTC6	NM_001310135			TTC6			NA
Interval_14259	chr9	90327856	90328461	+	0	NA	Intergenic	Intergenic	-12816	CTSL	CTSL	NM_001912			CTSL			NA
Interval_9477	chr20	61920134	61920362	+	0	NA	exon (ARFGAP1, exon 14 of 14)	-exon (ARFGAP1, exon 14 of 14)	2088	MIR4326	MIR4326	NR_036220			MIR4326			NA
Interval_11554	chr5	79106959	79107245	+	0	NA	Intergenic	Intergenic	121443	CMYA5	CMYA5	NM_153610			CMYA5			NA
Interval_1791	chr10	112181517	112181807	+	0	NA	Intergenic	Intergenic	-75963	DUSP5	DUSP5	NM_004419			DUSP5			NA
Interval_1652	chr10	81147680	81148157	+	0	NA	intron (ZCCHC24, intron 3 of 3)	-intron (ZCCHC24, intron 3 of 3)	40698	PPIF	PPIF	NM_005729			PPIF			NA
Interval_2215	chr11	61424226	61424475	+	0	NA	Intergenic	Intergenic	-23555	DAGLA	DAGLA	NM_006133			DAGLA			NA
Interval_434	chr1	43810900	43811239	+	0	NA	intron (MPL, intron 6 of 11)	-intron (MPL, intron 6 of 11)	7594	MPL	MPL	NM_005373			MPL			NA
Interval_10761	chr3	195507231	195507580	+	0	NA	exon (MUC4, exon 2 of 25)	-exon (MUC4, exon 2 of 25)	31439	MUC4	MUC4	NM_004532			MUC4			NA
Interval_8128	chr2	169907373	169907643	+	0	NA	Intergenic	Intergenic	-16037	DHRS9	DHRS9	NM_001289763			DHRS9			NA
Interval_11229	chr4	154720903	154721278	+	0	NA	Intergenic	Intergenic	-10862	SFRP2	SFRP2	NM_003013			SFRP2			NA
Interval_5319	chr16	86026511	86026751	+	0	NA	Intergenic	Intergenic	74678	MIR6774	MIR6774	NR_106832			MIR6774			NA
Interval_9679	chr21	44762952	44763420	+	0	NA	Intergenic	Intergenic	-11267	LINC00322	LINC00322	NR_103713			LINC00322			NA
Interval_14595	chr9	138471135	138471399	+	0	NA	intron (LINC01502, intron 3 of 5)	-intron (LINC01502, intron 3 of 5)	4496	LINC01502	LINC01502	NR_034017			LINC01502			NA
Interval_2530	chr11	118781432	118781691	+	0	NA	promoter-TSS (BCL9L)	-promoter-TSS (BCL9L)	52	BCL9L	BCL9L	NM_182557			BCL9L			NA
Interval_396	chr1	40523159	40523647	+	0	NA	intron (CAP1, intron 1 of 12)	-intron (CAP1, intron 1 of 12)	17148	CAP1	CAP1	NM_001105530			CAP1			NA
Interval_13597	chr8	17465711	17466004	+	0	NA	intron (PDGFRL, intron 3 of 6)	-intron (PDGFRL, intron 3 of 6)	31915	PDGFRL	PDGFRL	NM_006207			PDGFRL			NA
Interval_4874	chr16	24719105	24719454	+	0	NA	Intergenic	Intergenic	-21770	TNRC6A	TNRC6A	NM_014494			TNRC6A			NA
Interval_5210	chr16	73281084	73281328	+	0	NA	Intergenic	Intergenic	-102860	C16orf47	C16orf47	NM_207385			C16orf47			NA
Interval_9568	chr21	21458894	21459169	+	0	NA	Intergenic	Intergenic	716395	LINC00320	LINC00320	NR_109788			LINC00320			NA
