Chr	Start	End	Entrez ID
chrX	47076878	47078529	CDK16
chr2	11484450	11485277	ROCK2
chr1	31320202	31320623	SDC3
chr19	41381431	41381770	CYP2A7
chr17	28256438	28257665	SSH2
chr10	64368140	64368571	ZNF365
chr9	140057458	140058040	MIR3621
chr3	121553675	121554297	EAF2
chr17	80128267	80128869	CCDC57
chr5	55007807	55008628	SLC38A9
chr16	1187583	1188016	CACNA1H
chr11	45168654	45169059	PRDM11
chr5	139127293	139127802	LOC101929696
chr12	109548825	109549202	UNG
chr5	139620861	139621216	PFDN1
chr9	140023808	140025085	GRIN1
chr10	1818331	1818890	ADARB2
chr10	65224857	65226072	JMJD1C
chr1	11795893	11796926	AGTRAP
chr18	55250574	55250929	FECH
chr15	98503296	98504842	ARRDC4
chr1	235490459	235490819	ARID4B
chr12	133613446	133614417	ZNF84
chr10	72700926	72701359	PCBD1
chr22	24180957	24181756	DERL3
chr17	18086397	18088488	ALKBH5
chr12	122232007	122232535	RHOF
chr3	138634552	138634951	LINC01391
chr2	167232185	167233057	SCN9A
chr19	18549363	18549977	ISYNA1
chr2	44946602	44947225	MIR548AD
chr1	155196442	155197921	GBAP1
chr3	10276640	10276956	TATDN2
chr18	67872929	67873367	RTTN
chr9	136418325	136418711	ADAMTSL2
chr7	6098327	6099339	EIF2AK1
chr2	73612453	73613722	ALMS1
chr1	43805470	43805926	MPL
chrX	114953561	114953916	LOC642776
chr11	116291331	116291840	BUD13
chr1	207494078	207495221	CD55
chr16	86927727	86928038	LOC440390
chr6	37427892	37428313	CMTR1
chr5	76145587	76146084	S100Z
chr22	46546618	46547348	PPARA
chr16	90148583	90149414	PRDM7
chr2	241190398	241191238	OTOS
chr19	36231146	36232101	IGFLR1
chr19	16582015	16583263	EPS15L1
chr5	124144341	124145107	ZNF608
chr2	122287882	122288547	RNU4ATAC
chr12	123942495	123943522	SNRNP35
chr17	3438672	3439252	TRPV3
chr20	49411433	49412291	BCAS4
chr8	145133179	145134630	EXOSC4
chr12	123717362	123718748	C12orf65
chr7	6544040	6544557	KDELR2
chr1	181057425	181058277	IER5
chr12	56861991	56862659	SPRYD4
chr22	41600990	41601417	L3MBTL2
chr11	67236323	67237086	TMEM134
chr1	155098788	155099179	EFNA1
chr16	56641988	56643105	MT2A
chr11	129938982	129939892	APLP2
chr15	79012373	79012853	LOC646938
chr8	8859982	8860793	ERI1
chr1	117900707	117901211	MAN1A2
chr1	17033975	17034614	ESPNP
chr11	47399542	47400413	SPI1
chr17	58469415	58470062	USP32
chr1	142890408	142891475	ANKRD20A12P
chr19	44174079	44174658	PLAUR
chr11	13946143	13946699	SPON1
chr21	46859258	46859746	COL18A1-AS1
chr1	86875163	86875477	ODF2L
chr4	699090	699966	PCGF3
chr10	72432244	72433127	ADAMTS14
chr14	21439458	21439936	RNASE2
chr19	36235599	36236883	U2AF1L4
chr11	46358256	46358610	DGKZ
chr8	142427644	142428118	PTP4A3
chr20	60877549	60878125	ADRM1
chr3	155461617	155462873	PLCH1
chr1	43990378	43990902	PTPRF
chr1	1509488	1510570	SSU72
chr4	100815447	100816150	LAMTOR3
chrX	153438228	153438554	OPN1MW
chr7	123388682	123389604	WASL
chr8	11323843	11324402	FAM167A
chr17	7791726	7792390	CHD3
chr14	36559172	36559604	LINC00609
chr15	75986853	75987353	CSPG4
chr15	74284148	74285007	STOML1
chr6	33678564	33679960	UQCC2
chr21	47063397	47063816	SLC19A1
chr10	135059287	135059599	MIR202
chr17	46566067	46566446	HOXB1
chr10	94608268	94609075	EXOC6
chr2	18741392	18742288	RDH14
chr6	14898135	14898477	JARID2
chr1	153316157	153317107	PGLYRP4
chr1	3521133	3521889	MEGF6
chr17	53045376	53045945	COX11
chr10	80843892	80844299	ZMIZ1
chr7	25901676	25902545	RNU6-16P
chr16	78776299	78776748	WWOX
chr21	45148215	45148891	PDXK
chr6	25138293	25138829	CMAHP
chr12	53764764	53765535	SP1
chr10	11755155	11755538	ECHDC3
chr17	47439020	47440317	ZNF652
chr8	41511136	41511726	MIR486-2
chr16	80027721	80028140	LINC01229
chr17	67410527	67411053	MAP2K6
chr7	25990635	25990985	MIR148A
chr1	70033705	70034054	LRRC7
chr7	75260941	75261481	PMS2P3
chr1	136172	136783	LOC729737
chr2	159177814	159178261	CCDC148
chr1	235716265	235716630	B3GALNT2
chr6	130339329	130340172	L3MBTL3
chr1	234795743	234796699	LOC101927787
chrX	70474765	70475477	ZMYM3
chr3	70339678	70340208	LINC01212
chr6	66497590	66498018	SLC25A51P1
chr11	32442524	32442822	WT1-AS
chr7	25509226	25509757	NPVF
chr4	95069207	95069555	LOC101929210
chr6	104937381	104937715	HACE1
chr8	98337878	98338274	TSPYL5
chr5	141228765	141229174	PCDH1
chr19	2900304	2901227	ZNF57
chr10	69990953	69991711	ATOH7
chr5	85913482	85914256	COX7C
chr18	70931744	70932083	LOC400655
chr6	37137948	37138379	PIM1
chr17	79994773	79995951	DCXR
chr6	31137213	31137601	POU5F1
chr4	153700602	153701326	TIGD4
chr20	361298	361699	TRIB3
chr6	16238321	16239276	GMPR
chr19	46270803	46271938	SIX5
chr1	228524144	228524548	MIR6742
chr11	117680046	117680665	DSCAML1
chr19	7701534	7702175	STXBP2
chr10	102802457	102803040	SFXN3
chr1	101664671	101665030	LOC101928370
chr4	41992724	41993069	SLC30A9
chr6	37400487	37401539	CMTR1
chr15	85259406	85260006	SEC11A
chr3	139106899	139107301	COPB2
chr6	20454232	20454835	E2F3
chr10	70314602	70315291	TET1
chr1	5945658	5946223	MIR4689
chr14	93650631	93651789	MOAP1
chr12	4524296	4524626	FGF6
chr17	37809663	37809964	TCAP
chr1	155278222	155278786	FDPS
chr16	86763340	86763679	FOXL1
chr12	16500368	16500717	MGST1
chr10	62537705	62538452	CDK1
chr2	128977324	128978024	HS6ST1
chrX	69654143	69654804	DLG3
chr1	85039445	85040178	CTBS
chr7	117043737	117044236	ASZ1
chr9	139158725	139159635	QSOX2
chr18	12406910	12408290	SLMO1
chr5	179740670	179741092	MAPK9
chr12	7023470	7024245	ENO2
chr9	99801067	99801859	CTSV
chr17	67043702	67044062	ABCA9
chr1	6295346	6296507	ICMT
chr3	49840000	49841108	FAM212A
chr6	3227234	3227801	TUBB2B
chr1	43833568	43834375	ELOVL1
chr4	140476356	140477726	SETD7
chr7	151722221	151723244	GALNT11
chr2	46925819	46926292	SOCS5
chr12	57118891	57119616	NACA
chr16	31453894	31454813	ZNF843
chr1	21009063	21009583	DDOST
chr17	7645888	7646469	RPL29P2
chr2	158371437	158372102	CYTIP
chr2	2060820	2061335	MYT1L-AS1
chr20	61371642	61372234	NTSR1
chr11	124041257	124042094	OR8G2
chr8	145702297	145702631	FOXH1
chr7	115850191	115851674	TES
chr1	41860445	41861130	FOXO6
chr7	23338563	23339247	MALSU1
chr10	11762328	11762811	ECHDC3
chr14	74485596	74486407	ENTPD5
chr10	29228303	29228657	C10orf126
chr11	77850219	77851218	ALG8
chr9	106856028	106856788	SMC2
chr3	167812549	167813944	GOLIM4
chr19	28976226	28976657	LOC100420587
chr5	134240128	134240920	PCBD2
chr5	57878677	57879136	RAB3C
chr5	68788259	68788813	OCLN
chr5	43556646	43557801	PAIP1
chr21	38361706	38362927	HLCS
chr18	44002661	44003205	RNF165
chrX	40118078	40118676	LOC101927476
chr4	113436669	113437255	NEUROG2
chr16	29677599	29678295	SPN
chr2	41953476	41953948	LOC388942
chr2	102184048	102184836	RFX8
chr6	91092458	91092830	MIR4464
chr7	124405582	124406255	GPR37
chr19	4402200	4402848	CHAF1A
chr17	21029770	21031179	DHRS7B
chr7	100424595	100426057	EPHB4
chr6	34485120	34485626	SPDEF
chr3	75721459	75721983	LINC00960
chr21	37670417	37670891	MORC3
chr20	60813046	60813657	OSBPL2
chr19	45942855	45943556	MIR6088
chr2	9770963	9771725	YWHAQ
chr8	1703667	1704055	CLN8
chr1	156783478	156783940	SH2D2A
chrX	73251310	73251867	JPX
chr10	88159691	88160404	GRID1
chr10	101988468	101989304	CHUK
chr3	42641528	42642878	NKTR
chrX	70473839	70474231	ZMYM3
chr15	78024879	78025386	LINGO1-AS2
chr6	155635327	155636309	TFB1M
chr21	35014012	35014592	CRYZL1
chr16	85495431	85496211	GSE1
chr21	47334021	47334445	LOC101928796
chr3	127936627	127936941	EEFSEC
chr1	25912667	25913084	MAN1C1
chr10	25190861	25191415	PRTFDC1
chr19	5753695	5754205	PRR22
chr20	37302684	37303680	SLC32A1
chr6	160113774	160115047	SOD2
chrX	16730632	16731083	CTPS2
chr2	32583204	32583716	BIRC6
chr13	50265163	50265948	EBPL
chr14	77589908	77590216	ZDHHC22
chr5	134094079	134094702	DDX46
chr1	161135929	161136400	PPOX
chr13	111522522	111523048	LINC00346
chr16	19535014	19535349	CCP110
chrX	128788403	128788978	APLN
chr11	44569585	44570094	CD82
chr19	51182510	51183785	C19orf81
chr16	83841237	83841926	HSBP1
chr2	9941301	9941623	TAF1B
chr16	10713125	10713789	EMP2
chr16	1392732	1393518	BAIAP3
chr11	8710269	8710979	SNORA45B
chr2	69408931	69409317	MIR3126
chr1	154589491	154589874	ADAR
chr19	3612722	3613341	CACTIN-AS1
chr5	7868912	7869607	MTRR
chrX	148620876	148621346	LINC00893
chr8	53626348	53627435	RB1CC1
chr8	144373147	144373913	ZNF696
chr3	195530161	195530569	MUC4
chr17	45918089	45918872	SCRN2
chr21	44994635	44995077	MIR6070
chr21	47743547	47745361	PCNT
chr20	34852766	34853098	AAR2
chr20	61506833	61507335	TCFL5
chr7	43954295	43954874	URGCP
chr5	23507205	23507705	PRDM9
chr1	192955240	192955711	LINC01032
chr2	119981061	119981953	STEAP3
chr16	88184847	88185213	LOC101928880
chrX	118369783	118370809	PGRMC1
chr2	118899979	118900602	INSIG2
chr3	100053395	100053990	NIT2
chr15	78591779	78592238	WDR61
chr1	212964649	212965174	NSL1
chr5	137824124	137824504	EGR1
chr16	57519933	57520453	DOK4
chr3	52804606	52805360	NEK4
chr19	1401100	1401862	GAMT
chr3	54180680	54181072	CACNA2D3
chr14	39583100	39583918	GEMIN2
chr16	88564166	88564966	MIR5189
chr4	187421841	187422443	F11-AS1
chr4	1795795	1796125	FGFR3
chr4	9382659	9383466	USP17L6P
chrX	43741514	43741943	MAOB
chr3	141343871	141344200	RNF7
chr11	27631099	27631441	LINC00678
chr19	13263724	13264753	IER2
chr10	104401707	104402219	TRIM8
chr1	9555317	9555807	SLC25A33
chr16	81658542	81658907	MIR6504
chr1	155290159	155291037	RUSC1-AS1
chr19	3684002	3684484	PIP5K1C
chr16	30708986	30710917	LOC730183
chr1	21711023	21711716	NBPF3
chr1	45272817	45274412	BTBD19
chr8	102138544	102139515	FLJ42969
chr7	99213981	99214742	ZSCAN25
chr2	46134627	46134996	PRKCE
chr8	126103463	126104300	KIAA0196
chr1	95871581	95871933	FLJ31662
chrX	23761112	23761734	ACOT9
chr3	52187406	52189315	POC1A
chr22	19879666	19880188	GNB1L
chr13	91999046	92000240	MIR17HG
chr7	111603186	111603547	DOCK4-AS1
chr7	150707105	150707847	ATG9B
chr17	7338535	7339556	TMEM102
chr7	140372787	140373628	ADCK2
chr7	27702174	27703658	HIBADH
chrX	118175095	118175512	LONRF3
chr20	49077866	49078434	PTPN1
chr19	39605850	39606277	PAK4
chr5	131891956	131892991	RAD50
chr17	46184657	46185330	SNX11
chr1	161509720	161510342	FCGR3A
chr18	13726131	13726889	FAM210A
chr21	37617200	37618276	MORC3
chr11	57266931	57267662	SLC43A1
chr19	45393555	45395033	TOMM40
chr2	130731692	130732074	RAB6C
chr19	40995171	40995705	BLVRB
chr6	28775202	28775925	LOC401242
chr18	549906	550328	CETN1
chr6	35465094	35466113	TEAD3
chr2	191272722	191273056	MFSD6
chr2	70352102	70352777	LOC100133985
chr22	38092661	38093101	NOL12
chr9	132175849	132176632	LINC00963
chr17	35767277	35767765	TADA2A
chr5	133747329	133747899	CDKN2AIPNL
chr13	33433970	33434496	LINC00423
chr6	97374304	97374695	KLHL32
chr11	65640873	65641444	EFEMP2
chr19	19729279	19729922	PBX4
chr9	134271106	134271679	PRRC2B
chr15	51057475	51058129	SPPL2A
chr17	74705277	74705834	JMJD6
chr19	11641010	11641726	ECSIT
chr15	63633491	63633863	CA12
chr12	108955933	108956856	ISCU
chr2	219524208	219524713	BCS1L
chr10	23727531	23728300	OTUD1
chr5	180455052	180455383	BTNL9
chr19	46184667	46185156	MIR642B
chr11	568091	569296	MIR210HG
chrX	153672442	153673100	FAM50A
chr3	46735261	46735736	ALS2CL
chr10	92760195	92760733	LINC00502
chr12	69753020	69754222	YEATS4
chr1	223899900	223900589	CAPN2
chr7	66118984	66119905	LOC100996437
chr18	976323	976913	ADCYAP1
chr5	139533014	139533330	LOC101929719
chr10	77035578	77036231	ZNF503-AS1
chr20	60878484	60878897	ADRM1
chr13	47691345	47691838	HTR2A
chrX	48215892	48216437	SSX3
chr17	7348501	7349106	CHRNB1
chr15	69112706	69113580	ANP32A
chr8	57123675	57124911	CHCHD7
chrX	40027187	40027501	BCOR
chr10	70748324	70749231	KIAA1279
chr12	49391778	49392743	DDN
chr6	160182472	160183716	ACAT2
chr20	43419583	43420086	RIMS4
chr4	83955957	83956421	COPS4
