PeakID (cmd=annotatePeaks.pl ENCAB000BLK.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_11512	chr2	175191145	175191447	+	0	NA	exon (LINC01305, exon 1 of 3)	-exon (LINC01305, exon 1 of 3)	541	LINC01305	LINC01305	NR_038897			LINC01305			NA
Interval_15902	chr6	11143940	11144351	+	0	NA	Intergenic	Intergenic	-32074	ERVFRD-1	ERVFRD-1	NM_207582			ERVFRD-1			NA
Interval_12567	chr21	40910239	40910903	+	0	NA	Intergenic	Intergenic	74178	B3GALT5-AS1	B3GALT5-AS1	NR_026542			B3GALT5-AS1			NA
Interval_9416	chr19	10515358	10515657	+	0	NA	Intergenic	Intergenic	-1236	CDC37	CDC37	NM_007065			CDC37			NA
Interval_3059	chr11	6502375	6503047	+	0	NA	promoter-TSS (ARFIP2)	-promoter-TSS (ARFIP2)	-2	ARFIP2	ARFIP2	NM_012402			ARFIP2			NA
Interval_745	chr1	41961393	41962444	+	0	NA	Intergenic	Intergenic	-11564	EDN2	EDN2	NM_001956			EDN2			NA
Interval_14712	chr4	113007748	113008144	+	0	NA	Intergenic	Intergenic	-58607	C4orf32	C4orf32	NM_152400			C4orf32			NA
Interval_11895	chr20	813962	814827	+	0	NA	promoter-TSS (FAM110A)	-promoter-TSS (FAM110A)	-2317	FAM110A	FAM110A	NM_207121			FAM110A			NA
Interval_2910	chr10	134234813	134235216	+	0	NA	Intergenic	Intergenic	-23700	C10orf91	C10orf91	NM_173541			C10orf91			NA
Interval_7163	chr16	67204423	67205294	+	0	NA	intron (NOL3, intron 1 of 3)	-intron (NOL3, intron 1 of 5)	-2898	NOL3	NOL3	NM_001276311			NOL3			NA
Interval_9527	chr19	13162441	13162804	+	0	NA	intron (NFIX, intron 2 of 9)	-intron (NFIX, intron 2 of 10)	51352	LYL1	LYL1	NM_005583			LYL1			NA
Interval_635	chr1	33638015	33638459	+	0	NA	intron (TRIM62, intron 1 of 4)	-intron (TRIM62, intron 1 of 4)	9434	TRIM62	TRIM62	NM_018207			TRIM62			NA
Interval_12189	chr20	42939406	42940298	+	0	NA	promoter-TSS (FITM2)	-promoter-TSS (FITM2)	37	FITM2	FITM2	NM_001080472			FITM2			NA
Interval_19446	chr9	139980468	139981811	+	0	NA	promoter-TSS (MAN1B1)	-promoter-TSS (MAN1B1)	130	MAN1B1-AS1	MAN1B1-AS1	NR_027447			MAN1B1-AS1			NA
Interval_13644	chr3	52552635	52553330	+	0	NA	intron (STAB1, intron 48 of 68)	-intron (STAB1, intron 48 of 68)	16111	NT5DC2	NT5DC2	NM_022908			NT5DC2			NA
Interval_2805	chr10	119171447	119171864	+	0	NA	Intergenic	Intergenic	-36677	PDZD8	PDZD8	NM_173791			PDZD8			NA
Interval_1486	chr1	161500433	161501038	+	0	NA	Intergenic	Intergenic	6405	HSPA6	HSPA6	NM_002155			HSPA6			NA
Interval_9381	chr19	9420088	9420928	+	0	NA	Intergenic	Intergenic	-4713	ZNF699	ZNF699	NM_198535			ZNF699			NA
Interval_1885	chr1	224691017	224691612	+	0	NA	Intergenic	Intergenic	-69313	WDR26	WDR26	NM_025160			WDR26			NA
Interval_3264	chr11	45921433	45921936	+	0	NA	intron (MAPK8IP1, intron 2 of 11)	-intron (MAPK8IP1, intron 2 of 11)	7149	C11orf94	C11orf94	NM_001080446			C11orf94			NA
Interval_18045	chr8	21027016	21027359	+	0	NA	Intergenic	Intergenic	-128563	LOC101929172	LOC101929172	NR_104677			LOC101929172			NA
Interval_1661	chr1	200707535	200708388	+	0	NA	promoter-TSS (CAMSAP2)	-promoter-TSS (CAMSAP2)	-725	CAMSAP2	CAMSAP2	NM_001297708			CAMSAP2			NA
Interval_853	chr1	51983622	51984763	+	0	NA	intron (EPS15, intron 1 of 24)	-intron (EPS15, intron 1 of 24)	803	EPS15	EPS15	NM_001981			EPS15			NA
Interval_14003	chr3	150263851	150264791	+	0	NA	promoter-TSS (EIF2A)	-promoter-TSS (EIF2A)	107	SERP1	SERP1	NM_014445			SERP1			NA
Interval_6381	chr15	82944530	82945094	+	0	NA	promoter-TSS (GOLGA2P10)	-promoter-TSS (GOLGA2P10)	66	GOLGA2P10	GOLGA2P10	NR_103496_1			GOLGA2P10			NA
Interval_14874	chr4	175699764	175700136	+	0	NA	intron (GLRA3, intron 2 of 9)	-intron (GLRA3, intron 2 of 8)	50516	GLRA3	GLRA3	NM_001042543			GLRA3			NA
Interval_5726	chr14	96718487	96719301	+	0	NA	Intergenic	Intergenic	-3653	BDKRB1	BDKRB1	NM_000710			BDKRB1			NA
Interval_13217	chr22	50639111	50639408	+	0	NA	promoter-TSS (SELO)	-promoter-TSS (SELO)	-149	SELO	SELO	NM_031454			SELO			NA
Interval_6647	chr16	2563240	2564006	+	0	NA	promoter-TSS (ATP6V0C)	-promoter-TSS (ATP6V0C)	-248	ATP6V0C	ATP6V0C	NM_001694			ATP6V0C			NA
Interval_12194	chr20	43343439	43344003	+	0	NA	promoter-TSS (WISP2)	-promoter-TSS (WISP2)	-164	WISP2	WISP2	NM_003881			WISP2			NA
Interval_13395	chr3	32611891	32612919	+	0	NA	promoter-TSS (DYNC1LI1)	-promoter-TSS (DYNC1LI1)	-39	DYNC1LI1	DYNC1LI1	NM_016141			DYNC1LI1			NA
Interval_15133	chr5	60139679	60140256	+	0	NA	intron (ELOVL7, intron 1 of 8)	-intron (ELOVL7, intron 1 of 7)	134	ELOVL7	ELOVL7	NM_024930			ELOVL7			NA
Interval_2836	chr10	123125573	123126012	+	0	NA	Intergenic	Intergenic	232180	FGFR2	FGFR2	NM_000141			FGFR2			NA
Interval_8403	chr17	63133129	63133685	+	0	NA	promoter-TSS (RGS9)	-promoter-TSS (RGS9)	-49	RGS9	RGS9	NM_001081955			RGS9			NA
Interval_3829	chr11	107799125	107799452	+	0	NA	promoter-TSS (RAB39A)	-promoter-TSS (RAB39A)	87	RAB39A	RAB39A	NM_017516			RAB39A			NA
Interval_13169	chr22	46067577	46068506	+	0	NA	exon (ATXN10, exon 1 of 11)	-exon (ATXN10, exon 1 of 11)	363	ATXN10	ATXN10	NM_013236			ATXN10			NA
Interval_1132	chr1	112203163	112203504	+	0	NA	intron (RAP1A, intron 2 of 8)	-intron (RAP1A, intron 2 of 8)	40928	RAP1A	RAP1A	NM_001291896			RAP1A			NA
Interval_714	chr1	40235861	40236262	+	0	NA	exon (OXCT2, exon 1 of 1)	-exon (OXCT2, exon 1 of 1)	959	OXCT2	OXCT2	NM_022120			OXCT2			NA
Interval_10534	chr19	57874425	57875057	+	0	NA	promoter-TSS (ZNF547)	-promoter-TSS (ZNF547)	-62	ZNF547	ZNF547	NM_173631			ZNF547			NA
Interval_493	chr1	26662745	26663474	+	0	NA	exon (AIM1L, exon 12 of 20)	-exon (AIM1L, exon 12 of 20)	17512	AIM1L	AIM1L	NM_001039775			AIM1L			NA
Interval_703	chr1	39570943	39571508	+	0	NA	intron (MACF1, intron 1 of 92)	-intron (MACF1, intron 1 of 92)	21386	MACF1	MACF1	NM_012090			MACF1			NA
Interval_8992	chr18	72162784	72164255	+	0	NA	promoter-TSS (CNDP2)	-promoter-TSS (CNDP2)	19	CNDP2	CNDP2	NM_018235			CNDP2			NA
Interval_13610	chr3	50604769	50605371	+	0	NA	exon (C3orf18, exon 1 of 5)	-exon (C3orf18, exon 1 of 5)	153	C3orf18	C3orf18	NM_001171741			C3orf18			NA
Interval_8253	chr17	47817031	47817598	+	0	NA	intron (FAM117A, intron 1 of 7)	-intron (FAM117A, intron 1 of 7)	24204	FAM117A	FAM117A	NM_030802			FAM117A			NA
Interval_17649	chr7	120497604	120498603	+	0	NA	promoter-TSS (TSPAN12)	-promoter-TSS (TSPAN12)	74	TSPAN12	TSPAN12	NM_012338			TSPAN12			NA
Interval_19096	chr9	117077777	117078395	+	0	NA	Intergenic	Intergenic	-7217	ORM1	ORM1	NM_000607			ORM1			NA
Interval_5059	chr13	36919530	36919998	+	0	NA	promoter-TSS (SPG20-AS1)	-promoter-TSS (SPG20-AS1)	-804	SPG20-AS1	SPG20-AS1	NR_045180			SPG20-AS1			NA
Interval_16667	chr6	132185049	132185442	+	0	NA	intron (ENPP1, intron 9 of 24)	-intron (ENPP1, intron 9 of 24)	56089	ENPP1	ENPP1	NM_006208			ENPP1			NA
Interval_2014	chr1	235267589	235267990	+	0	NA	Intergenic	Intergenic	23463	SNORA14B	SNORA14B	NR_002956			SNORA14B			NA
Interval_1464	chr1	160231279	160232835	+	0	NA	exon (DCAF8, exon 1 of 14)	-exon (DCAF8, exon 1 of 14)	220	DCAF8	DCAF8	NM_015726			DCAF8			NA
Interval_14154	chr3	185597544	185598009	+	0	NA	Intergenic	Intergenic	-54949	IGF2BP2	IGF2BP2	NM_001291869			IGF2BP2			NA
Interval_16230	chr6	34855582	34855951	+	0	NA	promoter-TSS (TAF11)	-promoter-TSS (TAF11)	82	TAF11	TAF11	NM_001270488			TAF11			NA
Interval_10548	chr19	58520820	58521568	+	0	NA	Intergenic	Intergenic	-6480	ZNF606	ZNF606	NM_025027			ZNF606			NA
Interval_15521	chr5	141392313	141392920	+	0	NA	promoter-TSS (GNPDA1)	-promoter-TSS (GNPDA1)	4	GNPDA1	GNPDA1	NM_005471			GNPDA1			NA
Interval_12325	chr20	56169051	56169528	+	0	NA	Intergenic	Intergenic	26343	ZBP1	ZBP1	NM_001160418			ZBP1			NA
Interval_13605	chr3	50416246	50416562	+	0	NA	exon (CACNA2D2, exon 13 of 38)	-exon (CACNA2D2, exon 13 of 38)	13639	CYB561D2	CYB561D2	NR_111914			CYB561D2			NA
Interval_7399	chr16	85732320	85732988	+	0	NA	Intergenic	Intergenic	-10066	GINS2	GINS2	NM_016095			GINS2			NA
Interval_3429	chr11	63861930	63862280	+	0	NA	intron (MACROD1, intron 3 of 10)	-intron (MACROD1, intron 3 of 10)	-9257	FLRT1	FLRT1	NM_013280			FLRT1			NA
Interval_7430	chr16	87835093	87835756	+	0	NA	Intergenic	Intergenic	-22670	LOC102724467	LOC102724467	NR_120309			LOC102724467			NA
Interval_16594	chr6	111804790	111805668	+	0	NA	promoter-TSS (REV3L)	-promoter-TSS (REV3L)	-311	REV3L	REV3L	NM_001286431			REV3L			NA
Interval_633	chr1	33592894	33593326	+	0	NA	Intergenic	Intergenic	45331	AZIN2	AZIN2	NM_052998			AZIN2			NA
Interval_14863	chr4	174089915	174090258	+	0	NA	exon (GALNT7, exon 1 of 12)	-exon (GALNT7, exon 1 of 12)	182	GALNT7	GALNT7	NM_017423			GALNT7			NA
Interval_5826	chr14	105195433	105196470	+	0	NA	promoter-TSS (ADSSL1)	-promoter-TSS (ADSSL1)	-277	ADSSL1	ADSSL1	NM_199165			ADSSL1			NA
Interval_12445	chr21	18983799	18984217	+	0	NA	intron (BTG3, intron 1 of 4)	-intron (BTG3, intron 1 of 5)	1260	BTG3	BTG3	NM_001130914			BTG3			NA
Interval_13736	chr3	80819450	80819931	+	0	NA	Intergenic	Intergenic	991260	GBE1	GBE1	NM_000158			GBE1			NA
Interval_17325	chr7	72745729	72746147	+	0	NA	intron (FKBP6, intron 5 of 8)	-intron (FKBP6, intron 5 of 8)	3703	FKBP6	FKBP6	NM_003602			FKBP6			NA
Interval_8200	chr17	45928061	45928894	+	0	NA	promoter-TSS (SP6)	-promoter-TSS (SP6)	4763	SP6	SP6	NM_199262			SP6			NA
Interval_6241	chr15	69744589	69745460	+	0	NA	promoter-TSS (RPLP1)	-promoter-TSS (RPLP1)	-135	RPLP1	RPLP1	NM_213725			RPLP1			NA
Interval_19876	chrX	119694820	119695273	+	0	NA	promoter-TSS (CUL4B)	-promoter-TSS (CUL4B)	14638	CUL4B	CUL4B	NM_003588			CUL4B			NA
Interval_4127	chr12	9435821	9437023	+	0	NA	exon (LOC642846, exon 1 of 22)	-exon (LOC642846, exon 1 of 22)	169	LOC642846	LOC642846	NR_024374			LOC642846			NA
Interval_11616	chr2	201662133	201662555	+	0	NA	intron (LOC101927795, intron 1 of 3)	-intron (LOC101927795, intron 1 of 3)	-13925	BZW1	BZW1	NM_014670			BZW1			NA
Interval_551	chr1	28879097	28880235	+	0	NA	intron (TRNAU1AP, intron 1 of 9)	-intron (TRNAU1AP, intron 1 of 8)	137	TRNAU1AP	TRNAU1AP	NM_017846			TRNAU1AP			NA
Interval_13688	chr3	60255624	60256210	+	0	NA	intron (FHIT, intron 5 of 9)	-intron (FHIT, intron 5 of 9)	347686	MIR548BB	MIR548BB	NR_128708			MIR548BB			NA
Interval_14157	chr3	185825328	185825847	+	0	NA	intron (ETV5, intron 1 of 12)	-intron (ETV5, intron 1 of 12)	1314	ETV5	ETV5	NM_004454			ETV5			NA
Interval_1431	chr1	156736864	156737413	+	0	NA	promoter-TSS (PRCC)	-promoter-TSS (PRCC)	-136	PRCC	PRCC	NM_005973			PRCC			NA
Interval_19813	chrX	102469817	102470166	+	0	NA	promoter-TSS (BEX4)	-promoter-TSS (BEX4)	-29	BEX4	BEX4	NM_001080425			BEX4			NA
Interval_12569	chr21	41795061	41795635	+	0	NA	intron (DSCAM, intron 3 of 32)	-intron (DSCAM, intron 3 of 32)	40338	DSCAM-AS1	DSCAM-AS1	NR_038900			DSCAM-AS1			NA
Interval_5238	chr13	108867782	108868328	+	0	NA	promoter-TSS (LIG4)	-promoter-TSS (LIG4)	-173	LIG4	LIG4	NM_001098268			LIG4			NA
Interval_8112	chr17	42015245	42015817	+	0	NA	Intergenic	Intergenic	4302	PPY	PPY	NM_002722			PPY			NA
Interval_19670	chrX	48554635	48555823	+	0	NA	intron (SUV39H1, intron 1 of 5)	-intron (SUV39H1, intron 1 of 5)	105	SUV39H1	SUV39H1	NM_001282166			SUV39H1			NA
Interval_3733	chr11	77669695	77670019	+	0	NA	exon (INTS4, exon 7 of 23)	-exon (INTS4, exon 7 of 23)	35860	INTS4	INTS4	NM_033547			INTS4			NA
Interval_10236	chr19	48103382	48104215	+	0	NA	Intergenic	Intergenic	-7655	GLTSCR1	GLTSCR1	NM_015711			GLTSCR1			NA
Interval_5772	chr14	102197497	102197799	+	0	NA	intron (LINC00239, intron 1 of 3)	-intron (LINC00239, intron 1 of 3)	874	LINC00239	LINC00239	NR_026774			LINC00239			NA
Interval_19202	chr9	130661920	130662235	+	0	NA	promoter-TSS (ST6GALNAC6)	-promoter-TSS (ST6GALNAC6)	5550	ST6GALNAC6	ST6GALNAC6	NM_001287002			ST6GALNAC6			NA
Interval_7294	chr16	76668492	76669373	+	0	NA	promoter-TSS (LOC101928203)	-promoter-TSS (LOC101928203)	37	LOC101928203	LOC101928203	NR_110934			LOC101928203			NA
Interval_3463	chr11	64544834	64545393	+	0	NA	exon (SF1, exon 1 of 13)	-exon (SF1, exon 1 of 13)	1203	SF1	SF1	NM_201995			SF1			NA
Interval_7183	chr16	67693717	67695213	+	0	NA	promoter-TSS (PARD6A)	-promoter-TSS (PARD6A)	253	ACD	ACD	NM_001082487			ACD			NA
Interval_3410	chr11	62648120	62649007	+	0	NA	promoter-TSS (SLC3A2)	-promoter-TSS (SLC3A2)	-608	SLC3A2	SLC3A2	NM_002394			SLC3A2			NA
Interval_12335	chr20	57581932	57582277	+	0	NA	exon (CTSZ, exon 1 of 6)	-exon (CTSZ, exon 1 of 6)	205	CTSZ	CTSZ	NM_001336			CTSZ			NA
Interval_12217	chr20	44600533	44601455	+	0	NA	promoter-TSS (ZNF335)	-promoter-TSS (ZNF335)	-161	ZNF335	ZNF335	NM_022095			ZNF335			NA
Interval_14509	chr4	47792169	47792479	+	0	NA	intron (CORIN, intron 2 of 21)	-intron (CORIN, intron 2 of 19)	-41038	LOC101927179	LOC101927179	NR_125881			LOC101927179			NA
Interval_9364	chr19	8436147	8436657	+	0	NA	exon (ANGPTL4, exon 5 of 6)	-exon (ANGPTL4, exon 5 of 6)	7391	ANGPTL4	ANGPTL4	NR_104213			ANGPTL4			NA
Interval_11009	chr2	70995112	70995422	+	0	NA	promoter-TSS (ADD2)	-promoter-TSS (ADD2)	108	ADD2	ADD2	NM_001185055			ADD2			NA
Interval_12396	chr20	62283489	62284020	+	0	NA	intron (STMN3, intron 1 of 4)	-intron (STMN3, intron 1 of 4)	1209	STMN3	STMN3	NM_015894			STMN3			NA
Interval_6498	chr15	96900102	96900833	+	0	NA	Intergenic	Intergenic	23977	MIR1469	MIR1469	NR_031715			MIR1469			NA
Interval_429	chr1	24104149	24105231	+	0	NA	promoter-TSS (PITHD1)	-promoter-TSS (PITHD1)	97	TCEB3-AS1	TCEB3-AS1	NR_038280			TCEB3-AS1			NA
Interval_12735	chr22	19153949	19154365	+	0	NA	Intergenic	Intergenic	-5062	LINC01311	LINC01311	NR_103767			LINC01311			NA
Interval_634	chr1	33626869	33627481	+	0	NA	intron (TRIM62, intron 2 of 4)	-intron (TRIM62, intron 2 of 4)	20496	TRIM62	TRIM62	NM_018207			TRIM62			NA
Interval_6926	chr16	29710777	29711236	+	0	NA	Intergenic	Intergenic	20565	QPRT	QPRT	NM_014298			QPRT			NA
Interval_9544	chr19	13842159	13842987	+	0	NA	Intergenic	Intergenic	-16180	CCDC130	CCDC130	NM_030818			CCDC130			NA
Interval_1894	chr1	226111591	226112137	+	0	NA	exon (PYCR2, exon 1 of 6)	-exon (PYCR2, exon 1 of 6)	176	PYCR2	PYCR2	NM_013328			PYCR2			NA
Interval_11904	chr20	2082132	2082922	+	0	NA	promoter-TSS (STK35)	-promoter-TSS (STK35)	-1	STK35	STK35	NM_080836			STK35			NA
Interval_11874	chr20	304979	305320	+	0	NA	intron (NRSN2-AS1, intron 1 of 2)	-intron (NRSN2-AS1, intron 1 of 2)	747	NRSN2-AS1	NRSN2-AS1	NR_109990			NRSN2-AS1			NA
Interval_13830	chr3	122785460	122786281	+	0	NA	promoter-TSS (PDIA5)	-promoter-TSS (PDIA5)	14	PDIA5	PDIA5	NM_006810			PDIA5			NA
Interval_9070	chr19	1062813	1063421	+	0	NA	intron (ABCA7, intron 42 of 46)	-intron (ABCA7, intron 42 of 46)	-4048	HMHA1	HMHA1	NM_001282334			HMHA1			NA
Interval_16771	chr6	151711018	151712505	+	0	NA	intron (ZBTB2, intron 1 of 2)	-intron (ZBTB2, intron 1 of 2)	1074	ZBTB2	ZBTB2	NM_020861			ZBTB2			NA
Interval_7371	chr16	85308549	85308920	+	0	NA	Intergenic	Intergenic	-7830	LINC00311	LINC00311	NR_038859			LINC00311			NA
Interval_12932	chr22	30987968	30988500	+	0	NA	promoter-TSS (PES1)	-promoter-TSS (PES1)	-307	PES1	PES1	NM_001282328			PES1			NA
Interval_11393	chr2	140622360	140622930	+	0	NA	Intergenic	Intergenic	721609	MIR7157	MIR7157	NR_106979			MIR7157			NA
Interval_7664	chr17	7746871	7748362	+	0	NA	intron (KDM6B, intron 1 of 21)	-intron (KDM6B, intron 1 of 21)	4381	KDM6B	KDM6B	NM_001080424			KDM6B			NA
Interval_2774	chr10	106440587	106441049	+	0	NA	intron (SORCS3, intron 1 of 26)	-intron (SORCS3, intron 1 of 26)	-14844	SORCS3-AS1	SORCS3-AS1	NR_104028			SORCS3-AS1			NA
Interval_1060	chr1	94883405	94884295	+	0	NA	promoter-TSS (ABCD3)	-promoter-TSS (ABCD3)	-83	ABCD3	ABCD3	NM_002858			ABCD3			NA
Interval_17813	chr7	149321396	149322272	+	0	NA	promoter-TSS (ZNF767P)	-promoter-TSS (ZNF767P)	47	ZNF767P	ZNF767P	NR_027789			ZNF767P			NA
Interval_13456	chr3	41033461	41033999	+	0	NA	Intergenic	Intergenic	-207212	CTNNB1	CTNNB1	NM_001098210			CTNNB1			NA
Interval_2725	chr10	103879601	103880741	+	0	NA	promoter-TSS (LDB1)	-promoter-TSS (LDB1)	-5448	LDB1	LDB1	NM_001113407			LDB1			NA
Interval_2253	chr10	27388879	27389936	+	0	NA	promoter-TSS (ANKRD26)	-promoter-TSS (ANKRD26)	20	ANKRD26	ANKRD26	NM_001256053			ANKRD26			NA
Interval_11443	chr2	160761129	160761458	+	0	NA	promoter-TSS (LY75-CD302)	-promoter-TSS (LY75-CD302)	-26	LY75	LY75	NM_002349			LY75			NA
Interval_9278	chr19	5985043	5985747	+	0	NA	intron (LOC100128568, intron 1 of 3)	-intron (LOC100128568, intron 1 of 3)	6981	LOC100128568	LOC100128568	NR_046376			LOC100128568			NA
Interval_330	chr1	17422714	17423137	+	0	NA	intron (PADI2, intron 3 of 15)	-intron (PADI2, intron 3 of 15)	23023	PADI2	PADI2	NM_007365			PADI2			NA
Interval_14131	chr3	183977878	183978407	+	0	NA	intron (CAMK2N2, intron 1 of 1)	-intron (ECE2, intron 2 of 18)	1109	CAMK2N2	CAMK2N2	NM_033259			CAMK2N2			NA
Interval_1075	chr1	100503443	100503841	+	0	NA	promoter-TSS (HIAT1)	-promoter-TSS (HIAT1)	-147	HIAT1	HIAT1	NM_033055			HIAT1			NA
Interval_16812	chr6	158652481	158652999	+	0	NA	Intergenic	Intergenic	63361	GTF2H5	GTF2H5	NM_207118			GTF2H5			NA
Interval_4041	chr12	2861714	2862075	+	0	NA	Intergenic	Intergenic	18941	LOC283440	LOC283440	NR_033958			LOC283440			NA
Interval_17638	chr7	116165662	116166733	+	0	NA	promoter-TSS (CAV1)	-promoter-TSS (CAV1)	1358	CAV1	CAV1	NM_001172895			CAV1			NA
Interval_3691	chr11	75110271	75110784	+	0	NA	promoter-TSS (RPS3)	-promoter-TSS (RPS3)	-8	RPS3	RPS3	NM_001256802			RPS3			NA
Interval_1580	chr1	179923347	179924204	+	0	NA	promoter-TSS (CEP350)	-promoter-TSS (CEP350)	-133	CEP350	CEP350	NM_014810			CEP350			NA
Interval_6592	chr16	1270031	1270696	+	0	NA	exon (CACNA1H, exon 34 of 34)	-exon (CACNA1H, exon 34 of 34)	4891	TPSG1	TPSG1	NM_012467			TPSG1			NA
Interval_18006	chr8	11429323	11429620	+	0	NA	Intergenic	Intergenic	-4573	LINC00208	LINC00208	NR_040035			LINC00208			NA
Interval_1784	chr1	208041935	208042800	+	0	NA	Intergenic	Intergenic	42316	CD34	CD34	NM_001773			CD34			NA
Interval_5390	chr14	31889027	31890221	+	0	NA	promoter-TSS (LOC101927124)	-promoter-TSS (LOC101927124)	164	HEATR5A	HEATR5A	NM_015473			HEATR5A			NA
Interval_2352	chr10	46762585	46762984	+	0	NA	exon (BMS1P5, exon 1 of 9)	-exon (BMS1P5, exon 1 of 9)	108	BMS1P5	BMS1P5	NR_003611			BMS1P5			NA
Interval_2918	chr10	134368803	134369178	+	0	NA	intron (INPP5A, intron 1 of 15)	-intron (INPP5A, intron 1 of 15)	17637	INPP5A	INPP5A	NM_005539			INPP5A			NA
Interval_17968	chr8	6624789	6625293	+	0	NA	Intergenic	Intergenic	-22280	MIR4659B	MIR4659B	NR_039807			MIR4659B			NA
Interval_17111	chr7	30517887	30518780	+	0	NA	promoter-TSS (NOD1)	-promoter-TSS (NOD1)	60	NOD1	NOD1	NM_006092			NOD1			NA
Interval_2201	chr10	15387087	15387435	+	0	NA	intron (FAM171A1, intron 1 of 7)	-intron (FAM171A1, intron 1 of 7)	25797	FAM171A1	FAM171A1	NM_001010924			FAM171A1			NA
Interval_16638	chr6	123850962	123851414	+	0	NA	intron (TRDN, intron 5 of 5)	-intron (TRDN, intron 5 of 20)	90439	HRAT13	HRAT13	NR_110844			HRAT13			NA
Interval_7033	chr16	46917654	46918989	+	0	NA	promoter-TSS (GPT2)	-promoter-TSS (GPT2)	29	GPT2	GPT2	NM_001142466			GPT2			NA
Interval_14586	chr4	76598350	76599207	+	0	NA	promoter-TSS (G3BP2)	-promoter-TSS (G3BP2)	-111	G3BP2	G3BP2	NM_203504			G3BP2			NA
Interval_1180	chr1	117909033	117910131	+	0	NA	promoter-TSS (MAN1A2)	-promoter-TSS (MAN1A2)	-503	MAN1A2	MAN1A2	NM_006699			MAN1A2			NA
Interval_8034	chr17	38463129	38463643	+	0	NA	Intergenic	Intergenic	-11087	RARA	RARA	NM_000964			RARA			NA
Interval_13194	chr22	47984265	47984731	+	0	NA	Intergenic	Intergenic	42820	LINC00898	LINC00898	NR_033377			LINC00898			NA
Interval_18847	chr9	71319446	71320508	+	0	NA	promoter-TSS (PIP5K1B)	-promoter-TSS (PIP5K1B)	-353	PIP5K1B	PIP5K1B	NM_001278253			PIP5K1B			NA
