PeakID (cmd=annotatePeaks.pl ENCAB506UYG.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_14500	chr2	134906566	134907014	+	0	NA	Intergenic	Intergenic	22094	MIR3679	MIR3679	NR_037450			MIR3679			NA
Interval_16756	chr22	37908489	37908828	+	0	NA	intron (CARD10, intron 3 of 19)	-intron (CARD10, intron 3 of 19)	6552	CARD10	CARD10	NM_014550			CARD10			NA
Interval_1809	chr1	149973358	149973675	+	0	NA	intron (OTUD7B, intron 1 of 11)	-intron (OTUD7B, intron 1 of 11)	9170	OTUD7B	OTUD7B	NM_020205			OTUD7B			NA
Interval_25081	chr8	30605801	30606028	+	0	NA	intron (UBXN8, intron 1 of 7)	-intron (UBXN8, intron 1 of 7)	4232	UBXN8	UBXN8	NM_005671			UBXN8			NA
Interval_2777	chr1	220941628	220941868	+	0	NA	intron (MARC2, intron 4 of 7)	-intron (MARC2, intron 4 of 7)	-18291	MARC1	MARC1	NM_022746			MARC1			NA
Interval_9501	chr16	10742145	10742702	+	0	NA	intron (TEKT5, intron 5 of 6)	-intron (TEKT5, intron 5 of 6)	46379	TEKT5	TEKT5	NM_144674			TEKT5			NA
Interval_13655	chr2	38932520	38932736	+	0	NA	intron (GALM, intron 4 of 6)	-intron (GALM, intron 4 of 6)	39576	GALM	GALM	NM_138801			GALM			NA
Interval_120	chr1	8960835	8961063	+	0	NA	Intergenic	Intergenic	-21798	ENO1	ENO1	NM_001428			ENO1			NA
Interval_9251	chr15	90594417	90594716	+	0	NA	intron (ZNF710, intron 1 of 4)	-intron (ZNF710, intron 1 of 4)	44579	MIR3174	MIR3174	NR_036135			MIR3174			NA
Interval_25043	chr8	28176289	28176730	+	0	NA	intron (PNOC, intron 1 of 3)	-intron (PNOC, intron 1 of 3)	1860	PNOC	PNOC	NM_001284244			PNOC			NA
Interval_16456	chr22	20047853	20048085	+	0	NA	intron (TANGO2, intron 6 of 6)	-intron (TANGO2, intron 4 of 5)	-19786	DGCR8	DGCR8	NM_001190326			DGCR8			NA
Interval_3126	chr1	247711423	247711776	+	0	NA	promoter-TSS (GCSAML)	-promoter-TSS (GCSAML)	-748	GCSAML	GCSAML	NM_001281838			GCSAML			NA
Interval_27344	chrX	47799928	47800194	+	0	NA	Intergenic	Intergenic	63316	ZNF182	ZNF182	NM_001007088			ZNF182			NA
Interval_19434	chr4	109948093	109948795	+	0	NA	intron (COL25A1, intron 4 of 35)	-intron (COL25A1, intron 3 of 31)	-264209	ETNPPL	ETNPPL	NM_001146590			ETNPPL			NA
Interval_7047	chr12	114258659	114259008	+	0	NA	intron (RBM19, intron 24 of 24)	-intron (RBM19, intron 24 of 24)	-47345	LINC01234	LINC01234	NR_110025			LINC01234			NA
Interval_11115	chr17	55631744	55632222	+	0	NA	intron (MSI2, intron 6 of 9)	-intron (MSI2, intron 7 of 13)	-31025	LOC101927557	LOC101927557	NR_110808			LOC101927557			NA
Interval_1376	chr1	93270321	93270719	+	0	NA	Intergenic	Intergenic	-12559	EVI5	EVI5	NM_005665			EVI5			NA
Interval_12269	chr19	6682584	6683196	+	0	NA	intron (C3, intron 33 of 40)	-intron (C3, intron 33 of 40)	-12291	TNFSF14	TNFSF14	NM_172014			TNFSF14			NA
Interval_6170	chr12	30915958	30916361	+	0	NA	Intergenic	Intergenic	-8711	CAPRIN2	CAPRIN2	NM_001002259			CAPRIN2			NA
Interval_22935	chr6	143521526	143521892	+	0	NA	intron (AIG1, intron 3 of 5)	-intron (AIG1, intron 4 of 6)	139730	AIG1	AIG1	NM_001286587			AIG1			NA
Interval_20748	chr5	124109590	124109854	+	0	NA	Intergenic	Intergenic	-28917	ZNF608	ZNF608	NM_020747			ZNF608			NA
Interval_23447	chr7	13001571	13001888	+	0	NA	Intergenic	Intergenic	275277	ARL4A	ARL4A	NM_005738			ARL4A			NA
Interval_4668	chr11	15607612	15607851	+	0	NA	Intergenic	Intergenic	-57700	LOC102724957	LOC102724957	NM_001293172			LOC102724957			NA
Interval_6284	chr12	47599678	47600126	+	0	NA	intron (PCED1B, intron 2 of 2)	-intron (PCED1B, intron 2 of 2)	10324	PCED1B-AS1	PCED1B-AS1	NR_026544			PCED1B-AS1			NA
Interval_19207	chr4	79592839	79593559	+	0	NA	intron (LINC01094, intron 2 of 2)	-intron (LINC01094, intron 3 of 4)	26051	LINC01094	LINC01094	NR_038308			LINC01094			NA
Interval_1729	chr1	144520891	144521168	+	0	NA	intron (NBPF20, intron 52 of 130)	-intron (NBPF20, intron 52 of 130)	91690	PFN1P2	PFN1P2	NR_003242			PFN1P2			NA
Interval_8001	chr14	53319968	53320253	+	0	NA	Intergenic	Intergenic	-61724	GNPNAT1	GNPNAT1	NM_198066			GNPNAT1			NA
Interval_12896	chr19	45348279	45348532	+	0	NA	promoter-TSS (PVRL2)	-promoter-TSS (PVRL2)	-988	PVRL2	PVRL2	NM_001042724			PVRL2			NA
Interval_10428	chr17	15283781	15284226	+	0	NA	Intergenic	Intergenic	-39045	TEKT3	TEKT3	NM_031898			TEKT3			NA
Interval_9483	chr16	10433913	10434264	+	0	NA	Intergenic	Intergenic	-45824	ATF7IP2	ATF7IP2	NM_024997			ATF7IP2			NA
Interval_24349	chr7	123125859	123126101	+	0	NA	intron (IQUB, intron 7 of 13)	-intron (IQUB, intron 7 of 12)	48738	IQUB	IQUB	NR_104245			IQUB			NA
Interval_591	chr1	29483263	29484054	+	0	NA	intron (SRSF4, intron 3 of 5)	-intron (SRSF4, intron 3 of 5)	24979	SRSF4	SRSF4	NM_005626			SRSF4			NA
Interval_21126	chr5	159670896	159671769	+	0	NA	Intergenic	Intergenic	14895	FABP6	FABP6	NM_001040442			FABP6			NA
Interval_1948	chr1	156392705	156392938	+	0	NA	intron (C1orf61, intron 2 of 6)	-intron (C1orf61, intron 2 of 6)	-2600	MIR9-1	MIR9-1	NR_029691			MIR9-1			NA
Interval_3651	chr10	52334802	52335049	+	0	NA	intron (SGMS1, intron 2 of 10)	-intron (SGMS1, intron 2 of 10)	48812	SGMS1	SGMS1	NM_147156			SGMS1			NA
Interval_16788	chr22	39361885	39362259	+	0	NA	intron (APOBEC3A_B, intron 4 of 4)	-intron (APOBEC3A_B, intron 4 of 4)	8545	APOBEC3A	APOBEC3A	NM_001270406			APOBEC3A			NA
Interval_2148	chr1	167793561	167794011	+	0	NA	exon (ADCY10, exon 25 of 30)	-exon (ADCY10, exon 25 of 30)	89678	ADCY10	ADCY10	NM_018417			ADCY10			NA
Interval_16110	chr21	20862692	20863238	+	0	NA	Intergenic	Intergenic	-730835	LOC101927797	LOC101927797	NR_109925			LOC101927797			NA
Interval_944	chr1	46987970	46988660	+	0	NA	Intergenic	Intergenic	15647	DMBX1	DMBX1	NM_147192			DMBX1			NA
Interval_25051	chr8	28943000	28943220	+	0	NA	intron (KIF13B, intron 37 of 39)	-intron (KIF13B, intron 37 of 39)	177500	KIF13B	KIF13B	NM_015254			KIF13B			NA
Interval_1654	chr1	117180217	117180561	+	0	NA	intron (IGSF3, intron 1 of 10)	-intron (IGSF3, intron 2 of 10)	29189	IGSF3	IGSF3	NM_001007237			IGSF3			NA
Interval_8893	chr15	64188690	64189701	+	0	NA	Intergenic	Intergenic	-25977	MIR422A	MIR422A	NR_029944			MIR422A			NA
Interval_13611	chr2	33435044	33435312	+	0	NA	intron (LTBP1, intron 7 of 33)	-intron (LTBP1, intron 3 of 29)	-208405	MIR4430	MIR4430	NR_039628			MIR4430			NA
Interval_18153	chr3	143825814	143826259	+	0	NA	Intergenic	Intergenic	135396	C3orf58	C3orf58	NM_173552			C3orf58			NA
Interval_2667	chr1	208359212	208359592	+	0	NA	intron (PLXNA2, intron 3 of 31)	-intron (PLXNA2, intron 3 of 31)	58263	PLXNA2	PLXNA2	NM_025179			PLXNA2			NA
Interval_8281	chr14	78786348	78787056	+	0	NA	intron (NRXN3, intron 4 of 20)	-intron (NRXN3, intron 4 of 20)	149986	NRXN3	NRXN3	NM_138970			NRXN3			NA
Interval_16330	chr21	44572831	44573091	+	0	NA	Intergenic	Intergenic	-16157	CRYAA	CRYAA	NM_000394			CRYAA			NA
Interval_17904	chr3	125086083	125086368	+	0	NA	intron (ZNF148, intron 1 of 8)	-intron (ZNF148, intron 1 of 8)	7973	ZNF148	ZNF148	NM_021964			ZNF148			NA
Interval_2411	chr1	192908534	192908775	+	0	NA	intron (LINC01032, intron 1 of 2)	-intron (LINC01032, intron 1 of 2)	8733	LINC01032	LINC01032	NR_126003			LINC01032			NA
Interval_23249	chr7	520249	520576	+	0	NA	Intergenic	Intergenic	39069	PDGFA	PDGFA	NM_033023			PDGFA			NA
Interval_12940	chr19	47308641	47308921	+	0	NA	Intergenic	Intergenic	-16939	SLC1A5	SLC1A5	NM_005628			SLC1A5			NA
Interval_24445	chr7	129791582	129792743	+	0	NA	Intergenic	Intergenic	53176	TMEM209	TMEM209	NM_032842			TMEM209			NA
Interval_20348	chr5	72445467	72445754	+	0	NA	Intergenic	Intergenic	-23413	TMEM174	TMEM174	NM_153217			TMEM174			NA
Interval_26406	chr9	92067458	92067700	+	0	NA	intron (SEMA4D, intron 2 of 17)	-intron (SEMA4D, intron 2 of 20)	27032	SEMA4D	SEMA4D	NM_001142287			SEMA4D			NA
Interval_5438	chr11	77996188	77996507	+	0	NA	intron (GAB2, intron 1 of 9)	-intron (GAB2, intron 1 of 9)	96489	USP35	USP35	NM_020798			USP35			NA
Interval_11666	chr18	9477535	9477803	+	0	NA	intron (RALBP1, intron 1 of 9)	-intron (RALBP1, intron 1 of 9)	2139	RALBP1	RALBP1	NM_006788			RALBP1			NA
Interval_16966	chr22	51239138	51239710	+	0	NA	Intergenic	Intergenic	17267	RPL23AP82	RPL23AP82	NR_026981			RPL23AP82			NA
Interval_27589	chrX	107279103	107279333	+	0	NA	Intergenic	Intergenic	-8982	VSIG1	VSIG1	NM_182607			VSIG1			NA
Interval_20271	chr5	65105957	65106360	+	0	NA	intron (NLN, intron 11 of 12)	-intron (NLN, intron 11 of 12)	88135	NLN	NLN	NM_020726			NLN			NA
Interval_3062	chr1	243202452	243202783	+	0	NA	Intergenic	Intergenic	62429	LINC01347	LINC01347	NR_029401			LINC01347			NA
Interval_13364	chr2	11970232	11970778	+	0	NA	Intergenic	Intergenic	6607	MIR4262	MIR4262	NR_036226			MIR4262			NA
Interval_328	chr1	20092261	20092486	+	0	NA	intron (TMCO4, intron 6 of 15)	-intron (TMCO4, intron 6 of 15)	34037	TMCO4	TMCO4	NM_181719			TMCO4			NA
Interval_338	chr1	20856816	20857086	+	0	NA	Intergenic	Intergenic	-21981	FAM43B	FAM43B	NM_207334			FAM43B			NA
Interval_10730	chr17	35219626	35220175	+	0	NA	Intergenic	Intergenic	-74872	LHX1	LHX1	NM_005568			LHX1			NA
Interval_23074	chr6	157726331	157726637	+	0	NA	intron (TMEM242, intron 3 of 3)	-intron (TMEM242, intron 3 of 3)	18807	TMEM242	TMEM242	NM_018452			TMEM242			NA
Interval_22777	chr6	131978766	131979118	+	0	NA	intron (ENPP3, intron 5 of 24)	-intron (ENPP3, intron 5 of 24)	20500	ENPP3	ENPP3	NM_005021			ENPP3			NA
Interval_6543	chr12	65114499	65115188	+	0	NA	intron (GNS, intron 12 of 13)	-intron (GNS, intron 12 of 13)	38383	GNS	GNS	NM_002076			GNS			NA
Interval_24176	chr7	103559464	103560278	+	0	NA	intron (RELN, intron 1 of 63)	-intron (RELN, intron 1 of 64)	70092	RELN	RELN	NM_173054			RELN			NA
Interval_8863	chr15	63400309	63400638	+	0	NA	Intergenic	Intergenic	-13526	LACTB	LACTB	NM_032857			LACTB			NA
Interval_13434	chr2	17808302	17808924	+	0	NA	intron (VSNL1, intron 2 of 3)	-intron (VSNL1, intron 2 of 3)	86806	VSNL1	VSNL1	NM_003385			VSNL1			NA
Interval_12829	chr19	41170785	41171044	+	0	NA	TTS (NUMBL)	-TTS (NUMBL)	25649	NUMBL	NUMBL	NM_004756			NUMBL			NA
Interval_20468	chr5	81126485	81126711	+	0	NA	Intergenic	Intergenic	-79526	SSBP2	SSBP2	NM_001256736			SSBP2			NA
Interval_6600	chr12	70539351	70539571	+	0	NA	Intergenic	Intergenic	97679	LINC01481	LINC01481	NR_120460			LINC01481			NA
Interval_9324	chr15	96899988	96900329	+	0	NA	Intergenic	Intergenic	23668	MIR1469	MIR1469	NR_031715			MIR1469			NA
Interval_20539	chr5	89953647	89953934	+	0	NA	exon (ADGRV1, exon 21 of 90)	-exon (ADGRV1, exon 21 of 90)	99173	ADGRV1	ADGRV1	NM_032119			ADGRV1			NA
Interval_16574	chr22	25720430	25720656	+	0	NA	Intergenic	Intergenic	6319	IGLL3P	IGLL3P	NR_029395			IGLL3P			NA
Interval_26232	chr9	67793540	67793934	+	0	NA	intron (FAM27B, intron 1 of 1)	-intron (FAM27B, intron 1 of 1)	452	FAM27B	FAM27B	NR_027422			FAM27B			NA
Interval_12684	chr19	33795847	33796089	+	0	NA	TTS (CEBPA-AS1)	-TTS (CEBPA-AS1)	2205	CEBPA-AS1	CEBPA-AS1	NR_026887			CEBPA-AS1			NA
Interval_15543	chr20	22909295	22909649	+	0	NA	Intergenic	Intergenic	-106585	SSTR4	SSTR4	NM_001052			SSTR4			NA
Interval_11913	chr18	52540345	52541024	+	0	NA	intron (RAB27B, intron 1 of 5)	-intron (RAB27B, intron 1 of 5)	44976	RAB27B	RAB27B	NM_004163			RAB27B			NA
Interval_23180	chr6	164006882	164007528	+	0	NA	Intergenic	Intergenic	171530	QKI	QKI	NM_001301085			QKI			NA
Interval_9647	chr16	22293516	22294165	+	0	NA	intron (EEF2K, intron 17 of 17)	-intron (EEF2K, intron 17 of 17)	-14856	POLR3E	POLR3E	NM_018119			POLR3E			NA
Interval_13042	chr19	50373578	50373869	+	0	NA	intron (AKT1S1, intron 4 of 4)	-intron (AKT1S1, intron 4 of 4)	-2901	PNKP	PNKP	NM_007254			PNKP			NA
Interval_7937	chr14	34894700	34894964	+	0	NA	Intergenic	Intergenic	36636	SPTSSA	SPTSSA	NM_138288			SPTSSA			NA
Interval_11767	chr18	23835719	23836169	+	0	NA	intron (TAF4B, intron 1 of 15)	-intron (TAF4B, intron 1 of 14)	29097	TAF4B	TAF4B	NM_001293725			TAF4B			NA
Interval_13942	chr2	68533382	68533821	+	0	NA	intron (CNRIP1, intron 2 of 2)	-intron (CNRIP1, intron 2 of 2)	13582	CNRIP1	CNRIP1	NM_015463			CNRIP1			NA
Interval_11895	chr18	48394110	48394336	+	0	NA	Intergenic	Intergenic	-11209	ME2	ME2	NM_002396			ME2			NA
Interval_15519	chr20	19996589	19996832	+	0	NA	Intergenic	Intergenic	-1224	NAA20	NAA20	NM_016100			NAA20			NA
Interval_20	chr1	1301414	1301679	+	0	NA	Intergenic	Intergenic	-7372	MXRA8	MXRA8	NM_001282582			MXRA8			NA
Interval_20777	chr5	127396737	127397037	+	0	NA	exon (LINC01184, exon 2 of 3)	-exon (LINC01184, exon 2 of 3)	21879	LINC01184	LINC01184	NR_015360			LINC01184			NA
Interval_5331	chr11	72893717	72894424	+	0	NA	Intergenic	Intergenic	-35273	P2RY2	P2RY2	NM_176072			P2RY2			NA
Interval_11571	chr18	814109	814940	+	0	NA	Intergenic	Intergenic	-2197	YES1	YES1	NM_005433			YES1			NA
Interval_14730	chr2	171092564	171093066	+	0	NA	intron (MYO3B, intron 7 of 34)	-intron (MYO3B, intron 7 of 33)	58160	MYO3B	MYO3B	NM_138995			MYO3B			NA
Interval_2505	chr1	202553949	202554162	+	0	NA	exon (PPP1R12B, exon 7 of 7)	-exon (PPP1R12B, exon 7 of 7)	122184	PPP1R12B	PPP1R12B	NM_032103			PPP1R12B			NA
Interval_17062	chr3	12023831	12024128	+	0	NA	Intergenic	Intergenic	-21855	SYN2	SYN2	NM_133625			SYN2			NA
Interval_3542	chr10	43149838	43150388	+	0	NA	Intergenic	Intergenic	-15828	ZNF33B	ZNF33B	NM_001305033			ZNF33B			NA
Interval_8632	chr15	40719357	40719852	+	0	NA	Intergenic	Intergenic	-13746	BAHD1	BAHD1	NM_001301132			BAHD1			NA
Interval_5575	chr11	96070890	96071462	+	0	NA	intron (MAML2, intron 1 of 4)	-intron (MAML2, intron 1 of 4)	-3426	MIR1260B	MIR1260B	NR_036125			MIR1260B			NA
Interval_22737	chr6	126444335	126444955	+	0	NA	promoter-TSS (MIR5695)	-promoter-TSS (MIR5695)	-883	MIR5695	MIR5695	NR_049880			MIR5695			NA
Interval_8905	chr15	64751684	64751970	+	0	NA	Intergenic	Intergenic	-39792	ZNF609	ZNF609	NM_015042			ZNF609			NA
Interval_6998	chr12	112075312	112075690	+	0	NA	Intergenic	Intergenic	-38021	ATXN2	ATXN2	NM_001310123			ATXN2			NA
Interval_3568	chr10	45642557	45642778	+	0	NA	intron (RSU1P2, intron 2 of 8)	-intron (RSU1P2, intron 2 of 8)	7377	RSU1P2	RSU1P2	NR_024472			RSU1P2			NA
Interval_7933	chr14	34547255	34547894	+	0	NA	Intergenic	Intergenic	-127290	EGLN3	EGLN3	NM_022073			EGLN3			NA
Interval_10792	chr17	38713129	38713709	+	0	NA	intron (CCR7, intron 1 of 1)	-intron (CCR7, intron 1 of 1)	8317	CCR7	CCR7	NM_001838			CCR7			NA
Interval_4908	chr11	47387589	47388157	+	0	NA	intron (SPI1, intron 2 of 4)	-intron (SPI1, intron 2 of 4)	12254	SPI1	SPI1	NM_001080547			SPI1			NA
Interval_9832	chr16	48655278	48655533	+	0	NA	intron (MIR5095, intron 4 of 4)	-intron (MIR5095, intron 4 of 4)	-11285	N4BP1	N4BP1	NM_153029			N4BP1			NA
Interval_5658	chr11	111820322	111820688	+	0	NA	intron (DIXDC1, intron 1 of 19)	-intron (DIXDC1, intron 1 of 19)	-27528	DIXDC1	DIXDC1	NM_001037954			DIXDC1			NA
Interval_20860	chr5	134493452	134494084	+	0	NA	intron (C5orf66, intron 2 of 5)	-intron (C5orf66, intron 2 of 5)	90099	C5orf66-AS2	C5orf66-AS2	NR_037895			C5orf66-AS2			NA
Interval_24371	chr7	127023307	127023561	+	0	NA	intron (ZNF800, intron 3 of 5)	-intron (ZNF800, intron 3 of 5)	9344	ZNF800	ZNF800	NM_176814			ZNF800			NA
Interval_9320	chr15	96777304	96777879	+	0	NA	intron (NR2F2-AS1, intron 2 of 4)	-intron (NR2F2-AS1, intron 2 of 4)	92756	NR2F2-AS1	NR2F2-AS1	NR_102744			NR2F2-AS1			NA
Interval_17004	chr3	5752344	5752773	+	0	NA	Intergenic	Intergenic	-460618	MIR4790	MIR4790	NR_039953			MIR4790			NA
Interval_23835	chr7	69371250	69371501	+	0	NA	intron (AUTS2, intron 2 of 18)	-intron (AUTS2, intron 2 of 17)	307470	AUTS2	AUTS2	NM_001127231			AUTS2			NA
Interval_14641	chr2	159089089	159089335	+	0	NA	intron (CCDC148, intron 10 of 13)	-intron (CCDC148, intron 8 of 11)	66050	CCDC148-AS1	CCDC148-AS1	NR_038850			CCDC148-AS1			NA
Interval_1635	chr1	116858988	116859322	+	0	NA	Intergenic	Intergenic	-66837	ATP1A1	ATP1A1	NM_000701			ATP1A1			NA
Interval_22658	chr6	118823444	118823707	+	0	NA	exon (BRD7P3, exon 1 of 1)	-exon (BRD7P3, exon 1 of 1)	1039	BRD7P3	BRD7P3	NR_002730			BRD7P3			NA
Interval_21816	chr6	27804899	27805562	+	0	NA	TTS (HIST1H2AK)	-TTS (HIST1H2AK)	887	HIST1H2AK	HIST1H2AK	NM_003510			HIST1H2AK			NA
Interval_13646	chr2	38840235	38841560	+	0	NA	Intergenic	Intergenic	-10719	HNRNPLL	HNRNPLL	NM_001142650			HNRNPLL			NA
Interval_11020	chr17	47227857	47228165	+	0	NA	intron (B4GALNT2, intron 3 of 10)	-intron (B4GALNT2, intron 3 of 10)	17682	B4GALNT2	B4GALNT2	NM_153446			B4GALNT2			NA
