PeakID (cmd=annotatePeaks.pl ENCAB000AIL.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_5478	chr16	88636456	88636882	+	0	NA	promoter-TSS (ZC3H18)	-promoter-TSS (ZC3H18)	-120	ZC3H18	ZC3H18	NM_001294340			ZC3H18			NA
Interval_12312	chr6	42018060	42018378	+	0	NA	promoter-TSS (TAF8)	-promoter-TSS (TAF8)	-32	TAF8	TAF8	NM_138572			TAF8			NA
Interval_7348	chr19	19314094	19314302	+	0	NA	promoter-TSS (NR2C2AP)	-promoter-TSS (NR2C2AP)	40	NR2C2AP	NR2C2AP	NM_001300945			NR2C2AP			NA
Interval_8685	chr2	178483350	178483572	+	0	NA	exon (TTC30A, exon 1 of 1)	-exon (TTC30A, exon 1 of 1)	233	TTC30A	TTC30A	NM_152275			TTC30A			NA
Interval_6494	chr17	79650628	79651135	+	0	NA	promoter-TSS (ARL16)	-promoter-TSS (ARL16)	73	ARL16	ARL16	NM_001040025			ARL16			NA
Interval_6779	chr19	633552	633770	+	0	NA	promoter-TSS (POLRMT)	-promoter-TSS (POLRMT)	-93	POLRMT	POLRMT	NM_005035			POLRMT			NA
Interval_11681	chr5	137878442	137878732	+	0	NA	exon (ETF1, exon 2 of 11)	-exon (ETF1, exon 2 of 11)	402	ETF1	ETF1	NM_001291975			ETF1			NA
Interval_8377	chr2	85645462	85645640	+	0	NA	Intergenic	Intergenic	-7731	CAPG	CAPG	NM_001256139			CAPG			NA
Interval_2281	chr11	62104717	62104915	+	0	NA	promoter-TSS (ASRGL1)	-promoter-TSS (ASRGL1)	42	ASRGL1	ASRGL1	NM_025080			ASRGL1			NA
Interval_10141	chr3	27525726	27526125	+	0	NA	promoter-TSS (SLC4A7)	-promoter-TSS (SLC4A7)	-27680	SLC4A7	SLC4A7	NM_001258379			SLC4A7			NA
Interval_5311	chr16	67876367	67876539	+	0	NA	exon (THAP11, exon 1 of 1)	-exon (THAP11, exon 1 of 1)	240	THAP11	THAP11	NM_020457			THAP11			NA
Interval_10923	chr4	25161948	25162187	+	0	NA	promoter-TSS (SEPSECS-AS1)	-promoter-TSS (SEPSECS-AS1)	137	SEPSECS	SEPSECS	NM_016955			SEPSECS			NA
Interval_8630	chr2	160761119	160761550	+	0	NA	promoter-TSS (LY75-CD302)	-promoter-TSS (LY75-CD302)	-67	LY75	LY75	NM_002349			LY75			NA
Interval_13943	chr8	145159194	145159312	+	0	NA	promoter-TSS (SHARPIN)	-promoter-TSS (SHARPIN)	-52	MAF1	MAF1	NM_032272			MAF1			NA
Interval_1613	chr10	60027116	60027245	+	0	NA	intron (IPMK, intron 1 of 5)	-intron (IPMK, intron 1 of 5)	514	IPMK	IPMK	NM_152230			IPMK			NA
Interval_12222	chr6	33588814	33589117	+	0	NA	promoter-TSS (ITPR3)	-promoter-TSS (ITPR3)	-191	ITPR3	ITPR3	NM_002224			ITPR3			NA
Interval_6633	chr18	29671738	29672897	+	0	NA	promoter-TSS (RNF138)	-promoter-TSS (RNF138)	-252	RNF138	RNF138	NM_016271			RNF138			NA
Interval_942	chr1	156629888	156630010	+	0	NA	TTS (BCAN)	-TTS (BCAN)	17240	NES	NES	NM_006617			NES			NA
Interval_9958	chr22	46068204	46068381	+	0	NA	intron (ATXN10, intron 1 of 10)	-intron (ATXN10, intron 1 of 10)	614	ATXN10	ATXN10	NM_013236			ATXN10			NA
Interval_12103	chr6	26156611	26156769	+	0	NA	exon (HIST1H1E, exon 1 of 1)	-exon (HIST1H1E, exon 1 of 1)	131	HIST1H1E	HIST1H1E	NM_005321			HIST1H1E			NA
Interval_6437	chr17	76210102	76210536	+	0	NA	promoter-TSS (BIRC5)	-promoter-TSS (BIRC5)	42	BIRC5	BIRC5	NM_001012270			BIRC5			NA
Interval_8296	chr2	70351692	70351918	+	0	NA	intron (LOC100133985, intron 1 of 1)	-intron (LOC100133985, intron 1 of 1)	643	LOC100133985	LOC100133985	NR_024444			LOC100133985			NA
Interval_13299	chr7	138794215	138794454	+	0	NA	exon (ZC3HAV1, exon 1 of 13)	-exon (ZC3HAV1, exon 1 of 13)	131	ZC3HAV1	ZC3HAV1	NM_024625			ZC3HAV1			NA
Interval_9175	chr20	35724337	35724537	+	0	NA	promoter-TSS (RBL1)	-promoter-TSS (RBL1)	-34	RBL1	RBL1	NM_183404			RBL1			NA
Interval_12623	chr6	149867021	149867420	+	0	NA	promoter-TSS (PPIL4)	-promoter-TSS (PPIL4)	18	PPIL4	PPIL4	NM_139126			PPIL4			NA
Interval_4972	chr16	11277427	11277617	+	0	NA	Intergenic	Intergenic	72517	SOCS1	SOCS1	NM_003745			SOCS1			NA
Interval_11283	chr5	424745	424905	+	0	NA	intron (AHRR, intron 7 of 10)	-intron (AHRR, intron 7 of 10)	18450	EXOC3-AS1	EXOC3-AS1	NR_126522			EXOC3-AS1			NA
Interval_12877	chr7	27135520	27135826	+	0	NA	promoter-TSS (HOXA1)	-promoter-TSS (HOXA1)	-40	HOTAIRM1	HOTAIRM1	NR_038367			HOTAIRM1			NA
Interval_11500	chr5	82769623	82769770	+	0	NA	intron (VCAN, intron 1 of 14)	-intron (VCAN, intron 1 of 12)	2203	VCAN	VCAN	NM_001126336			VCAN			NA
Interval_5386	chr16	75414288	75414463	+	0	NA	intron (CFDP1, intron 5 of 6)	-intron (CFDP1, intron 5 of 6)	53012	CFDP1	CFDP1	NM_006324			CFDP1			NA
Interval_10227	chr3	46036331	46036521	+	0	NA	intron (FYCO1, intron 1 of 17)	-intron (FYCO1, intron 1 of 17)	890	FYCO1	FYCO1	NM_024513			FYCO1			NA
Interval_14109	chr9	37029315	37029466	+	0	NA	intron (PAX5, intron 1 of 9)	-intron (PAX5, intron 1 of 8)	5086	PAX5	PAX5	NM_001280547			PAX5			NA
Interval_1106	chr1	198590395	198590591	+	0	NA	Intergenic	Intergenic	-17605	PTPRC	PTPRC	NM_002838			PTPRC			NA
Interval_408	chr1	33429463	33429643	+	0	NA	intron (RNF19B, intron 1 of 8)	-intron (RNF19B, intron 1 of 8)	861	RNF19B	RNF19B	NM_001127361			RNF19B			NA
Interval_1792	chr10	97453557	97453803	+	0	NA	exon (TCTN3, exon 1 of 10)	-exon (TCTN3, exon 1 of 10)	220	TCTN3	TCTN3	NM_001143973			TCTN3			NA
Interval_9920	chr22	42915674	42915850	+	0	NA	promoter-TSS (RRP7A)	-promoter-TSS (RRP7A)	67	RRP7A	RRP7A	NM_015703			RRP7A			NA
Interval_14078	chr9	34380672	34380835	+	0	NA	intron (C9orf24, intron 2 of 3)	-intron (C9orf24, intron 3 of 4)	845	C9orf24	C9orf24	NM_032596			C9orf24			NA
Interval_7504	chr19	39894559	39894810	+	0	NA	Intergenic	Intergenic	-2803	ZFP36	ZFP36	NM_003407			ZFP36			NA
Interval_3622	chr13	45915178	45915505	+	0	NA	promoter-TSS (TPT1)	-promoter-TSS (TPT1)	78	TPT1	TPT1	NM_003295			TPT1			NA
Interval_4497	chr15	63569349	63569575	+	0	NA	promoter-TSS (APH1B)	-promoter-TSS (APH1B)	-287	APH1B	APH1B	NM_001145646			APH1B			NA
Interval_4209	chr14	95961864	95962210	+	0	NA	Intergenic	Intergenic	-19864	SYNE3	SYNE3	NM_152592			SYNE3			NA
Interval_11512	chr5	89769736	89769895	+	0	NA	promoter-TSS (POLR3G)	-promoter-TSS (POLR3G)	770	MBLAC2	MBLAC2	NM_203406			MBLAC2			NA
Interval_14465	chr9	132646794	132646950	+	0	NA	Intergenic	Intergenic	14988	MIR6855	MIR6855	NR_106914			MIR6855			NA
Interval_513	chr1	43397956	43398124	+	0	NA	intron (SLC2A1, intron 2 of 9)	-intron (SLC2A1, intron 2 of 9)	-26680	SLC2A1-AS1	SLC2A1-AS1	NR_033967			SLC2A1-AS1			NA
Interval_5237	chr16	53583933	53584178	+	0	NA	Intergenic	Intergenic	-46839	AKTIP	AKTIP	NM_001308325			AKTIP			NA
Interval_4881	chr16	2801980	2802404	+	0	NA	promoter-TSS (SRRM2)	-promoter-TSS (SRRM2)	-138	SRRM2	SRRM2	NM_016333			SRRM2			NA
Interval_9793	chr22	36889986	36890105	+	0	NA	intron (FOXRED2, intron 7 of 8)	-intron (FOXRED2, intron 7 of 8)	-12358	TXN2	TXN2	NM_012473			TXN2			NA
Interval_1746	chr10	88726379	88726639	+	0	NA	Intergenic	Intergenic	-1679	ADIRF	ADIRF	NM_006829			ADIRF			NA
Interval_11129	chr4	114682828	114683180	+	0	NA	promoter-TSS (CAMK2D)	-promoter-TSS (CAMK2D)	79	CAMK2D	CAMK2D	NM_172114			CAMK2D			NA
Interval_4465	chr15	56537431	56537574	+	0	NA	Intergenic	Intergenic	-2019	RFX7	RFX7	NM_022841			RFX7			NA
Interval_14411	chr9	130564849	130565056	+	0	NA	promoter-TSS (FPGS)	-promoter-TSS (FPGS)	-185	FPGS	FPGS	NM_001288803			FPGS			NA
Interval_14075	chr9	33816882	33817135	+	0	NA	promoter-TSS (UBE2R2)	-promoter-TSS (UBE2R2)	-174	UBE2R2	UBE2R2	NM_017811			UBE2R2			NA
Interval_9650	chr22	22011677	22012020	+	0	NA	Intergenic	Intergenic	4255	MIR130B	MIR130B	NR_029845			MIR130B			NA
Interval_12776	chr7	2595102	2595295	+	0	NA	exon (BRAT1, exon 1 of 14)	-exon (BRAT1, exon 1 of 14)	194	BRAT1	BRAT1	NM_152743			BRAT1			NA
Interval_4419	chr15	44084102	44084670	+	0	NA	promoter-TSS (SERF2)	-promoter-TSS (SERF2)	212	SERF2-C15ORF63	SERF2-C15ORF63	NR_037673			SERF2-C15ORF63			NA
Interval_12862	chr7	23513854	23514418	+	0	NA	Intergenic	Intergenic	-4141	IGF2BP3	IGF2BP3	NM_006547			IGF2BP3			NA
Interval_6475	chr17	78850822	78851049	+	0	NA	intron (RPTOR, intron 13 of 29)	-intron (RPTOR, intron 13 of 29)	-71503	LOC101928855	LOC101928855	NR_110852			LOC101928855			NA
Interval_14796	chrX	118616706	118616864	+	0	NA	Intergenic	Intergenic	-13702	SLC25A5-AS1	SLC25A5-AS1	NR_028443			SLC25A5-AS1			NA
Interval_1992	chr10	134036738	134036901	+	0	NA	intron (STK32C, intron 8 of 11)	-intron (STK32C, intron 8 of 11)	36405	DPYSL4	DPYSL4	NM_006426			DPYSL4			NA
Interval_10721	chr3	183354069	183354225	+	0	NA	intron (KLHL24, intron 1 of 7)	-intron (KLHL24, intron 1 of 7)	736	KLHL24	KLHL24	NM_017644			KLHL24			NA
Interval_4417	chr15	44042147	44042270	+	0	NA	intron (PDIA3, intron 1 of 12)	-intron (PDIA3, intron 1 of 12)	3618	PDIA3	PDIA3	NM_005313			PDIA3			NA
Interval_1648	chr10	70716175	70716514	+	0	NA	exon (DDX21, exon 1 of 15)	-exon (DDX21, exon 1 of 15)	465	DDX21	DDX21	NM_004728			DDX21			NA
Interval_14161	chr9	75142466	75142595	+	0	NA	intron (TMC1, intron 1 of 23)	-intron (TMC1, intron 1 of 23)	5813	TMC1	TMC1	NM_138691			TMC1			NA
Interval_8778	chr2	208394327	208394493	+	0	NA	promoter-TSS (CREB1)	-promoter-TSS (CREB1)	-206	CREB1	CREB1	NM_134442			CREB1			NA
Interval_11725	chr5	140044311	140044678	+	0	NA	exon (WDR55, exon 1 of 7)	-exon (WDR55, exon 1 of 7)	110	WDR55	WDR55	NM_017706			WDR55			NA
Interval_9846	chr22	39548505	39548709	+	0	NA	promoter-TSS (CBX7)	-promoter-TSS (CBX7)	-69	CBX7	CBX7	NM_175709			CBX7			NA
Interval_7769	chr19	50837082	50837372	+	0	NA	promoter-TSS (KCNC3)	-promoter-TSS (KCNC3)	-455	KCNC3	KCNC3	NR_110912			KCNC3			NA
Interval_1265	chr1	224924588	224924726	+	0	NA	intron (CNIH3, intron 5 of 5)	-intron (CNIH3, intron 5 of 5)	120478	CNIH3	CNIH3	NM_152495			CNIH3			NA
Interval_12935	chr7	43965769	43966103	+	0	NA	promoter-TSS (URGCP)	-promoter-TSS (URGCP)	-99	UBE2D4	UBE2D4	NM_015983			UBE2D4			NA
Interval_11583	chr5	118324198	118324401	+	0	NA	promoter-TSS (DTWD2)	-promoter-TSS (DTWD2)	1	DTWD2	DTWD2	NM_173666			DTWD2			NA
Interval_5222	chr16	50300355	50300531	+	0	NA	promoter-TSS (ADCY7)	-promoter-TSS (ADCY7)	-8	ADCY7	ADCY7	NM_001114			ADCY7			NA
Interval_13762	chr8	103136055	103136257	+	0	NA	intron (NCALD, intron 1 of 7)	-intron (NCALD, intron 1 of 7)	-1504	MIR5680	MIR5680	NR_049859			MIR5680			NA
Interval_5971	chr17	37309249	37309537	+	0	NA	Intergenic	Intergenic	-1491	PLXDC1	PLXDC1	NM_020405			PLXDC1			NA
Interval_12666	chr6	159230018	159230141	+	0	NA	intron (EZR, intron 1 of 12)	-intron (EZR, intron 2 of 13)	-8932	EZR-AS1	EZR-AS1	NR_102425			EZR-AS1			NA
Interval_13608	chr8	54570365	54570569	+	0	NA	Intergenic	Intergenic	185135	ATP6V1H	ATP6V1H	NM_015941			ATP6V1H			NA
Interval_9453	chr21	36261173	36261291	+	0	NA	promoter-TSS (RUNX1)	-promoter-TSS (RUNX1)	143110	LINC01426	LINC01426	NR_038885			LINC01426			NA
Interval_551	chr1	46016293	46016767	+	0	NA	promoter-TSS (AKR1A1)	-promoter-TSS (AKR1A1)	75	AKR1A1	AKR1A1	NM_153326			AKR1A1			NA
Interval_2778	chr12	4227366	4227545	+	0	NA	Intergenic	Intergenic	-155447	CCND2	CCND2	NM_001759			CCND2			NA
Interval_12097	chr6	25279262	25279424	+	0	NA	promoter-TSS (LRRC16A)	-promoter-TSS (LRRC16A)	-313	LRRC16A	LRRC16A	NM_001173977			LRRC16A			NA
Interval_8262	chr2	65144859	65144985	+	0	NA	intron (LOC400958, intron 1 of 2)	-intron (LOC400958, intron 1 of 2)	14659	LOC400958	LOC400958	NR_036586			LOC400958			NA
Interval_12003	chr6	6684827	6684953	+	0	NA	Intergenic	Intergenic	-61831	LY86-AS1	LY86-AS1	NR_026970			LY86-AS1			NA
Interval_9810	chr22	37881168	37881438	+	0	NA	intron (MFNG, intron 1 of 7)	-intron (MFNG, intron 1 of 6)	1175	MFNG	MFNG	NM_002405			MFNG			NA
Interval_8065	chr2	27274301	27274535	+	0	NA	promoter-TSS (AGBL5)	-promoter-TSS (AGBL5)	-73	AGBL5	AGBL5	NM_021831			AGBL5			NA
Interval_2574	chr11	82612652	82612924	+	0	NA	promoter-TSS (DDIAS)	-promoter-TSS (DDIAS)	51	DDIAS	DDIAS	NM_145018			DDIAS			NA
Interval_2462	chr11	67367899	67368051	+	0	NA	Intergenic	Intergenic	6202	C11orf72	C11orf72	NR_130935			C11orf72			NA
Interval_9782	chr22	36520153	36520317	+	0	NA	Intergenic	Intergenic	41990	APOL3	APOL3	NM_145642			APOL3			NA
Interval_14017	chr9	6632632	6632891	+	0	NA	intron (GLDC, intron 2 of 24)	-intron (GLDC, intron 2 of 24)	12931	GLDC	GLDC	NM_000170			GLDC			NA
Interval_2138	chr11	19733942	19734400	+	0	NA	promoter-TSS (NAV2)	-promoter-TSS (NAV2)	-710	NAV2	NAV2	NM_182964			NAV2			NA
Interval_12740	chr7	1032800	1033075	+	0	NA	Intergenic	Intergenic	10102	CYP2W1	CYP2W1	NM_017781			CYP2W1			NA
Interval_1909	chr10	111985887	111986197	+	0	NA	intron (MXI1, intron 1 of 5)	-intron (MXI1, intron 1 of 4)	18679	MXI1	MXI1	NM_005962			MXI1			NA
Interval_11634	chr5	133304263	133304549	+	0	NA	promoter-TSS (C5orf15)	-promoter-TSS (C5orf15)	0	C5orf15	C5orf15	NM_020199			C5orf15			NA
Interval_13073	chr7	87563354	87563722	+	0	NA	promoter-TSS (ADAM22)	-promoter-TSS (ADAM22)	-28	ADAM22	ADAM22	NM_016351			ADAM22			NA
Interval_11456	chr5	72861462	72861793	+	0	NA	promoter-TSS (UTP15)	-promoter-TSS (UTP15)	61	UTP15	UTP15	NM_001284431			UTP15			NA
Interval_11393	chr5	43603178	43603383	+	0	NA	promoter-TSS (NNT)	-promoter-TSS (NNT)	51	NNT	NNT	NM_012343			NNT			NA
Interval_13314	chr7	140098236	140098452	+	0	NA	promoter-TSS (SLC37A3)	-promoter-TSS (SLC37A3)	6	SLC37A3	SLC37A3	NM_032295			SLC37A3			NA
Interval_8916	chr2	233928955	233929073	+	0	NA	intron (INPP5D, intron 1 of 25)	-intron (INPP5D, intron 1 of 25)	4337	INPP5D	INPP5D	NM_001017915			INPP5D			NA
Interval_2173	chr11	35161113	35161269	+	0	NA	intron (CD44, intron 1 of 8)	-intron (CD44, intron 1 of 17)	774	CD44	CD44	NM_000610			CD44			NA
Interval_8944	chr2	240175090	240175283	+	0	NA	intron (HDAC4, intron 2 of 26)	-intron (HDAC4, intron 2 of 26)	-51971	MIR4269	MIR4269	NR_036229			MIR4269			NA
Interval_789	chr1	117664778	117664939	+	0	NA	promoter-TSS (TRIM45)	-promoter-TSS (TRIM45)	-447	TRIM45	TRIM45	NM_001145635			TRIM45			NA
Interval_14360	chr9	126102602	126102823	+	0	NA	Intergenic	Intergenic	-28346	CRB2	CRB2	NR_104603			CRB2			NA
Interval_6736	chr18	65183833	65183968	+	0	NA	promoter-TSS (DSEL)	-promoter-TSS (DSEL)	67	DSEL	DSEL	NM_032160			DSEL			NA
Interval_14389	chr9	128508465	128508667	+	0	NA	promoter-TSS (LOC51145)	-promoter-TSS (LOC51145)	-358	LOC51145	LOC51145	NR_122032			LOC51145			NA
Interval_5413	chr16	81832119	81832366	+	0	NA	intron (PLCG2, intron 2 of 32)	-intron (PLCG2, intron 2 of 32)	19379	PLCG2	PLCG2	NM_002661			PLCG2			NA
Interval_6233	chr17	56595585	56595703	+	0	NA	promoter-TSS (MTMR4)	-promoter-TSS (MTMR4)	-393	MTMR4	MTMR4	NM_004687			MTMR4			NA
Interval_4295	chr14	105864816	105865366	+	0	NA	TTS (PACS2)	-TTS (PACS2)	171	TEX22	TEX22	NM_001195082			TEX22			NA
Interval_4219	chr14	99738665	99738806	+	0	NA	promoter-TSS (BCL11B)	-promoter-TSS (BCL11B)	-685	BCL11B	BCL11B	NM_138576			BCL11B			NA
Interval_3698	chr13	80350079	80350200	+	0	NA	Intergenic	Intergenic	-28382	LINC01038	LINC01038	NR_125785			LINC01038			NA
Interval_11267	chr4	186347312	186347513	+	0	NA	promoter-TSS (UFSP2)	-promoter-TSS (UFSP2)	-273	UFSP2	UFSP2	NM_018359			UFSP2			NA
Interval_7980	chr2	9939919	9940053	+	0	NA	Intergenic	Intergenic	-43585	TAF1B	TAF1B	NM_005680			TAF1B			NA
Interval_8634	chr2	162095107	162095364	+	0	NA	intron (LOC101929512, intron 3 of 3)	-intron (LOC101929512, intron 3 of 3)	-6015	LOC100996579	LOC100996579	NR_110163			LOC100996579			NA
