PeakID (cmd=annotatePeaks.pl TCF12_IP_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
TCF12_IP_R1_peak_1790	chr7	45034716	45035082	+	588	NA	Intergenic	Intergenic	-4446	CCM2	CCM2	NM_031443			CCM2			NA
TCF12_IP_R1_peak_1227	chr21	34681090	34681757	+	582	NA	Intergenic	Intergenic	-15791	IFNAR1	IFNAR1	NM_000629			IFNAR1			NA
TCF12_IP_R1_peak_1429	chr3	194023202	194023902	+	574	NA	exon (LINC00887, exon 2 of 3)	-exon (LINC00887, exon 2 of 3)	7041	LINC00887	LINC00887	NR_024480			LINC00887			NA
TCF12_IP_R1_peak_1192	chr20	43274721	43275374	+	570	NA	intron (ADA, intron 1 of 11)	-intron (ADA, intron 1 of 11)	5329	ADA	ADA	NM_000022			ADA			NA
TCF12_IP_R1_peak_1695	chr6	39848161	39849011	+	567	NA	intron (DAAM2, intron 14 of 24)	-intron (DAAM2, intron 14 of 24)	16570	LOC100505635	LOC100505635	NR_125831			LOC100505635			NA
TCF12_IP_R1_peak_618	chr14	106447441	106448324	+	562	NA	Intergenic	Intergenic	-9524	ADAM6	ADAM6	NR_002224			ADAM6			NA
TCF12_IP_R1_peak_1833	chr7	142506434	142507143	+	557	NA	Intergenic	Intergenic	28031	PRSS3P2	PRSS3P2	NR_001296			PRSS3P2			NA
TCF12_IP_R1_peak_348	chr11	35143867	35144293	+	557	NA	Intergenic	Intergenic	15499	LOC100507144	LOC100507144	NR_120528			LOC100507144			NA
TCF12_IP_R1_peak_1568	chr5	72683377	72684121	+	554	NA	Intergenic	Intergenic	60603	FOXD1	FOXD1	NM_004472			FOXD1			NA
TCF12_IP_R1_peak_963	chr19	9919489	9920039	+	553	NA	Intergenic	Intergenic	9967	FBXL12	FBXL12	NM_017703			FBXL12			NA
TCF12_IP_R1_peak_1043	chr2	68220453	68220851	+	542	NA	Intergenic	Intergenic	69507	C1D	C1D	NM_001190263			C1D			NA
TCF12_IP_R1_peak_875	chr17	64242445	64242952	+	542	NA	Intergenic	Intergenic	-17142	APOH	APOH	NM_000042			APOH			NA
TCF12_IP_R1_peak_1425	chr3	185777938	185778560	+	537	NA	intron (ETV5, intron 9 of 12)	-intron (ETV5, intron 9 of 12)	48652	ETV5	ETV5	NM_004454			ETV5			NA
TCF12_IP_R1_peak_1443	chr4	9871652	9872276	+	535	NA	intron (SLC2A9, intron 10 of 11)	-intron (SLC2A9, intron 11 of 12)	88706	DRD5	DRD5	NM_000798			DRD5			NA
TCF12_IP_R1_peak_262	chr10	63525343	63525865	+	535	NA	intron (C10orf107, intron 6 of 6)	-intron (C10orf107, intron 6 of 6)	102885	C10orf107	C10orf107	NM_173554			C10orf107			NA
TCF12_IP_R1_peak_1045	chr2	68954109	68954696	+	504	NA	Intergenic	Intergenic	-47531	ARHGAP25	ARHGAP25	NM_014882			ARHGAP25			NA
TCF12_IP_R1_peak_492	chr12	123616356	123617220	+	503	NA	Intergenic	Intergenic	-21813	PITPNM2	PITPNM2	NM_001300801			PITPNM2			NA
TCF12_IP_R1_peak_612	chr14	102486584	102487425	+	503	NA	intron (DYNC1H1, intron 42 of 77)	-intron (DYNC1H1, intron 42 of 77)	56139	DYNC1H1	DYNC1H1	NM_001376			DYNC1H1			NA
TCF12_IP_R1_peak_1038	chr2	60137202	60137621	+	501	NA	Intergenic	Intergenic	477169	MIR4432	MIR4432	NR_039631			MIR4432			NA
TCF12_IP_R1_peak_831	chr17	29862703	29863116	+	500	NA	TTS (MIR4724)	-TTS (MIR4724)	1008	MIR4724	MIR4724	NR_039877			MIR4724			NA
TCF12_IP_R1_peak_1549	chr5	35884513	35884991	+	493	NA	Intergenic	Intergenic	27775	IL7R	IL7R	NM_002185			IL7R			NA
TCF12_IP_R1_peak_938	chr18	59932255	59932620	+	490	NA	intron (KIAA1468, intron 18 of 28)	-intron (KIAA1468, intron 18 of 28)	-60083	TNFRSF11A	TNFRSF11A	NM_003839			TNFRSF11A			NA
TCF12_IP_R1_peak_1712	chr6	53600758	53601257	+	487	NA	Intergenic	Intergenic	-58771	LRRC1	LRRC1	NM_018214			LRRC1			NA
TCF12_IP_R1_peak_124	chr1	158173384	158174274	+	486	NA	Intergenic	Intergenic	24092	CD1D	CD1D	NM_001766			CD1D			NA
TCF12_IP_R1_peak_1426	chr3	187697331	187697783	+	478	NA	Intergenic	Intergenic	174319	LPP-AS2	LPP-AS2	NR_036497			LPP-AS2			NA
TCF12_IP_R1_peak_1504	chr4	133187422	133188063	+	476	NA	Intergenic	Intergenic	-324502	LINC01256	LINC01256	NR_126401			LINC01256			NA
TCF12_IP_R1_peak_1888	chr8	68880647	68881237	+	465	NA	intron (PREX2, intron 1 of 23)	-intron (PREX2, intron 1 of 39)	16339	PREX2	PREX2	NM_024870			PREX2			NA
TCF12_IP_R1_peak_843	chr17	38983978	38984351	+	465	NA	intron (TMEM99, intron 1 of 2)	-intron (TMEM99, intron 1 of 2)	-5301	KRT10	KRT10	NM_000421			KRT10			NA
TCF12_IP_R1_peak_1886	chr8	61705222	61706055	+	464	NA	intron (CHD7, intron 3 of 37)	-intron (CHD7, intron 3 of 37)	114314	CHD7	CHD7	NM_017780			CHD7			NA
TCF12_IP_R1_peak_665	chr15	60106603	60107136	+	463	NA	Intergenic	Intergenic	-125227	BNIP2	BNIP2	NM_004330			BNIP2			NA
TCF12_IP_R1_peak_1868	chr8	23525908	23526494	+	458	NA	Intergenic	Intergenic	14233	NKX3-1	NKX3-1	NR_046072			NKX3-1			NA
TCF12_IP_R1_peak_196	chr1	229137148	229137699	+	453	NA	Intergenic	Intergenic	173125	MIR4454	MIR4454	NR_039659_3			MIR4454			NA
TCF12_IP_R1_peak_1922	chr8	130180245	130180770	+	453	NA	Intergenic	Intergenic	72979	LINC00977	LINC00977	NR_033916			LINC00977			NA
TCF12_IP_R1_peak_164	chr1	203289738	203290702	+	446	NA	Intergenic	Intergenic	15556	BTG2	BTG2	NM_006763			BTG2			NA
TCF12_IP_R1_peak_1741	chr6	135643964	135644802	+	440	NA	exon (AHI1, exon 23 of 27)	-exon (AHI1, exon 23 of 27)	141930	MYB	MYB	NM_001130172			MYB			NA
TCF12_IP_R1_peak_617	chr14	106328161	106328612	+	436	NA	Intergenic	Intergenic	-1802	MIR4539	MIR4539	NR_130468_1			MIR4539			NA
TCF12_IP_R1_peak_172	chr1	206736346	206737078	+	431	NA	intron (RASSF5, intron 1 of 4)	-intron (RASSF5, intron 2 of 5)	6220	RASSF5	RASSF5	NM_182663			RASSF5			NA
TCF12_IP_R1_peak_1218	chr21	19815847	19816533	+	431	NA	Intergenic	Intergenic	-40220	TMPRSS15	TMPRSS15	NM_002772			TMPRSS15			NA
TCF12_IP_R1_peak_604	chr14	95930771	95931248	+	431	NA	intron (SYNE3, intron 3 of 16)	-intron (SYNE3, intron 3 of 16)	11164	SYNE3	SYNE3	NM_152592			SYNE3			NA
TCF12_IP_R1_peak_1771	chr7	24477915	24478242	+	426	NA	Intergenic	Intergenic	-134887	MPP6	MPP6	NM_001303037			MPP6			NA
TCF12_IP_R1_peak_1970	chr9	85378994	85379571	+	421	NA	Intergenic	Intergenic	298761	RASEF	RASEF	NM_152573			RASEF			NA
TCF12_IP_R1_peak_675	chr15	68076572	68077296	+	418	NA	intron (MAP2K5, intron 21 of 21)	-intron (MAP2K5, intron 21 of 21)	-35108	SKOR1	SKOR1	NM_001258024			SKOR1			NA
TCF12_IP_R1_peak_1384	chr3	117865574	117866227	+	414	NA	Intergenic	Intergenic	-796023	IGSF11-AS1	IGSF11-AS1	NR_046230			IGSF11-AS1			NA
TCF12_IP_R1_peak_1345	chr3	46587165	46587760	+	414	NA	intron (LRRC2, intron 2 of 8)	-intron (LRRC2, intron 2 of 8)	-11426	LRRC2-AS1	LRRC2-AS1	NR_073385			LRRC2-AS1			NA
TCF12_IP_R1_peak_198	chr1	229828626	229829293	+	414	NA	Intergenic	Intergenic	66978	URB2	URB2	NM_014777			URB2			NA
TCF12_IP_R1_peak_1732	chr6	128292886	128293582	+	413	NA	intron (PTPRK, intron 29 of 29)	-intron (PTPRK, intron 30 of 30)	-53458	THEMIS	THEMIS	NM_001164687			THEMIS			NA
TCF12_IP_R1_peak_1749	chr6	144789733	144790197	+	412	NA	intron (UTRN, intron 22 of 73)	-intron (UTRN, intron 22 of 73)	177092	UTRN	UTRN	NM_007124			UTRN			NA
TCF12_IP_R1_peak_443	chr12	32049625	32050039	+	411	NA	Intergenic	Intergenic	-62521	KIAA1551	KIAA1551	NM_018169			KIAA1551			NA
TCF12_IP_R1_peak_1699	chr6	41978057	41978596	+	401	NA	intron (CCND3, intron 1 of 4)	-intron (CCND3, intron 1 of 4)	-39925	TAF8	TAF8	NM_138572			TAF8			NA
TCF12_IP_R1_peak_310	chr10	121904636	121905112	+	397	NA	Intergenic	Intergenic	186849	MIR4682	MIR4682	NR_039830			MIR4682			NA
TCF12_IP_R1_peak_828	chr17	26912958	26913404	+	397	NA	exon (SPAG5, exon 6 of 24)	-exon (SPAG5, exon 6 of 24)	-9230	ALDOC	ALDOC	NM_005165			ALDOC			NA
TCF12_IP_R1_peak_93	chr1	108408307	108408747	+	395	NA	intron (VAV3, intron 2 of 26)	-intron (VAV3, intron 2 of 26)	-31318	MIR7852	MIR7852	NR_107006			MIR7852			NA
TCF12_IP_R1_peak_5	chr1	6377009	6377378	+	395	NA	intron (ACOT7, intron 6 of 8)	-intron (ACOT7, intron 6 of 8)	41811	ACOT7	ACOT7	NM_007274			ACOT7			NA
TCF12_IP_R1_peak_1471	chr4	74984662	74985122	+	393	NA	Intergenic	Intergenic	-19895	CXCL2	CXCL2	NM_002089			CXCL2			NA
TCF12_IP_R1_peak_1496	chr4	114823257	114823622	+	392	NA	exon (ARSJ, exon 2 of 2)	-exon (ARSJ, exon 2 of 2)	77439	ARSJ	ARSJ	NM_024590			ARSJ			NA
TCF12_IP_R1_peak_1250	chr22	19879019	19879816	+	388	NA	intron (TXNRD2, intron 11 of 17)	-intron (TXNRD2, intron 11 of 17)	-36955	GNB1L	GNB1L	NM_053004			GNB1L			NA
TCF12_IP_R1_peak_171	chr1	206260524	206260927	+	386	NA	intron (C1orf186, intron 1 of 5)	-intron (C1orf186, intron 1 of 5)	27922	C1orf186	C1orf186	NM_001007544			C1orf186			NA
TCF12_IP_R1_peak_1069	chr2	111505801	111506851	+	385	NA	intron (ACOXL, intron 1 of 17)	-intron (ACOXL, intron 1 of 17)	16176	ACOXL	ACOXL	NM_001142807			ACOXL			NA
TCF12_IP_R1_peak_158	chr1	199010667	199011126	+	385	NA	intron (LINC01221, intron 2 of 2)	-intron (LINC01221, intron 2 of 2)	-22803	LINC01222	LINC01222	NR_110525			LINC01222			NA
TCF12_IP_R1_peak_1722	chr6	90984086	90984733	+	383	NA	intron (BACH2, intron 1 of 8)	-intron (BACH2, intron 1 of 6)	22218	BACH2	BACH2	NM_001170794			BACH2			NA
TCF12_IP_R1_peak_1511	chr4	152861470	152861874	+	381	NA	Intergenic	Intergenic	-160233	LOC100996286	LOC100996286	NR_121627			LOC100996286			NA
TCF12_IP_R1_peak_577	chr14	65719467	65719983	+	380	NA	Intergenic	Intergenic	-30660	LOC100128233	LOC100128233	NR_103769			LOC100128233			NA
TCF12_IP_R1_peak_1681	chr6	30802199	30802902	+	380	NA	Intergenic	Intergenic	-4114	LINC00243	LINC00243	NR_130726_5			LINC00243			NA
TCF12_IP_R1_peak_550	chr13	95159485	95159866	+	380	NA	Intergenic	Intergenic	-27739	DCT	DCT	NM_001922			DCT			NA
TCF12_IP_R1_peak_114	chr1	152365212	152365829	+	372	NA	Intergenic	Intergenic	21230	CRNN	CRNN	NM_016190			CRNN			NA
TCF12_IP_R1_peak_1076	chr2	118243486	118244092	+	372	NA	Intergenic	Intergenic	-328466	DDX18	DDX18	NM_006773			DDX18			NA
TCF12_IP_R1_peak_1796	chr7	55536877	55537417	+	371	NA	Intergenic	Intergenic	103053	VOPP1	VOPP1	NM_030796			VOPP1			NA
TCF12_IP_R1_peak_1405	chr3	141814646	141815160	+	371	NA	intron (TFDP2, intron 2 of 12)	-intron (TFDP2, intron 2 of 13)	-67396	TFDP2	TFDP2	NM_001178138			TFDP2			NA
TCF12_IP_R1_peak_655	chr15	56829900	56830438	+	370	NA	Intergenic	Intergenic	-72834	MNS1	MNS1	NM_018365			MNS1			NA
TCF12_IP_R1_peak_2047	chrY	21640946	21641413	+	367	NA	intron (BCORP1, intron 2 of 10)	-intron (BCORP1, intron 2 of 8)	23860	BCORP1	BCORP1	NR_033732			BCORP1			NA
TCF12_IP_R1_peak_1825	chr7	135530120	135530580	+	366	NA	Intergenic	Intergenic	-96756	FAM180A	FAM180A	NM_205855			FAM180A			NA
TCF12_IP_R1_peak_854	chr17	47195197	47195566	+	364	NA	Intergenic	Intergenic	-14948	B4GALNT2	B4GALNT2	NM_153446			B4GALNT2			NA
TCF12_IP_R1_peak_33	chr1	24223113	24223517	+	364	NA	intron (CNR2, intron 1 of 1)	-intron (CNR2, intron 1 of 1)	16502	CNR2	CNR2	NM_001841			CNR2			NA
TCF12_IP_R1_peak_1261	chr22	26132187	26133016	+	359	NA	Intergenic	Intergenic	-5519	MYO18B	MYO18B	NM_032608			MYO18B			NA
TCF12_IP_R1_peak_287	chr10	96059172	96059529	+	359	NA	intron (PLCE1, intron 24 of 32)	-intron (PLCE1, intron 23 of 31)	-12523	PLCE1-AS1	PLCE1-AS1	NR_033969			PLCE1-AS1			NA
TCF12_IP_R1_peak_532	chr13	49136393	49136917	+	359	NA	Intergenic	Intergenic	18382	LINC00462	LINC00462	NR_051983			LINC00462			NA
TCF12_IP_R1_peak_1300	chr3	14274227	14274676	+	356	NA	Intergenic	Intergenic	54223	LSM3	LSM3	NM_014463			LSM3			NA
TCF12_IP_R1_peak_834	chr17	32692325	32692686	+	356	NA	Intergenic	Intergenic	-2253	CCL1	CCL1	NM_002981			CCL1			NA
TCF12_IP_R1_peak_445	chr12	32207107	32207616	+	353	NA	Intergenic	Intergenic	-52824	BICD1	BICD1	NM_001714			BICD1			NA
TCF12_IP_R1_peak_1430	chr3	194023952	194024796	+	351	NA	intron (LINC00887, intron 1 of 2)	-intron (LINC00887, intron 1 of 2)	6219	LINC00887	LINC00887	NR_024480			LINC00887			NA
TCF12_IP_R1_peak_1537	chr5	1997705	1998397	+	351	NA	Intergenic	Intergenic	110606	CTD-2194D22.4	CTD-2194D22	NR_109912			CTD-2194D22.4			NA
TCF12_IP_R1_peak_1947	chr9	8719738	8720128	+	351	NA	intron (PTPRD, intron 1 of 28)	-intron (PTPRD, intron 1 of 29)	14013	PTPRD	PTPRD	NM_002839			PTPRD			NA
TCF12_IP_R1_peak_1541	chr5	3858646	3859078	+	350	NA	Intergenic	Intergenic	262694	IRX1	IRX1	NM_024337			IRX1			NA
TCF12_IP_R1_peak_1939	chr8	144751649	144752018	+	350	NA	Intergenic	Intergenic	-14789	ZNF707	ZNF707	NM_001288807			ZNF707			NA
TCF12_IP_R1_peak_1581	chr5	98257766	98258178	+	347	NA	intron (CHD1, intron 1 of 34)	-intron (CHD1, intron 1 of 34)	4266	CHD1	CHD1	NM_001270			CHD1			NA
TCF12_IP_R1_peak_430	chr12	9917423	9917772	+	346	NA	Intergenic	Intergenic	-4100	CD69	CD69	NM_001781			CD69			NA
TCF12_IP_R1_peak_1744	chr6	137471140	137471572	+	345	NA	intron (IL22RA2, intron 4 of 5)	-intron (IL22RA2, intron 5 of 6)	23429	IL22RA2	IL22RA2	NM_052962			IL22RA2			NA
TCF12_IP_R1_peak_830	chr17	28001347	28001713	+	344	NA	intron (SSH2, intron 6 of 6)	-intron (SSH2, intron 8 of 15)	-53089	CORO6	CORO6	NM_032854			CORO6			NA
TCF12_IP_R1_peak_1965	chr9	80524250	80524637	+	342	NA	intron (GNAQ, intron 2 of 6)	-intron (GNAQ, intron 2 of 6)	121922	GNAQ	GNAQ	NM_002072			GNAQ			NA
TCF12_IP_R1_peak_816	chr17	14222096	14222586	+	342	NA	intron (HS3ST3B1, intron 1 of 2)	-intron (HS3ST3B1, intron 1 of 1)	15284	MGC12916	MGC12916	NR_026880			MGC12916			NA
TCF12_IP_R1_peak_1534	chr5	1336151	1336803	+	336	NA	intron (CLPTM1L, intron 5 of 16)	-intron (CLPTM1L, intron 5 of 16)	8525	CLPTM1L	CLPTM1L	NM_030782			CLPTM1L			NA
TCF12_IP_R1_peak_1907	chr8	119189950	119190326	+	336	NA	Intergenic	Intergenic	-66080	EXT1	EXT1	NM_000127			EXT1			NA
TCF12_IP_R1_peak_1152	chr2	240248320	240249121	+	336	NA	intron (HDAC4, intron 2 of 26)	-intron (HDAC4, intron 2 of 26)	21563	MIR4269	MIR4269	NR_036229			MIR4269			NA
TCF12_IP_R1_peak_1844	chr7	154562645	154563155	+	336	NA	intron (DPP6, intron 9 of 25)	-intron (DPP6, intron 9 of 25)	-157327	PAXIP1-AS2	PAXIP1-AS2	NR_024476			PAXIP1-AS2			NA
TCF12_IP_R1_peak_1124	chr2	197040766	197041258	+	335	NA	Intergenic	Intergenic	-4676	STK17B	STK17B	NM_004226			STK17B			NA
TCF12_IP_R1_peak_466	chr12	72724566	72724989	+	333	NA	intron (TRHDE, intron 2 of 18)	-intron (TRHDE, intron 2 of 18)	-57488	TRHDE-AS1	TRHDE-AS1	NR_026836			TRHDE-AS1			NA
TCF12_IP_R1_peak_320	chr10	131379056	131379555	+	333	NA	intron (MGMT, intron 2 of 4)	-intron (MGMT, intron 2 of 4)	113851	MGMT	MGMT	NM_002412			MGMT			NA
TCF12_IP_R1_peak_1338	chr3	45911352	45912143	+	333	NA	intron (LZTFL1, intron 2 of 9)	-intron (LZTFL1, intron 2 of 11)	-16249	CCR9	CCR9	NM_031200			CCR9			NA
TCF12_IP_R1_peak_1674	chr6	26360702	26361452	+	333	NA	Intergenic	Intergenic	-4310	BTN3A2	BTN3A2	NM_001197246			BTN3A2			NA
TCF12_IP_R1_peak_1508	chr4	145955926	145956374	+	331	NA	intron (ANAPC10, intron 5 of 6)	-intron (ANAPC10, intron 4 of 4)	-63006	ABCE1	ABCE1	NM_001040876			ABCE1			NA
TCF12_IP_R1_peak_126	chr1	158332251	158332670	+	331	NA	Intergenic	Intergenic	8974	CD1E	CD1E	NM_001185107			CD1E			NA
TCF12_IP_R1_peak_1377	chr3	108476242	108476646	+	330	NA	promoter-TSS (RETNLB)	-promoter-TSS (RETNLB)	-314	RETNLB	RETNLB	NM_032579			RETNLB			NA
TCF12_IP_R1_peak_2000	chr9	123931318	123932315	+	329	NA	intron (CNTRL, intron 36 of 41)	-intron (CNTRL, intron 36 of 41)	32549	RAB14	RAB14	NM_016322			RAB14			NA
TCF12_IP_R1_peak_1461	chr4	40313804	40314206	+	327	NA	intron (LOC101060498, intron 2 of 3)	-intron (LOC101060498, intron 2 of 3)	4803	LOC101060498	LOC101060498	NR_121640			LOC101060498			NA
TCF12_IP_R1_peak_779	chr16	74642809	74643179	+	325	NA	Intergenic	Intergenic	-1952	GLG1	GLG1	NM_012201			GLG1			NA
TCF12_IP_R1_peak_1265	chr22	29218769	29219509	+	324	NA	Intergenic	Intergenic	-22579	XBP1	XBP1	NM_001079539			XBP1			NA
TCF12_IP_R1_peak_204	chr1	232556742	232557494	+	324	NA	intron (SIPA1L2, intron 16 of 20)	-intron (SIPA1L2, intron 16 of 20)	94125	SIPA1L2	SIPA1L2	NM_020808			SIPA1L2			NA
TCF12_IP_R1_peak_56	chr1	42725032	42725389	+	320	NA	intron (FOXJ3, intron 4 of 12)	-intron (FOXJ3, intron 4 of 12)	75693	FOXJ3	FOXJ3	NM_001198850			FOXJ3			NA
TCF12_IP_R1_peak_299	chr10	116561028	116561397	+	319	NA	Intergenic	Intergenic	-20291	FAM160B1	FAM160B1	NM_001135051			FAM160B1			NA
TCF12_IP_R1_peak_143	chr1	178942370	178943098	+	318	NA	Intergenic	Intergenic	-52340	FAM20B	FAM20B	NM_014864			FAM20B			NA
TCF12_IP_R1_peak_1811	chr7	102082068	102082618	+	318	NA	intron (ORAI2, intron 2 of 2)	-intron (ORAI2, intron 3 of 3)	8366	ORAI2	ORAI2	NM_032831			ORAI2			NA
TCF12_IP_R1_peak_1070	chr2	111615967	111616366	+	317	NA	intron (ACOXL, intron 10 of 17)	-intron (ACOXL, intron 10 of 17)	126016	ACOXL	ACOXL	NM_001142807			ACOXL			NA
TCF12_IP_R1_peak_1667	chr6	21850914	21851337	+	315	NA	intron (CASC15, intron 4 of 11)	-intron (CASC15, intron 4 of 11)	184450	CASC15	CASC15	NR_015410			CASC15			NA
TCF12_IP_R1_peak_1483	chr4	103537785	103538349	+	311	NA	exon (NFKB1, exon 24 of 24)	-exon (NFKB1, exon 24 of 24)	115581	NFKB1	NFKB1	NM_001165412			NFKB1			NA
TCF12_IP_R1_peak_1738	chr6	135424045	135424511	+	309	NA	Intergenic	Intergenic	-48242	HBS1L	HBS1L	NM_001145207			HBS1L			NA
TCF12_IP_R1_peak_1555	chr5	39370582	39371215	+	309	NA	TTS (DAB2)	-TTS (DAB2)	-6243	C9	C9	NM_001737			C9			NA
TCF12_IP_R1_peak_1236	chr21	37626460	37626803	+	307	NA	intron (DOPEY2, intron 23 of 36)	-intron (DOPEY2, intron 23 of 36)	-65856	MORC3	MORC3	NM_015358			MORC3			NA
TCF12_IP_R1_peak_1280	chr22	44851269	44851654	+	307	NA	Intergenic	Intergenic	12254	LOC101927526	LOC101927526	NR_109966			LOC101927526			NA
TCF12_IP_R1_peak_565	chr14	45671138	45671468	+	307	NA	Intergenic	Intergenic	51302	MIS18BP1	MIS18BP1	NM_018353			MIS18BP1			NA
TCF12_IP_R1_peak_332	chr11	11193431	11193775	+	304	NA	Intergenic	Intergenic	181301	CSNK2A3	CSNK2A3	NM_001256686			CSNK2A3			NA
TCF12_IP_R1_peak_1561	chr5	54198632	54199067	+	302	NA	Intergenic	Intergenic	82565	ESM1	ESM1	NM_001135604			ESM1			NA
