PeakID (cmd=annotatePeaks.pl GATA3.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1057	chr17	73839810	73839961	+	0	NA	intron (UNC13D, intron 1 of 31)	-intron (UNC13D, intron 1 of 31)	913	UNC13D	UNC13D	NM_199242			UNC13D			NA
Interval_1681	chr3	139847063	139847302	+	0	NA	intron (CLSTN2, intron 1 of 16)	-intron (CLSTN2, intron 1 of 16)	193155	CLSTN2	CLSTN2	NM_022131			CLSTN2			NA
Interval_1713	chr3	169227965	169228251	+	0	NA	intron (MECOM, intron 1 of 16)	-intron (MECOM, intron 1 of 15)	254740	TERC	TERC	NR_001566			TERC			NA
Interval_851	chr15	81528640	81528826	+	0	NA	intron (IL16, intron 1 of 17)	-intron (IL16, intron 2 of 18)	11093	IL16	IL16	NM_001172128			IL16			NA
Interval_678	chr13	40467038	40467189	+	0	NA	Intergenic	Intergenic	-228841	MIR4305	MIR4305	NR_036190			MIR4305			NA
Interval_1444	chr20	49003020	49003345	+	0	NA	Intergenic	Intergenic	-65303	LINC01271	LINC01271	NR_109950			LINC01271			NA
Interval_438	chr11	44596178	44596329	+	0	NA	intron (CD82, intron 1 of 9)	-intron (CD82, intron 1 of 8)	9112	CD82	CD82	NM_001024844			CD82			NA
Interval_1213	chr2	14548878	14549162	+	0	NA	Intergenic	Intergenic	-7938	LINC00276	LINC00276	NR_103814			LINC00276			NA
Interval_728	chr14	36158306	36158565	+	0	NA	intron (RALGAPA1, intron 17 of 41)	-intron (RALGAPA1, intron 17 of 41)	119915	RALGAPA1P	RALGAPA1P	NR_104269			RALGAPA1P			NA
Interval_39	chr1	26101299	26101662	+	0	NA	intron (MAN1C1, intron 8 of 11)	-intron (MAN1C1, intron 8 of 11)	-25187	SEPN1	SEPN1	NM_206926			SEPN1			NA
Interval_599	chr12	71448458	71448643	+	0	NA	Intergenic	Intergenic	103229	TSPAN8	TSPAN8	NM_004616			TSPAN8			NA
Interval_1441	chr20	48622274	48622522	+	0	NA	Intergenic	Intergenic	22885	SNAI1	SNAI1	NM_005985			SNAI1			NA
Interval_2230	chr7	105313937	105314129	+	0	NA	intron (ATXN7L1, intron 3 of 11)	-intron (ATXN7L1, intron 3 of 11)	-92057	EFCAB10	EFCAB10	NR_027068			EFCAB10			NA
Interval_428	chr11	34831149	34831478	+	0	NA	Intergenic	Intergenic	-106364	PDHX	PDHX	NM_003477			PDHX			NA
Interval_375	chr10	123838336	123838595	+	0	NA	intron (TACC2, intron 3 of 19)	-intron (TACC2, intron 3 of 19)	89776	TACC2	TACC2	NM_206862			TACC2			NA
Interval_2001	chr5	159920944	159921161	+	0	NA	Intergenic	Intergenic	8693	MIR146A	MIR146A	NR_029701			MIR146A			NA
Interval_949	chr17	12755364	12755515	+	0	NA	intron (ARHGAP44, intron 1 of 20)	-intron (ARHGAP44, intron 1 of 20)	-61838	LOC100128006	LOC100128006	NR_104607			LOC100128006			NA
Interval_2120	chr6	139901738	139901927	+	0	NA	Intergenic	Intergenic	-106099	LOC645434	LOC645434	NR_033919			LOC645434			NA
Interval_667	chr13	21241199	21241350	+	0	NA	intron (IFT88, intron 25 of 27)	-intron (IFT88, intron 23 of 25)	-36208	IL17D	IL17D	NM_138284			IL17D			NA
Interval_651	chr12	127451168	127451365	+	0	NA	intron (LOC101927592, intron 4 of 6)	-intron (LOC101927592, intron 4 of 6)	-92030	LOC440117	LOC440117	NR_033970			LOC440117			NA
Interval_1279	chr2	100453746	100453947	+	0	NA	intron (AFF3, intron 7 of 23)	-intron (AFF3, intron 7 of 23)	305191	AFF3	AFF3	NM_002285			AFF3			NA
Interval_692	chr13	53589300	53589563	+	0	NA	Intergenic	Intergenic	-13445	OLFM4	OLFM4	NM_006418			OLFM4			NA
Interval_68	chr1	42347789	42348018	+	0	NA	intron (HIVEP3, intron 2 of 3)	-intron (HIVEP3, intron 1 of 7)	153693	HIVEP3	HIVEP3	NR_038261			HIVEP3			NA
Interval_2350	chr8	103911579	103911920	+	0	NA	intron (AZIN1-AS1, intron 2 of 2)	-intron (AZIN1-AS1, intron 2 of 3)	35250	AZIN1-AS1	AZIN1-AS1	NR_126338			AZIN1-AS1			NA
Interval_1667	chr3	119227349	119227500	+	0	NA	intron (TIMMDC1, intron 4 of 6)	-intron (TIMMDC1, intron 4 of 6)	10056	TIMMDC1	TIMMDC1	NM_016589			TIMMDC1			NA
Interval_129	chr1	111329922	111330102	+	0	NA	Intergenic	Intergenic	-83809	CD53	CD53	NM_000560			CD53			NA
Interval_1706	chr3	161608210	161608439	+	0	NA	Intergenic	Intergenic	393728	OTOL1	OTOL1	NM_001080440			OTOL1			NA
Interval_2537	chrX	106176852	106177144	+	0	NA	Intergenic	Intergenic	13392	CLDN2	CLDN2	NM_020384			CLDN2			NA
Interval_434	chr11	39933613	39933838	+	0	NA	Intergenic	Intergenic	380955	LRRC4C	LRRC4C	NM_001258419			LRRC4C			NA
Interval_343	chr10	97798779	97799052	+	0	NA	intron (ENTPD1-AS1, intron 2 of 5)	-intron (ENTPD1-AS1, intron 2 of 5)	-4244	CCNJ	CCNJ	NM_019084			CCNJ			NA
Interval_2150	chr6	166853241	166853475	+	0	NA	intron (RPS6KA2, intron 14 of 20)	-intron (RPS6KA2, intron 15 of 21)	25513	RPS6KA2-IT1	RPS6KA2-IT1	NR_046793			RPS6KA2-IT1			NA
Interval_1139	chr19	6238329	6238577	+	0	NA	intron (MLLT1, intron 3 of 11)	-intron (MLLT1, intron 3 of 11)	41506	MLLT1	MLLT1	NM_005934			MLLT1			NA
Interval_1158	chr19	16197259	16197577	+	0	NA	intron (TPM4, intron 3 of 7)	-intron (TPM4, intron 4 of 8)	10283	TPM4	TPM4	NM_001145160			TPM4			NA
Interval_385	chr10	131331310	131331488	+	0	NA	intron (MGMT, intron 1 of 4)	-intron (MGMT, intron 1 of 4)	65945	MGMT	MGMT	NM_002412			MGMT			NA
Interval_255	chr10	6962394	6962656	+	0	NA	Intergenic	Intergenic	140965	LINC00707	LINC00707	NR_038291			LINC00707			NA
Interval_2362	chr8	117589328	117589532	+	0	NA	Intergenic	Intergenic	178632	EIF3H	EIF3H	NM_003756			EIF3H			NA
Interval_1717	chr3	169751242	169751514	+	0	NA	Intergenic	Intergenic	-4357	GPR160	GPR160	NM_014373			GPR160			NA
Interval_1985	chr5	142981725	142981906	+	0	NA	Intergenic	Intergenic	-77610	MIR5197	MIR5197	NR_049829			MIR5197			NA
Interval_218	chr1	226187070	226187671	+	0	NA	promoter-TSS (SDE2)	-promoter-TSS (SDE2)	-304	SDE2	SDE2	NM_152608			SDE2			NA
Interval_602	chr12	89629522	89629738	+	0	NA	Intergenic	Intergenic	117006	DUSP6	DUSP6	NM_022652			DUSP6			NA
Interval_1873	chr4	144775921	144776072	+	0	NA	Intergenic	Intergenic	50720	GYPE	GYPE	NM_002102			GYPE			NA
Interval_1829	chr4	82476884	82477100	+	0	NA	Intergenic	Intergenic	-83910	RASGEF1B	RASGEF1B	NM_001300736			RASGEF1B			NA
Interval_521	chr12	707160	707341	+	0	NA	intron (NINJ2, intron 1 of 3)	-intron (NINJ2, intron 1 of 3)	-32807	LOC100049716	LOC100049716	NR_122124			LOC100049716			NA
Interval_215	chr1	224811597	224811953	+	0	NA	intron (CNIH3, intron 1 of 5)	-intron (CNIH3, intron 1 of 5)	7596	CNIH3	CNIH3	NM_152495			CNIH3			NA
Interval_1993	chr5	152827189	152827408	+	0	NA	Intergenic	Intergenic	-42786	GRIA1	GRIA1	NM_001114183			GRIA1			NA
Interval_590	chr12	68091259	68091524	+	0	NA	Intergenic	Intergenic	31864	LOC101927901	LOC101927901	NR_110063			LOC101927901			NA
Interval_244	chr10	1282375	1282649	+	0	NA	intron (ADARB2, intron 5 of 9)	-intron (ADARB2, intron 5 of 9)	76804	LINC00200	LINC00200	NR_015376			LINC00200			NA
Interval_2327	chr8	67030891	67031109	+	0	NA	Intergenic	Intergenic	-8278	TRIM55	TRIM55	NM_184085			TRIM55			NA
Interval_1511	chr22	19879166	19879356	+	0	NA	intron (TXNRD2, intron 11 of 17)	-intron (TXNRD2, intron 11 of 17)	-36799	GNB1L	GNB1L	NM_053004			GNB1L			NA
Interval_2169	chr7	5501889	5502120	+	0	NA	Intergenic	Intergenic	33544	MIR589	MIR589	NR_030318			MIR589			NA
Interval_33	chr1	21958762	21958979	+	0	NA	intron (RAP1GAP, intron 2 of 24)	-intron (RAP1GAP, intron 3 of 26)	36986	RAP1GAP	RAP1GAP	NM_001145657			RAP1GAP			NA
Interval_1006	chr17	48130109	48130295	+	0	NA	intron (LOC284080, intron 2 of 2)	-intron (LOC284080, intron 2 of 2)	2901	LOC284080	LOC284080	NR_038230			LOC284080			NA
Interval_1971	chr5	136397246	136397448	+	0	NA	intron (SPOCK1, intron 6 of 10)	-intron (SPOCK1, intron 6 of 10)	437671	SPOCK1	SPOCK1	NM_004598			SPOCK1			NA
Interval_1684	chr3	141765195	141765526	+	0	NA	intron (TFDP2, intron 3 of 12)	-intron (TFDP2, intron 4 of 13)	-17853	TFDP2	TFDP2	NM_001178138			TFDP2			NA
Interval_1396	chr20	10057469	10057721	+	0	NA	intron (SNAP25-AS1, intron 3 of 4)	-intron (SNAP25-AS1, intron 3 of 4)	41948	ANKEF1	ANKEF1	NM_001303472			ANKEF1			NA
Interval_1097	chr18	34469865	34470020	+	0	NA	intron (KIAA1328, intron 5 of 9)	-intron (KIAA1328, intron 5 of 9)	-60763	TPGS2	TPGS2	NM_001271950			TPGS2			NA
Interval_410	chr11	16359385	16359537	+	0	NA	intron (SOX6, intron 2 of 15)	-intron (SOX6, intron 2 of 14)	138474	SOX6	SOX6	NM_033326			SOX6			NA
Interval_186	chr1	202131190	202131484	+	0	NA	promoter-TSS (PTPN7)	-promoter-TSS (PTPN7)	-621	PTPN7	PTPN7	NM_001199797			PTPN7			NA
Interval_831	chr15	68075801	68075952	+	0	NA	intron (MAP2K5, intron 21 of 21)	-intron (MAP2K5, intron 21 of 21)	-36166	SKOR1	SKOR1	NM_001258024			SKOR1			NA
Interval_1734	chr3	184190916	184191080	+	0	NA	Intergenic	Intergenic	83708	EIF2B5-AS1	EIF2B5-AS1	NR_046593			EIF2B5-AS1			NA
Interval_591	chr12	68683844	68684141	+	0	NA	Intergenic	Intergenic	-36711	IL22	IL22	NM_020525			IL22			NA
Interval_1234	chr2	38779470	38779672	+	0	NA	Intergenic	Intergenic	-36689	LOC101929596	LOC101929596	NR_110259			LOC101929596			NA
Interval_160	chr1	162342627	162342843	+	0	NA	TTS (C1orf111)	-TTS (C1orf111)	3909	C1orf111	C1orf111	NM_182581			C1orf111			NA
Interval_732	chr14	47726354	47726505	+	0	NA	intron (MDGA2, intron 2 of 16)	-intron (MDGA2, intron 2 of 16)	86020	MDGA2	MDGA2	NM_001113498			MDGA2			NA
Interval_548	chr12	24616419	24616634	+	0	NA	intron (SOX5, intron 1 of 17)	-intron (SOX5, intron 1 of 16)	120576	LINC00477	LINC00477	NR_029451			LINC00477			NA
Interval_2393	chr8	144427927	144428266	+	0	NA	intron (TOP1MT, intron 1 of 13)	-intron (TOP1MT, intron 2 of 14)	-11035	TOP1MT	TOP1MT	NM_001258447			TOP1MT			NA
Interval_130	chr1	112013812	112013981	+	0	NA	Intergenic	Intergenic	-2595	C1orf162	C1orf162	NM_174896			C1orf162			NA
Interval_221	chr1	226843949	226844274	+	0	NA	exon (ITPKB-IT1, exon 2 of 2)	-exon (ITPKB-IT1, exon 2 of 2)	18658	ITPKB-IT1	ITPKB-IT1	NR_103784			ITPKB-IT1			NA
Interval_502	chr11	126290383	126290534	+	0	NA	Intergenic	Intergenic	64669	ST3GAL4	ST3GAL4	NM_001254759			ST3GAL4			NA
Interval_2363	chr8	117902525	117902676	+	0	NA	Intergenic	Intergenic	-15495	RAD21	RAD21	NM_006265			RAD21			NA
Interval_357	chr10	115141736	115141887	+	0	NA	Intergenic	Intergenic	-170967	HABP2	HABP2	NM_004132			HABP2			NA
Interval_1366	chr2	235528676	235528910	+	0	NA	Intergenic	Intergenic	-123100	ARL4C	ARL4C	NM_005737			ARL4C			NA
Interval_812	chr15	44430173	44430359	+	0	NA	intron (FRMD5, intron 1 of 15)	-intron (FRMD5, intron 1 of 15)	57226	FRMD5	FRMD5	NM_032892			FRMD5			NA
Interval_1138	chr19	5799245	5799553	+	0	NA	Intergenic	Intergenic	-8150	DUS3L	DUS3L	NM_001161619			DUS3L			NA
Interval_827	chr15	66577818	66578072	+	0	NA	Intergenic	Intergenic	-7688	DIS3L	DIS3L	NM_001143688			DIS3L			NA
Interval_1914	chr5	11234914	11235109	+	0	NA	intron (CTNND2, intron 8 of 21)	-intron (CTNND2, intron 9 of 20)	-473624	DAP	DAP	NM_001291963			DAP			NA
Interval_956	chr17	17307236	17307490	+	0	NA	Intergenic	Intergenic	-72937	MED9	MED9	NM_018019			MED9			NA
Interval_2456	chr9	117709390	117709556	+	0	NA	Intergenic	Intergenic	-16598	TNFSF8	TNFSF8	NM_001244			TNFSF8			NA
Interval_1062	chr17	75327664	75327838	+	0	NA	intron (SEPT9, intron 1 of 10)	-intron (SEPT9, intron 2 of 11)	12154	SEPT9	SEPT9	NM_001113492			SEPT9			NA
Interval_1639	chr3	86254088	86254254	+	0	NA	Intergenic	Intergenic	236190	RNU6-69P	RNU6-69P	NR_046939			RNU6-69P			NA
Interval_725	chr14	34386428	34386649	+	0	NA	Intergenic	Intergenic	33746	EGLN3	EGLN3	NM_022073			EGLN3			NA
Interval_417	chr11	27303408	27303561	+	0	NA	Intergenic	Intergenic	-63169	BBOX1-AS1	BBOX1-AS1	NR_125767			BBOX1-AS1			NA
Interval_984	chr17	40467474	40467675	+	0	NA	exon (STAT3, exon 24 of 24)	-exon (STAT3, exon 24 of 24)	28009	STAT5A	STAT5A	NM_001288718			STAT5A			NA
Interval_1919	chr5	33642359	33642510	+	0	NA	intron (ADAMTS12, intron 10 of 23)	-intron (ADAMTS12, intron 10 of 23)	201552	TARS	TARS	NM_001258438			TARS			NA
Interval_1628	chr3	65840783	65840961	+	0	NA	intron (MAGI1, intron 1 of 24)	-intron (MAGI1, intron 1 of 22)	-38619	MAGI1-AS1	MAGI1-AS1	NR_046575			MAGI1-AS1			NA
Interval_2552	chrX	119468544	119468729	+	0	NA	Intergenic	Intergenic	-23245	TMEM255A	TMEM255A	NM_001104545			TMEM255A			NA
Interval_1791	chr4	24652865	24653139	+	0	NA	Intergenic	Intergenic	-66818	DHX15	DHX15	NM_001358			DHX15			NA
Interval_1083	chr18	13306713	13306982	+	0	NA	intron (LDLRAD4, intron 2 of 5)	-intron (LDLRAD4, intron 1 of 5)	88118	LDLRAD4	LDLRAD4	NM_001276249			LDLRAD4			NA
Interval_2007	chr5	169780258	169780449	+	0	NA	promoter-TSS (KCNIP1)	-promoter-TSS (KCNIP1)	21956	LINC01366	LINC01366	NR_108024			LINC01366			NA
Interval_843	chr15	75322152	75322336	+	0	NA	intron (PPCDC, intron 2 of 3)	-intron (PPCDC, intron 2 of 4)	6348	PPCDC	PPCDC	NM_001301105			PPCDC			NA
Interval_2091	chr6	69448042	69448238	+	0	NA	intron (ADGRB3, intron 3 of 31)	-intron (ADGRB3, intron 3 of 31)	102508	ADGRB3	ADGRB3	NM_001704			ADGRB3			NA
Interval_1662	chr3	111651834	111652064	+	0	NA	intron (PHLDB2, intron 6 of 17)	-intron (PHLDB2, intron 6 of 17)	-45774	ABHD10	ABHD10	NM_018394			ABHD10			NA
Interval_2553	chrX	119553358	119553625	+	0	NA	Intergenic	Intergenic	49713	LAMP2	LAMP2	NM_002294			LAMP2			NA
Interval_1423	chr20	31560075	31560400	+	0	NA	Intergenic	Intergenic	32002	SUN5	SUN5	NM_080675			SUN5			NA
Interval_1826	chr4	81064467	81064761	+	0	NA	Intergenic	Intergenic	-41810	PRDM8	PRDM8	NM_020226			PRDM8			NA
