PeakID (cmd=annotatePeaks.pl TCF12_IP_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
TCF12_IP_R1_peak_16713	chr9	117134275	117135740	+	1796	NA	intron (AKNA, intron 4 of 21)	-intron (AKNA, intron 4 of 21)	21678	AKNA	AKNA	NM_030767			AKNA			NA
TCF12_IP_R1_peak_16619	chr9	98256235	98257086	+	1788	NA	intron (PTCH1, intron 2 of 23)	-intron (PTCH1, intron 2 of 23)	12821	PTCH1	PTCH1	NM_001083603			PTCH1			NA
TCF12_IP_R1_peak_16152	chr8	125649665	125650248	+	1781	NA	intron (MTSS1, intron 3 of 13)	-intron (MTSS1, intron 3 of 14)	90792	MTSS1	MTSS1	NM_014751			MTSS1			NA
TCF12_IP_R1_peak_7350	chr17	77916442	77917250	+	1766	NA	TTS (TBC1D16)	-TTS (TBC1D16)	-16322	LOC101928766	LOC101928766	NR_110850			LOC101928766			NA
TCF12_IP_R1_peak_14926	chr7	5436595	5437240	+	1763	NA	intron (TNRC18, intron 2 of 29)	-intron (TNRC18, intron 2 of 29)	26260	TNRC18	TNRC18	NM_001080495			TNRC18			NA
TCF12_IP_R1_peak_10653	chr21	38730262	38731090	+	1736	NA	Intergenic	Intergenic	-61925	DYRK1A	DYRK1A	NM_001396			DYRK1A			NA
TCF12_IP_R1_peak_2147	chr10	81045767	81047059	+	1721	NA	intron (ZMIZ1, intron 8 of 24)	-intron (ZMIZ1, intron 8 of 24)	-60807	PPIF	PPIF	NM_005729			PPIF			NA
TCF12_IP_R1_peak_5652	chr15	101991467	101992014	+	1713	NA	intron (PCSK6, intron 1 of 13)	-intron (PCSK6, intron 1 of 19)	38447	PCSK6	PCSK6	NM_138324			PCSK6			NA
TCF12_IP_R1_peak_6365	chr16	87812288	87813309	+	1706	NA	promoter-TSS (LOC102724467)	-promoter-TSS (LOC102724467)	-44	LOC102724467	LOC102724467	NR_120309			LOC102724467			NA
TCF12_IP_R1_peak_11041	chr22	33276712	33277716	+	1705	NA	intron (SYN3, intron 3 of 11)	-intron (SYN3, intron 4 of 13)	80412	TIMP3	TIMP3	NM_000362			TIMP3			NA
TCF12_IP_R1_peak_8570	chr19	36392687	36393720	+	1695	NA	promoter-TSS (HCST)	-promoter-TSS (HCST)	-179	HCST	HCST	NM_001007469			HCST			NA
TCF12_IP_R1_peak_15419	chr7	125301589	125302127	+	1685	NA	Intergenic	Intergenic	-397513	LOC101928254	LOC101928254	NR_110182			LOC101928254			NA
TCF12_IP_R1_peak_1702	chr10	12154654	12155226	+	1683	NA	exon (DHTKD1, exon 13 of 17)	-exon (DHTKD1, exon 13 of 17)	-16700	SEC61A2	SEC61A2	NM_001142627			SEC61A2			NA
TCF12_IP_R1_peak_5411	chr15	73989227	73989884	+	1673	NA	intron (CD276, intron 1 of 7)	-intron (CD276, intron 1 of 9)	12933	CD276	CD276	NM_001024736			CD276			NA
TCF12_IP_R1_peak_112	chr1	7708868	7709580	+	1658	NA	intron (CAMTA1, intron 7 of 22)	-intron (CAMTA1, intron 7 of 22)	-122105	VAMP3	VAMP3	NM_004781			VAMP3			NA
TCF12_IP_R1_peak_287	chr1	23496153	23496634	+	1649	NA	Intergenic	Intergenic	-1042	LUZP1	LUZP1	NM_033631			LUZP1			NA
TCF12_IP_R1_peak_11650	chr3	49058963	49059667	+	1645	NA	promoter-TSS (DALRD3)	-promoter-TSS (DALRD3)	-811	DALRD3	DALRD3	NM_018114			DALRD3			NA
TCF12_IP_R1_peak_1065	chr1	160807279	160808003	+	1639	NA	intron (CD244, intron 5 of 8)	-intron (CD244, intron 5 of 8)	25051	CD244	CD244	NM_001166663			CD244			NA
TCF12_IP_R1_peak_16057	chr8	102149140	102150014	+	1635	NA	Intergenic	Intergenic	68383	ZNF706	ZNF706	NM_001267709			ZNF706			NA
TCF12_IP_R1_peak_12516	chr4	6939822	6940604	+	1633	NA	intron (TBC1D14, intron 2 of 13)	-intron (TBC1D14, intron 2 of 13)	28718	TBC1D14	TBC1D14	NM_020773			TBC1D14			NA
TCF12_IP_R1_peak_16363	chr8	145010015	145011589	+	1628	NA	intron (PLEC, intron 5 of 31)	-intron (PLEC, intron 6 of 32)	2956	PLEC	PLEC	NM_000445			PLEC			NA
TCF12_IP_R1_peak_16344	chr8	144699133	144700471	+	1624	NA	promoter-TSS (TSTA3)	-promoter-TSS (TSTA3)	-70	TSTA3	TSTA3	NM_003313			TSTA3			NA
TCF12_IP_R1_peak_16886	chr9	132625357	132625851	+	1618	NA	intron (USP20, intron 9 of 24)	-intron (USP20, intron 9 of 25)	-6280	MIR6855	MIR6855	NR_106914			MIR6855			NA
TCF12_IP_R1_peak_12205	chr3	184190825	184191190	+	1618	NA	Intergenic	Intergenic	83699	EIF2B5-AS1	EIF2B5-AS1	NR_046593			EIF2B5-AS1			NA
TCF12_IP_R1_peak_374	chr1	27438362	27439187	+	1618	NA	intron (SLC9A1, intron 1 of 10)	-intron (SLC9A1, intron 2 of 11)	42847	SLC9A1	SLC9A1	NM_003047			SLC9A1			NA
TCF12_IP_R1_peak_1865	chr10	34299784	34300170	+	1614	NA	Intergenic	Intergenic	-238369	LINC00838	LINC00838	NR_038932			LINC00838			NA
TCF12_IP_R1_peak_12244	chr3	187697368	187697781	+	1610	NA	Intergenic	Intergenic	174302	LPP-AS2	LPP-AS2	NR_036497			LPP-AS2			NA
TCF12_IP_R1_peak_11113	chr22	39147355	39148348	+	1603	NA	intron (SUN2, intron 2 of 17)	-intron (SUN2, intron 2 of 17)	4173	SUN2	SUN2	NM_001199579			SUN2			NA
TCF12_IP_R1_peak_10937	chr22	23922102	23923206	+	1602	NA	promoter-TSS (IGLL1)	-promoter-TSS (IGLL1)	-159	IGLL1	IGLL1	NM_152855			IGLL1			NA
TCF12_IP_R1_peak_7270	chr17	75079558	75080231	+	1601	NA	Intergenic	Intergenic	-4831	SNHG20	SNHG20	NR_027058			SNHG20			NA
TCF12_IP_R1_peak_11984	chr3	128741131	128741824	+	1599	NA	intron (EFCC1, intron 2 of 7)	-intron (EFCC1, intron 2 of 7)	21005	EFCC1	EFCC1	NM_024768			EFCC1			NA
TCF12_IP_R1_peak_8331	chr19	13957274	13958945	+	1580	NA	Intergenic	Intergenic	-10636	MIR23A	MIR23A	NR_029495			MIR23A			NA
TCF12_IP_R1_peak_6686	chr17	28001293	28001689	+	1564	NA	intron (SSH2, intron 6 of 6)	-intron (SSH2, intron 8 of 15)	-53050	CORO6	CORO6	NM_032854			CORO6			NA
TCF12_IP_R1_peak_15664	chr8	1694080	1694875	+	1557	NA	Intergenic	Intergenic	-17393	CLN8	CLN8	NM_018941			CLN8			NA
TCF12_IP_R1_peak_15284	chr7	92384205	92384967	+	1554	NA	intron (CDK6, intron 3 of 7)	-intron (CDK6, intron 3 of 7)	78645	CDK6	CDK6	NM_001145306			CDK6			NA
TCF12_IP_R1_peak_4105	chr12	124950414	124951314	+	1552	NA	intron (NCOR2, intron 6 of 48)	-intron (NCOR2, intron 6 of 47)	101146	NCOR2	NCOR2	NM_001077261			NCOR2			NA
TCF12_IP_R1_peak_6109	chr16	57723439	57724246	+	1544	NA	TTS (ADGRG3)	-TTS (ADGRG3)	-4871	DRC7	DRC7	NM_032269			DRC7			NA
TCF12_IP_R1_peak_2788	chr11	47380908	47381806	+	1531	NA	intron (SPI1, intron 3 of 4)	-intron (SPI1, intron 3 of 4)	-7104	MYBPC3	MYBPC3	NM_000256			MYBPC3			NA
TCF12_IP_R1_peak_14672	chr6	147092082	147092529	+	1527	NA	intron (ADGB, intron 29 of 35)	-intron (ADGB, intron 29 of 35)	32655	KATNBL1P6	KATNBL1P6	NR_003954			KATNBL1P6			NA
TCF12_IP_R1_peak_1057	chr1	159879952	159880583	+	1526	NA	Intergenic	Intergenic	-10361	CFAP45	CFAP45	NM_012337			CFAP45			NA
TCF12_IP_R1_peak_2440	chr10	131331128	131331597	+	1519	NA	intron (MGMT, intron 1 of 4)	-intron (MGMT, intron 1 of 4)	65908	MGMT	MGMT	NM_002412			MGMT			NA
TCF12_IP_R1_peak_4139	chr12	131713861	131715146	+	1517	NA	Intergenic	Intergenic	64947	LINC01257	LINC01257	NR_026670			LINC01257			NA
TCF12_IP_R1_peak_16751	chr9	124273026	124273758	+	1500	NA	Intergenic	Intergenic	-11086	GGTA1P	GGTA1P	NR_003191			GGTA1P			NA
TCF12_IP_R1_peak_1262	chr1	203738611	203738906	+	1500	NA	promoter-TSS (LAX1)	-promoter-TSS (LAX1)	4474	LAX1	LAX1	NM_001282878			LAX1			NA
TCF12_IP_R1_peak_6966	chr17	53861177	53861758	+	1499	NA	Intergenic	Intergenic	33127	PCTP	PCTP	NM_001102402			PCTP			NA
TCF12_IP_R1_peak_16735	chr9	123659255	123659831	+	1481	NA	Intergenic	Intergenic	-28354	PHF19	PHF19	NM_001286840			PHF19			NA
TCF12_IP_R1_peak_14771	chr6	166901573	166901944	+	1481	NA	intron (RPS6KA2, intron 10 of 20)	-intron (RPS6KA2, intron 11 of 21)	21163	MIR1913	MIR1913	NR_031734			MIR1913			NA
TCF12_IP_R1_peak_3408	chr12	6445435	6446828	+	1479	NA	intron (TNFRSF1A, intron 1 of 9)	-intron (TNFRSF1A, intron 1 of 9)	5152	TNFRSF1A	TNFRSF1A	NM_001065			TNFRSF1A			NA
TCF12_IP_R1_peak_8179	chr19	8436083	8436615	+	1471	NA	exon (ANGPTL4, exon 5 of 6)	-exon (ANGPTL4, exon 5 of 6)	7338	ANGPTL4	ANGPTL4	NR_104213			ANGPTL4			NA
TCF12_IP_R1_peak_416	chr1	31229276	31230397	+	1451	NA	intron (LAPTM5, intron 1 of 7)	-intron (LAPTM5, intron 1 of 7)	847	LAPTM5	LAPTM5	NM_006762			LAPTM5			NA
TCF12_IP_R1_peak_785	chr1	92950971	92952005	+	1439	NA	intron (GFI1, intron 1 of 6)	-intron (GFI1, intron 1 of 6)	945	GFI1	GFI1	NM_005263			GFI1			NA
TCF12_IP_R1_peak_12419	chr4	1717032	1717588	+	1438	NA	TTS (TMEM129)	-TTS (TMEM129)	-2842	SLBP	SLBP	NM_001306074			SLBP			NA
TCF12_IP_R1_peak_14190	chr6	31553915	31554742	+	1429	NA	promoter-TSS (LST1)	-promoter-TSS (LST1)	372	LST1	LST1	NM_205838_7			LST1			NA
TCF12_IP_R1_peak_5563	chr15	90577484	90578099	+	1426	NA	intron (ZNF710, intron 1 of 4)	-intron (ZNF710, intron 1 of 4)	27804	MIR3174	MIR3174	NR_036135			MIR3174			NA
TCF12_IP_R1_peak_5257	chr15	52429799	52430328	+	1419	NA	intron (GNB5, intron 7 of 12)	-intron (GNB5, intron 5 of 10)	-25091	BCL2L10	BCL2L10	NM_020396			BCL2L10			NA
TCF12_IP_R1_peak_16170	chr8	128929656	128930238	+	1408	NA	intron (PVT1, intron 1 of 7)	-intron (PVT1, intron 1 of 7)	27073	PVT1	PVT1	NR_003367			PVT1			NA
TCF12_IP_R1_peak_1916	chr10	43755532	43756172	+	1401	NA	intron (RASGEF1A, intron 1 of 12)	-intron (RASGEF1A, intron 1 of 12)	6515	RASGEF1A	RASGEF1A	NM_145313			RASGEF1A			NA
TCF12_IP_R1_peak_5351	chr15	66905830	66906741	+	1400	NA	intron (LINC01169, intron 1 of 4)	-intron (LINC01169, intron 1 of 4)	31757	LINC01169	LINC01169	NR_110372			LINC01169			NA
TCF12_IP_R1_peak_2129	chr10	79708913	79709404	+	1398	NA	Intergenic	Intergenic	22588	DLG5-AS1	DLG5-AS1	NR_024585			DLG5-AS1			NA
TCF12_IP_R1_peak_5763	chr16	3104741	3105464	+	1381	NA	intron (MMP25-AS1, intron 3 of 4)	-intron (MMP25, intron 4 of 9)	4269	MMP25-AS1	MMP25-AS1	NR_123723			MMP25-AS1			NA
TCF12_IP_R1_peak_5081	chr14	104860084	104860812	+	1376	NA	Intergenic	Intergenic	-187030	C14orf180	C14orf180	NM_001286399			C14orf180			NA
TCF12_IP_R1_peak_1762	chr10	22292207	22292999	+	1368	NA	promoter-TSS (DNAJC1)	-promoter-TSS (DNAJC1)	47	DNAJC1	DNAJC1	NM_022365			DNAJC1			NA
TCF12_IP_R1_peak_17383	chrX	153191788	153193167	+	1366	NA	promoter-TSS (ARHGAP4)	-promoter-TSS (ARHGAP4)	-763	ARHGAP4	ARHGAP4	NM_001666			ARHGAP4			NA
TCF12_IP_R1_peak_11324	chr3	4575476	4575803	+	1356	NA	intron (ITPR1, intron 4 of 57)	-intron (ITPR1, intron 4 of 58)	40607	ITPR1	ITPR1	NM_001168272			ITPR1			NA
TCF12_IP_R1_peak_10671	chr21	40357479	40357970	+	1354	NA	Intergenic	Intergenic	-8024	LOC101928435	LOC101928435	NR_109962			LOC101928435			NA
TCF12_IP_R1_peak_13611	chr5	131801924	131802803	+	1354	NA	intron (C5orf56, intron 3 of 3)	-intron (C5orf56, intron 3 of 3)	24102	IRF1	IRF1	NM_002198			IRF1			NA
TCF12_IP_R1_peak_7526	chr17	80548719	80549890	+	1354	NA	intron (FOXK2, intron 8 of 8)	-intron (FOXK2, intron 8 of 8)	57107	WDR45B	WDR45B	NM_019613			WDR45B			NA
TCF12_IP_R1_peak_13796	chr5	159894566	159895132	+	1346	NA	Intergenic	Intergenic	-6560	MIR3142	MIR3142	NR_036095			MIR3142			NA
TCF12_IP_R1_peak_16526	chr9	79071112	79071513	+	1346	NA	intron (GCNT1, intron 1 of 2)	-intron (GCNT1, intron 1 of 2)	-2756	GCNT1	GCNT1	NM_001097633			GCNT1			NA
TCF12_IP_R1_peak_8385	chr19	16197207	16197799	+	1338	NA	intron (TPM4, intron 3 of 7)	-intron (TPM4, intron 4 of 8)	10368	TPM4	TPM4	NM_001145160			TPM4			NA
TCF12_IP_R1_peak_2947	chr11	65244513	65245486	+	1324	NA	Intergenic	Intergenic	-20234	MALAT1	MALAT1	NR_002819			MALAT1			NA
TCF12_IP_R1_peak_16371	chr8	145026177	145027145	+	1322	NA	intron (PLEC, intron 2 of 32)	-intron (PLEC, intron 2 of 32)	-7214	MIR661	MIR661	NR_030383			MIR661			NA
TCF12_IP_R1_peak_6987	chr17	55945270	55946559	+	1319	NA	intron (CUEDC1, intron 7 of 10)	-intron (CUEDC1, intron 7 of 10)	-18481	MRPS23	MRPS23	NM_016070			MRPS23			NA
TCF12_IP_R1_peak_3220	chr11	113953414	113953931	+	1316	NA	intron (ZBTB16, intron 2 of 6)	-intron (ZBTB16, intron 2 of 6)	23241	ZBTB16	ZBTB16	NM_001018011			ZBTB16			NA
TCF12_IP_R1_peak_11672	chr3	49843725	49844080	+	1313	NA	promoter-TSS (MIR5193)	-promoter-TSS (MIR5193)	-224	MIR5193	MIR5193	NR_049825			MIR5193			NA
TCF12_IP_R1_peak_6362	chr16	87695111	87695641	+	1312	NA	intron (JPH3, intron 2 of 5)	-intron (JPH3, intron 2 of 4)	59935	JPH3	JPH3	NR_073379			JPH3			NA
TCF12_IP_R1_peak_11215	chr22	45125218	45126012	+	1311	NA	intron (PRR5-ARHGAP8, intron 4 of 14)	-intron (PRR5, intron 5 of 8)	-22823	ARHGAP8	ARHGAP8	NM_181335			ARHGAP8			NA
TCF12_IP_R1_peak_7181	chr17	72776050	72776641	+	1302	NA	intron (TMEM104, intron 2 of 9)	-intron (TMEM104, intron 2 of 9)	3723	TMEM104	TMEM104	NM_017728			TMEM104			NA
TCF12_IP_R1_peak_14090	chr6	15299765	15300371	+	1297	NA	intron (JARID2, intron 1 of 17)	-intron (JARID2, intron 1 of 17)	-51141	JARID2-AS1	JARID2-AS1	NR_120502			JARID2-AS1			NA
TCF12_IP_R1_peak_11473	chr3	31267822	31268201	+	1293	NA	Intergenic	Intergenic	-64732	MIR466	MIR466	NR_130459			MIR466			NA
TCF12_IP_R1_peak_3444	chr12	7830042	7830364	+	1293	NA	Intergenic	Intergenic	-11704	APOBEC1	APOBEC1	NM_001304566			APOBEC1			NA
TCF12_IP_R1_peak_4583	chr14	23581836	23582366	+	1292	NA	Intergenic	Intergenic	6719	CEBPE	CEBPE	NM_001805			CEBPE			NA
TCF12_IP_R1_peak_4137	chr12	131622394	131623424	+	1287	NA	intron (ADGRD1, intron 24 of 24)	-intron (ADGRD1, intron 24 of 24)	-26647	LINC01257	LINC01257	NR_026670			LINC01257			NA
TCF12_IP_R1_peak_8531	chr19	33751298	33752361	+	1283	NA	Intergenic	Intergenic	-35073	SLC7A10	SLC7A10	NM_019849			SLC7A10			NA
TCF12_IP_R1_peak_6808	chr17	40471855	40472336	+	1281	NA	intron (STAT3, intron 21 of 23)	-intron (STAT3, intron 21 of 23)	32530	STAT5A	STAT5A	NM_001288718			STAT5A			NA
TCF12_IP_R1_peak_7621	chr18	13464801	13465215	+	1271	NA	intron (LDLRAD4, intron 4 of 5)	-intron (LDLRAD4, intron 3 of 5)	5062	MIR5190	MIR5190	NR_049822			MIR5190			NA
TCF12_IP_R1_peak_16899	chr9	133934894	133935332	+	1270	NA	intron (LAMC3, intron 12 of 27)	-intron (LAMC3, intron 12 of 27)	-36750	AIF1L	AIF1L	NM_001185095			AIF1L			NA
TCF12_IP_R1_peak_6996	chr17	56230414	56230789	+	1267	NA	Intergenic	Intergenic	-1914	OR4D1	OR4D1	NM_012374			OR4D1			NA
TCF12_IP_R1_peak_1763	chr10	22422856	22423752	+	1266	NA	Intergenic	Intergenic	75608	EBLN1	EBLN1	NM_001199938			EBLN1			NA
TCF12_IP_R1_peak_7002	chr17	56358781	56359512	+	1265	NA	promoter-TSS (MPO)	-promoter-TSS (MPO)	-850	MPO	MPO	NM_000250			MPO			NA
TCF12_IP_R1_peak_1824	chr10	30722699	30723723	+	1264	NA	exon (MAP3K8, exon 1 of 8)	-exon (MAP3K8, exon 1 of 8)	261	MAP3K8	MAP3K8	NM_005204			MAP3K8			NA
TCF12_IP_R1_peak_6672	chr17	27465771	27466631	+	1256	NA	intron (MYO18A, intron 2 of 40)	-intron (MYO18A, intron 2 of 41)	41206	MYO18A	MYO18A	NM_078471			MYO18A			NA
TCF12_IP_R1_peak_10805	chr21	47789372	47790210	+	1254	NA	intron (PCNT, intron 15 of 46)	-intron (PCNT, intron 15 of 46)	45755	PCNT	PCNT	NM_006031			PCNT			NA
TCF12_IP_R1_peak_365	chr1	26868055	26869265	+	1251	NA	intron (RPS6KA1, intron 2 of 21)	-intron (RPS6KA1, intron 2 of 21)	-12373	MIR1976	MIR1976	NR_031740			MIR1976			NA
TCF12_IP_R1_peak_9470	chr2	101925194	101925663	+	1249	NA	promoter-TSS (RNF149)	-promoter-TSS (RNF149)	-250	RNF149	RNF149	NM_173647			RNF149			NA
TCF12_IP_R1_peak_6881	chr17	45144676	45145039	+	1246	NA	Intergenic	Intergenic	-88243	RPRML	RPRML	NM_203400			RPRML			NA
TCF12_IP_R1_peak_5191	chr15	41194672	41195530	+	1243	NA	exon (VPS18, exon 5 of 5)	-exon (VPS18, exon 5 of 5)	8473	VPS18	VPS18	NM_020857			VPS18			NA
TCF12_IP_R1_peak_6409	chr16	88865799	88866774	+	1229	NA	Intergenic	Intergenic	-3900	CDT1	CDT1	NM_030928			CDT1			NA
TCF12_IP_R1_peak_15574	chr7	150064921	150065773	+	1228	NA	promoter-TSS (REPIN1)	-promoter-TSS (REPIN1)	1311	RNU6-33P	RNU6-33P	NR_046491			RNU6-33P			NA
TCF12_IP_R1_peak_2054	chr10	73508424	73509116	+	1219	NA	exon (C10orf54, exon 7 of 7)	-exon (C10orf54, exon 7 of 7)	-11189	C10orf105	C10orf105	NM_001168390			C10orf105			NA
TCF12_IP_R1_peak_8571	chr19	36394299	36394922	+	1218	NA	TTS (TYROBP)	-TTS (TYROBP)	1228	HCST	HCST	NM_001007469			HCST			NA
TCF12_IP_R1_peak_1875	chr10	35285845	35286113	+	1217	NA	Intergenic	Intergenic	82629	MIR3611	MIR3611	NR_037405			MIR3611			NA
TCF12_IP_R1_peak_16277	chr8	142288348	142289286	+	1215	NA	Intergenic	Intergenic	-50144	SLC45A4	SLC45A4	NM_001286646			SLC45A4			NA
TCF12_IP_R1_peak_3608	chr12	48554640	48554946	+	1214	NA	Intergenic	Intergenic	-3416	ASB8	ASB8	NM_024095			ASB8			NA
TCF12_IP_R1_peak_16823	chr9	130619898	130620757	+	1210	NA	Intergenic	Intergenic	-10881	ENG	ENG	NM_000118			ENG			NA
TCF12_IP_R1_peak_17029	chr9	139540524	139541517	+	1200	NA	Intergenic	Intergenic	-12288	EGFL7	EGFL7	NM_201446			EGFL7			NA
TCF12_IP_R1_peak_16824	chr9	130624356	130625035	+	1200	NA	Intergenic	Intergenic	7079	MIR4672	MIR4672	NR_039819			MIR4672			NA
TCF12_IP_R1_peak_12701	chr4	55685013	55685737	+	1197	NA	Intergenic	Intergenic	161280	KIT	KIT	NM_001093772			KIT			NA
TCF12_IP_R1_peak_4497	chr13	110352513	110352923	+	1195	NA	Intergenic	Intergenic	-27903	LINC00676	LINC00676	NR_103846			LINC00676			NA
TCF12_IP_R1_peak_5476	chr15	77296524	77296983	+	1190	NA	intron (PSTPIP1, intron 1 of 14)	-intron (PSTPIP1, intron 1 of 14)	9288	PSTPIP1	PSTPIP1	NM_003978			PSTPIP1			NA
TCF12_IP_R1_peak_15650	chr7	158649052	158649558	+	1183	NA	promoter-TSS (WDR60)	-promoter-TSS (WDR60)	36	WDR60	WDR60	NM_018051			WDR60			NA
TCF12_IP_R1_peak_17255	chrX	65234982	65235482	+	1182	NA	Intergenic	Intergenic	-3480	MIR223	MIR223	NR_029637			MIR223			NA
TCF12_IP_R1_peak_15259	chr7	77381402	77381712	+	1181	NA	intron (RSBN1L, intron 3 of 7)	-intron (RSBN1L, intron 3 of 7)	46190	TMEM60	TMEM60	NM_032936			TMEM60			NA
TCF12_IP_R1_peak_15233	chr7	75246790	75247630	+	1181	NA	intron (HIP1, intron 1 of 30)	-intron (HIP1, intron 1 of 28)	-89757	PMS2P3	PMS2P3	NR_028059			PMS2P3			NA
TCF12_IP_R1_peak_14612	chr6	135516592	135517154	+	1181	NA	intron (MYB, intron 8 of 13)	-intron (MYB, intron 8 of 14)	14420	MYB	MYB	NM_001130172			MYB			NA
TCF12_IP_R1_peak_11071	chr22	37639938	37640750	+	1155	NA	promoter-TSS (RAC2)	-promoter-TSS (RAC2)	-5	RAC2	RAC2	NM_002872			RAC2			NA
TCF12_IP_R1_peak_4323	chr13	49788940	49789462	+	1152	NA	Intergenic	Intergenic	-5273	MLNR	MLNR	NM_001507			MLNR			NA
TCF12_IP_R1_peak_12842	chr4	89378172	89378891	+	1150	NA	exon (HERC5, exon 1 of 23)	-exon (HERC5, exon 1 of 23)	263	HERC5	HERC5	NM_016323			HERC5			NA
TCF12_IP_R1_peak_6499	chr17	2693797	2694302	+	1146	NA	Intergenic	Intergenic	-5683	RAP1GAP2	RAP1GAP2	NM_015085			RAP1GAP2			NA
TCF12_IP_R1_peak_1924	chr10	43913462	43913886	+	1141	NA	Intergenic	Intergenic	-9018	HNRNPF	HNRNPF	NM_001098204			HNRNPF			NA
TCF12_IP_R1_peak_6039	chr16	46917527	46918180	+	1139	NA	promoter-TSS (GPT2)	-promoter-TSS (GPT2)	-439	GPT2	GPT2	NM_001142466			GPT2			NA
TCF12_IP_R1_peak_7798	chr18	68288963	68289361	+	1139	NA	Intergenic	Intergenic	28931	GTSCR1	GTSCR1	NM_001278515			GTSCR1			NA
TCF12_IP_R1_peak_8105	chr19	4916417	4917111	+	1139	NA	intron (UHRF1, intron 1 of 15)	-intron (UHRF1, intron 2 of 16)	6385	UHRF1	UHRF1	NM_001290050			UHRF1			NA
TCF12_IP_R1_peak_2059	chr10	73557007	73558145	+	1134	NA	intron (CDH23, intron 47 of 67)	-intron (CDH23, intron 2 of 22)	7072	MIR7152	MIR7152	NR_106974			MIR7152			NA
TCF12_IP_R1_peak_12250	chr3	188690176	188690572	+	1133	NA	Intergenic	Intergenic	-24946	TPRG1-AS1	TPRG1-AS1	NR_046873			TPRG1-AS1			NA
TCF12_IP_R1_peak_4462	chr13	99161783	99162221	+	1132	NA	intron (STK24, intron 2 of 10)	-intron (STK24, intron 2 of 10)	12377	STK24	STK24	NM_001032296			STK24			NA
TCF12_IP_R1_peak_3320	chr11	128547869	128548296	+	1132	NA	Intergenic	Intergenic	-15729	FLI1	FLI1	NM_001167681			FLI1			NA
