PeakID (cmd=annotatePeaks.pl ENCAB000BDY.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_404	chr1	197170493	197170721	+	0	NA	promoter-TSS (CRB1)	-promoter-TSS (CRB1)	-935	ZBTB41	ZBTB41	NM_194314			ZBTB41			NA
Interval_2628	chr3	4344924	4345120	+	0	NA	promoter-TSS (SETMAR)	-promoter-TSS (SETMAR)	34	SETMAR	SETMAR	NM_001243723			SETMAR			NA
Interval_471	chr1	235151653	235151801	+	0	NA	Intergenic	Intergenic	-51981	LOC101927851	LOC101927851	NR_125945			LOC101927851			NA
Interval_47	chr1	7727722	7727876	+	0	NA	intron (CAMTA1, intron 9 of 22)	-intron (CAMTA1, intron 9 of 22)	-103530	VAMP3	VAMP3	NM_004781			VAMP3			NA
Interval_3206	chr7	766187	766360	+	0	NA	promoter-TSS (DNAAF5)	-promoter-TSS (DNAAF5)	-65	DNAAF5	DNAAF5	NM_017802			DNAAF5			NA
Interval_2933	chr5	134469634	134469996	+	0	NA	intron (C5orf66, intron 2 of 5)	-intron (C5orf66, intron 2 of 5)	-94078	C5orf66-AS1	C5orf66-AS1	NR_105050			C5orf66-AS1			NA
Interval_2323	chr2	219906256	219906404	+	0	NA	promoter-TSS (CCDC108)	-promoter-TSS (CCDC108)	-57	CCDC108	CCDC108	NM_001278295			CCDC108			NA
Interval_2789	chr4	986906	987040	+	0	NA	intron (SLC26A1, intron 1 of 3)	-intron (IDUA, intron 2 of 13)	255	SLC26A1	SLC26A1	NM_022042			SLC26A1			NA
Interval_382	chr1	173445951	173446106	+	0	NA	promoter-TSS (PRDX6)	-promoter-TSS (PRDX6)	266	LOC100506023	LOC100506023	NR_037845			LOC100506023			NA
Interval_880	chr12	56730478	56730673	+	0	NA	Intergenic	Intergenic	-2088	IL23A	IL23A	NM_016584			IL23A			NA
Interval_3242	chr7	23221577	23221712	+	0	NA	exon (NUPL2, exon 1 of 7)	-exon (NUPL2, exon 1 of 7)	198	NUPL2	NUPL2	NM_007342			NUPL2			NA
Interval_956	chr12	125398698	125398868	+	0	NA	intron (UBC, intron 1 of 1)	-intron (UBC, intron 1 of 1)	804	UBC	UBC	NM_021009			UBC			NA
Interval_2875	chr5	7869068	7869207	+	0	NA	promoter-TSS (MTRR)	-promoter-TSS (MTRR)	13	FASTKD3	FASTKD3	NR_073608			FASTKD3			NA
Interval_558	chr10	74856508	74856667	+	0	NA	exon (P4HA1, exon 1 of 15)	-exon (P4HA1, exon 1 of 15)	145	P4HA1	P4HA1	NM_001142596			P4HA1			NA
Interval_2426	chr20	48100844	48100978	+	0	NA	Intergenic	Intergenic	-1730	KCNB1	KCNB1	NM_004975			KCNB1			NA
Interval_662	chr11	34127025	34127170	+	0	NA	promoter-TSS (NAT10)	-promoter-TSS (NAT10)	-14	NAT10	NAT10	NM_024662			NAT10			NA
Interval_2433	chr20	54967307	54967745	+	0	NA	promoter-TSS (CSTF1)	-promoter-TSS (CSTF1)	-48	CSTF1	CSTF1	NM_001324			CSTF1			NA
Interval_1288	chr16	31519648	31519899	+	0	NA	promoter-TSS (C16orf58)	-promoter-TSS (C16orf58)	-33	C16orf58	C16orf58	NM_022744			C16orf58			NA
Interval_2493	chr21	46707870	46708024	+	0	NA	promoter-TSS (POFUT2)	-promoter-TSS (POFUT2)	-20	LOC642852	LOC642852	NR_026943			LOC642852			NA
Interval_1748	chr19	3435195	3435394	+	0	NA	intron (NFIC, intron 6 of 10)	-intron (NFIC, intron 6 of 10)	45246	SMIM24	SMIM24	NM_001136503			SMIM24			NA
Interval_17	chr1	1550616	1550844	+	0	NA	promoter-TSS (MIB2)	-promoter-TSS (MIB2)	-65	MIB2	MIB2	NM_001170688			MIB2			NA
Interval_2112	chr19	55816953	55817087	+	0	NA	intron (BRSK1, intron 16 of 18)	-intron (BRSK1, intron 16 of 18)	19688	TMEM150B	TMEM150B	NR_104066			TMEM150B			NA
Interval_446	chr1	224521805	224521952	+	0	NA	Intergenic	Intergenic	-3987	NVL	NVL	NM_002533			NVL			NA
Interval_2837	chr4	99388846	99388980	+	0	NA	Intergenic	Intergenic	190899	TSPAN5	TSPAN5	NM_005723			TSPAN5			NA
Interval_412	chr1	202317565	202317878	+	0	NA	promoter-TSS (PPP1R12B)	-promoter-TSS (PPP1R12B)	-6627	UBE2T	UBE2T	NM_001310326			UBE2T			NA
Interval_827	chr12	12966193	12966402	+	0	NA	promoter-TSS (DDX47)	-promoter-TSS (DDX47)	17	DDX47	DDX47	NM_201224			DDX47			NA
Interval_2990	chr5	178286834	178287072	+	0	NA	promoter-TSS (ZNF354B)	-promoter-TSS (ZNF354B)	-1	ZNF354B	ZNF354B	NM_058230			ZNF354B			NA
Interval_1613	chr17	73749811	73749987	+	0	NA	exon (ITGB4, exon 33 of 40)	-exon (ITGB4, exon 33 of 40)	11381	GALK1	GALK1	NM_000154			GALK1			NA
Interval_1860	chr19	16606955	16607227	+	0	NA	promoter-TSS (C19orf44)	-promoter-TSS (C19orf44)	-31	C19orf44	C19orf44	NM_032207			C19orf44			NA
Interval_173	chr1	36022750	36022945	+	0	NA	promoter-TSS (NCDN)	-promoter-TSS (NCDN)	190	KIAA0319L	KIAA0319L	NM_024874			KIAA0319L			NA
Interval_1792	chr19	8617807	8617941	+	0	NA	intron (MYO1F, intron 6 of 27)	-intron (MYO1F, intron 6 of 27)	24457	MYO1F	MYO1F	NM_012335			MYO1F			NA
Interval_571	chr10	80827139	80827280	+	0	NA	promoter-TSS (ZMIZ1-AS1)	-promoter-TSS (ZMIZ1-AS1)	-4	ZMIZ1-AS1	ZMIZ1-AS1	NR_024431			ZMIZ1-AS1			NA
Interval_1236	chr16	23568778	23569069	+	0	NA	promoter-TSS (EARS2)	-promoter-TSS (EARS2)	61	UBFD1	UBFD1	NM_019116			UBFD1			NA
Interval_3508	chr8	144679378	144679517	+	0	NA	promoter-TSS (TIGD5)	-promoter-TSS (TIGD5)	398	EEF1D	EEF1D	NM_032378			EEF1D			NA
Interval_733	chr11	65625613	65625917	+	0	NA	promoter-TSS (CFL1)	-promoter-TSS (CFL1)	39	CFL1	CFL1	NM_005507			CFL1			NA
Interval_2675	chr3	43732120	43732450	+	0	NA	promoter-TSS (ABHD5)	-promoter-TSS (ABHD5)	-90	ABHD5	ABHD5	NM_016006			ABHD5			NA
Interval_2071	chr19	51162109	51162495	+	0	NA	exon (C19orf81, exon 5 of 5)	-exon (C19orf81, exon 5 of 5)	9600	C19orf81	C19orf81	NM_001195076			C19orf81			NA
Interval_1635	chr17	78388943	78389133	+	0	NA	promoter-TSS (ENDOV)	-promoter-TSS (ENDOV)	-70	LOC100294362	LOC100294362	NR_029376			LOC100294362			NA
Interval_3692	chr9	140134895	140135032	+	0	NA	promoter-TSS (TUBB4B)	-promoter-TSS (TUBB4B)	-748	TUBB4B	TUBB4B	NM_006088			TUBB4B			NA
Interval_3527	chr8	145682406	145682605	+	0	NA	intron (CYHR1, intron 2 of 4)	-intron (CYHR1, intron 2 of 4)	7913	CYHR1	CYHR1	NM_001129888			CYHR1			NA
Interval_565	chr10	75544974	75545431	+	0	NA	promoter-TSS (ZSWIM8)	-promoter-TSS (ZSWIM8)	-180	ZSWIM8	ZSWIM8	NM_001242488			ZSWIM8			NA
Interval_2434	chr20	55043556	55043764	+	0	NA	promoter-TSS (RTFDC1)	-promoter-TSS (RTFDC1)	19	RTFDC1	RTFDC1	NM_001283036			RTFDC1			NA
Interval_2847	chr4	122745059	122745193	+	0	NA	promoter-TSS (CCNA2)	-promoter-TSS (CCNA2)	-38	CCNA2	CCNA2	NM_001237			CCNA2			NA
Interval_2823	chr4	39640494	39640779	+	0	NA	promoter-TSS (SMIM14)	-promoter-TSS (SMIM14)	-155	SMIM14	SMIM14	NM_174921			SMIM14			NA
Interval_3528	chr8	145911243	145911428	+	0	NA	promoter-TSS (ARHGAP39)	-promoter-TSS (ARHGAP39)	69635	ZNF251	ZNF251	NM_138367			ZNF251			NA
Interval_2465	chr21	34697110	34697377	+	0	NA	promoter-TSS (IFNAR1)	-promoter-TSS (IFNAR1)	29	IFNAR1	IFNAR1	NM_000629			IFNAR1			NA
Interval_3672	chr9	137299103	137299349	+	0	NA	exon (RXRA, exon 1 of 9)	-exon (RXRA, exon 1 of 9)	27969	MIR4669	MIR4669	NR_039816			MIR4669			NA
Interval_745	chr11	66335989	66336228	+	0	NA	promoter-TSS (CTSF)	-promoter-TSS (CTSF)	-61	CTSF	CTSF	NM_003793			CTSF			NA
Interval_3229	chr7	5603251	5603429	+	0	NA	Intergenic	Intergenic	-29096	FSCN1	FSCN1	NM_003088			FSCN1			NA
Interval_990	chr13	45694457	45694681	+	0	NA	promoter-TSS (GTF2F2)	-promoter-TSS (GTF2F2)	-62	GTF2F2	GTF2F2	NM_004128			GTF2F2			NA
Interval_3339	chr7	100660830	100660964	+	0	NA	promoter-TSS (LOC102724094)	-promoter-TSS (LOC102724094)	-8	LOC102724094	LOC102724094	NR_120519			LOC102724094			NA
Interval_275	chr1	109756420	109756646	+	0	NA	promoter-TSS (SARS)	-promoter-TSS (SARS)	18	SARS	SARS	NM_006513			SARS			NA
Interval_1959	chr19	41829518	41829730	+	0	NA	exon (CCDC97, exon 5 of 5)	-exon (CCDC97, exon 5 of 5)	13530	CCDC97	CCDC97	NM_052848			CCDC97			NA
Interval_1771	chr19	5903792	5903963	+	0	NA	promoter-TSS (VMAC)	-promoter-TSS (VMAC)	147	NDUFA11	NDUFA11	NM_175614			NDUFA11			NA
Interval_2383	chr20	32319923	32320143	+	0	NA	intron (ZNF341, intron 1 of 13)	-intron (ZNF341, intron 1 of 14)	467	ZNF341	ZNF341	NM_001282933			ZNF341			NA
Interval_1482	chr17	28619005	28619139	+	0	NA	exon (BLMH, exon 1 of 12)	-exon (BLMH, exon 1 of 12)	112	BLMH	BLMH	NM_000386			BLMH			NA
Interval_3656	chr9	133933273	133933529	+	0	NA	intron (LAMC3, intron 12 of 27)	-intron (LAMC3, intron 12 of 27)	-38462	AIF1L	AIF1L	NM_001185095			AIF1L			NA
Interval_341	chr1	155163251	155163673	+	0	NA	promoter-TSS (MUC1)	-promoter-TSS (MUC1)	-756	MUC1	MUC1	NM_001018016			MUC1			NA
Interval_267	chr1	100731643	100731933	+	0	NA	promoter-TSS (RTCA)	-promoter-TSS (RTCA)	-58	RTCA-AS1	RTCA-AS1	NR_110434			RTCA-AS1			NA
Interval_3091	chr6	33359293	33359503	+	0	NA	promoter-TSS (KIFC1)	-promoter-TSS (KIFC1)	85	KIFC1	KIFC1	NM_002263_2			KIFC1			NA
Interval_3370	chr7	128694817	128694972	+	0	NA	promoter-TSS (TPI1P2)	-promoter-TSS (TPI1P2)	333	TNPO3	TNPO3	NM_001191028			TNPO3			NA
Interval_3569	chr9	98638209	98638427	+	0	NA	promoter-TSS (LINC00476)	-promoter-TSS (LINC00476)	-59	LINC00476	LINC00476	NR_023390			LINC00476			NA
Interval_2788	chr4	926109	926306	+	0	NA	promoter-TSS (GAK)	-promoter-TSS (GAK)	32	TMEM175	TMEM175	NM_001297428			TMEM175			NA
Interval_634	chr11	3876307	3876486	+	0	NA	promoter-TSS (STIM1)	-promoter-TSS (STIM1)	-537	STIM1	STIM1	NM_001277961			STIM1			NA
Interval_851	chr12	51157623	51157822	+	0	NA	promoter-TSS (ATF1)	-promoter-TSS (ATF1)	-67	ATF1	ATF1	NM_005171			ATF1			NA
Interval_3290	chr7	75677157	75677411	+	0	NA	promoter-TSS (MDH2)	-promoter-TSS (MDH2)	37	STYXL1	STYXL1	NM_016086			STYXL1			NA
Interval_1560	chr17	46662751	46662980	+	0	NA	Intergenic	Intergenic	-4917	HOXB-AS3	HOXB-AS3	NR_033201			HOXB-AS3			NA
Interval_3249	chr7	35077484	35077709	+	0	NA	promoter-TSS (DPY19L1)	-promoter-TSS (DPY19L1)	57	DPY19L1	DPY19L1	NM_015283			DPY19L1			NA
Interval_164	chr1	32713810	32713995	+	0	NA	intron (FAM167B, intron 1 of 1)	-intron (FAM167B, intron 1 of 1)	1084	FAM167B	FAM167B	NM_032648			FAM167B			NA
Interval_1396	chr16	88877841	88877975	+	0	NA	intron (APRT, intron 2 of 4)	-intron (APRT, intron 2 of 4)	434	APRT	APRT	NM_001030018			APRT			NA
Interval_3302	chr7	92861395	92861733	+	0	NA	promoter-TSS (VPS50)	-promoter-TSS (VPS50)	-89	VPS50	VPS50	NM_001257998			VPS50			NA
Interval_1971	chr19	43033575	43033750	+	0	NA	intron (LIPE-AS1, intron 2 of 2)	-intron (LIPE-AS1, intron 1 of 1)	-1001	CEACAM1	CEACAM1	NM_001184813			CEACAM1			NA
Interval_2288	chr2	162164810	162165021	+	0	NA	exon (PSMD14, exon 1 of 12)	-exon (PSMD14, exon 1 of 12)	129	PSMD14	PSMD14	NM_005805			PSMD14			NA
Interval_1061	chr14	103565802	103566042	+	0	NA	promoter-TSS (EXOC3L4)	-promoter-TSS (EXOC3L4)	-559	EXOC3L4	EXOC3L4	NM_001077594			EXOC3L4			NA
Interval_124	chr1	26826764	26826915	+	0	NA	Intergenic	Intergenic	27937	HMGN2	HMGN2	NM_005517			HMGN2			NA
Interval_131	chr1	27560785	27561207	+	0	NA	promoter-TSS (WDTC1)	-promoter-TSS (WDTC1)	-11	WDTC1	WDTC1	NM_015023			WDTC1			NA
Interval_3587	chr9	116172548	116173071	+	0	NA	promoter-TSS (C9orf43)	-promoter-TSS (C9orf43)	146	POLE3	POLE3	NM_001278255			POLE3			NA
Interval_1964	chr19	42388190	42388490	+	0	NA	promoter-TSS (ARHGEF1)	-promoter-TSS (ARHGEF1)	-106	ARHGEF1	ARHGEF1	NM_199002			ARHGEF1			NA
Interval_3598	chr9	125112954	125113088	+	0	NA	Intergenic	Intergenic	-20263	PTGS1	PTGS1	NM_000962			PTGS1			NA
Interval_1062	chr14	105219345	105219537	+	0	NA	promoter-TSS (SIVA1)	-promoter-TSS (SIVA1)	-29	SIVA1	SIVA1	NM_021709			SIVA1			NA
Interval_402	chr1	186344719	186344853	+	0	NA	promoter-TSS (C1orf27)	-promoter-TSS (C1orf27)	-104	C1orf27	C1orf27	NM_017847			C1orf27			NA
Interval_1087	chr15	44719400	44719651	+	0	NA	promoter-TSS (CTDSPL2)	-promoter-TSS (CTDSPL2)	-54	CTDSPL2	CTDSPL2	NM_016396			CTDSPL2			NA
Interval_2950	chr5	141704592	141704857	+	0	NA	promoter-TSS (SPRY4)	-promoter-TSS (SPRY4)	-104	SPRY4	SPRY4	NM_030964			SPRY4			NA
Interval_3047	chr6	28806406	28806548	+	0	NA	Intergenic	Intergenic	24977	LOC401242	LOC401242	NR_033379_4			LOC401242			NA
Interval_300	chr1	117360333	117360512	+	0	NA	Intergenic	Intergenic	63336	CD2	CD2	NM_001767			CD2			NA
Interval_2110	chr19	55813294	55813460	+	0	NA	intron (BRSK1, intron 8 of 18)	-intron (BRSK1, intron 8 of 18)	17843	BRSK1	BRSK1	NM_032430			BRSK1			NA
Interval_964	chr12	132638517	132638651	+	0	NA	Intergenic	Intergenic	9612	NOC4L	NOC4L	NM_024078			NOC4L			NA
Interval_3402	chr7	149321787	149322007	+	0	NA	promoter-TSS (ZNF767P)	-promoter-TSS (ZNF767P)	-16	ZNF767P	ZNF767P	NR_027789			ZNF767P			NA
Interval_309	chr1	145549066	145549226	+	0	NA	promoter-TSS (ANKRD35)	-promoter-TSS (ANKRD35)	-63	ANKRD35	ANKRD35	NM_001280799			ANKRD35			NA
Interval_3005	chr6	3157770	3157927	+	0	NA	promoter-TSS (TUBB2A)	-promoter-TSS (TUBB2A)	-65	TUBB2A	TUBB2A	NM_001069			TUBB2A			NA
Interval_1513	chr17	40306924	40307219	+	0	NA	promoter-TSS (RAB5C)	-promoter-TSS (RAB5C)	-9	RAB5C	RAB5C	NM_001252039			RAB5C			NA
Interval_2523	chr22	19760659	19760799	+	0	NA	intron (TBX1, intron 8 of 9)	-intron (TBX1, intron 8 of 9)	16503	TBX1	TBX1	NM_005992			TBX1			NA
Interval_2196	chr2	47630110	47630261	+	0	NA	promoter-TSS (MSH2)	-promoter-TSS (MSH2)	-21	MSH2	MSH2	NM_000251			MSH2			NA
Interval_1950	chr19	40476981	40477125	+	0	NA	exon (PSMC4, exon 1 of 11)	-exon (PSMC4, exon 1 of 11)	141	PSMC4	PSMC4	NM_006503			PSMC4			NA
Interval_3506	chr8	144513091	144513236	+	0	NA	promoter-TSS (MAFA)	-promoter-TSS (MAFA)	-561	MAFA	MAFA	NM_201589			MAFA			NA
Interval_3069	chr6	31670969	31671403	+	0	NA	promoter-TSS (ABHD16A)	-promoter-TSS (ABHD16A)	-49	ABHD16A	ABHD16A	NM_021160_5			ABHD16A			NA
Interval_1086	chr15	43477480	43477647	+	0	NA	promoter-TSS (CCNDBP1)	-promoter-TSS (CCNDBP1)	97	CCNDBP1	CCNDBP1	NM_012142			CCNDBP1			NA
Interval_1303	chr16	57701385	57701597	+	0	NA	promoter-TSS (ADGRG3)	-promoter-TSS (ADGRG3)	-666	ADGRG3	ADGRG3	NM_170776			ADGRG3			NA
Interval_2389	chr20	33877666	33877823	+	0	NA	intron (FAM83C, intron 1 of 3)	-intron (FAM83C, intron 1 of 3)	2481	FAM83C	FAM83C	NM_178468			FAM83C			NA
Interval_585	chr10	95462264	95462501	+	0	NA	promoter-TSS (FRA10AC1)	-promoter-TSS (FRA10AC1)	-53	FRA10AC1	FRA10AC1	NM_145246			FRA10AC1			NA
Interval_338	chr1	155057303	155057472	+	0	NA	intron (EFNA3, intron 1 of 4)	-intron (EFNA3, intron 1 of 4)	6039	EFNA3	EFNA3	NM_004952			EFNA3			NA
Interval_2692	chr3	47844519	47844770	+	0	NA	exon (DHX30, exon 1 of 23)	-exon (DHX30, exon 1 of 23)	245	DHX30	DHX30	NM_014966			DHX30			NA
Interval_2944	chr5	140070922	140071086	+	0	NA	promoter-TSS (HARS2)	-promoter-TSS (HARS2)	-7	HARS2	HARS2	NM_001278732			HARS2			NA
Interval_2181	chr2	29117267	29117593	+	0	NA	promoter-TSS (WDR43)	-promoter-TSS (WDR43)	-79	WDR43	WDR43	NM_015131			WDR43			NA
Interval_947	chr12	123011580	123011903	+	0	NA	promoter-TSS (KNTC1)	-promoter-TSS (KNTC1)	-68	KNTC1	KNTC1	NM_014708			KNTC1			NA
Interval_3124	chr6	42981631	42981962	+	0	NA	promoter-TSS (MEA1)	-promoter-TSS (MEA1)	-45	KLHDC3	KLHDC3	NM_057161			KLHDC3			NA
Interval_554	chr10	74080701	74080916	+	0	NA	Intergenic	Intergenic	34099	DNAJB12	DNAJB12	NM_017626			DNAJB12			NA
Interval_2392	chr20	34330086	34330223	+	0	NA	exon (RBM39, exon 1 of 16)	-exon (RBM39, exon 1 of 16)	104	RBM39	RBM39	NM_004902			RBM39			NA
Interval_2693	chr3	47866233	47866520	+	0	NA	intron (DHX30, intron 5 of 22)	-intron (DHX30, intron 5 of 22)	21977	DHX30	DHX30	NM_014966			DHX30			NA
Interval_3739	chrX	153238095	153238299	+	0	NA	exon (TMEM187, exon 1 of 2)	-exon (TMEM187, exon 1 of 2)	206	TMEM187	TMEM187	NM_003492			TMEM187			NA
Interval_3226	chr7	5569353	5569487	+	0	NA	intron (ACTB, intron 1 of 5)	-intron (ACTB, intron 1 of 5)	812	ACTB	ACTB	NM_001101			ACTB			NA
Interval_3484	chr8	95907919	95908059	+	0	NA	promoter-TSS (CCNE2)	-promoter-TSS (CCNE2)	-507	CCNE2	CCNE2	NM_057749			CCNE2			NA
Interval_3218	chr7	4681350	4681650	+	0	NA	Intergenic	Intergenic	-40430	FOXK1	FOXK1	NM_001037165			FOXK1			NA
Interval_1310	chr16	58718598	58718732	+	0	NA	promoter-TSS (SLC38A7)	-promoter-TSS (SLC38A7)	16	SLC38A7	SLC38A7	NM_018231			SLC38A7			NA
Interval_3629	chr9	131549428	131549581	+	0	NA	promoter-TSS (TBC1D13)	-promoter-TSS (TBC1D13)	18	TBC1D13	TBC1D13	NM_018201			TBC1D13			NA
Interval_1160	chr15	101626612	101626828	+	0	NA	Intergenic	Intergenic	165417	CHSY1	CHSY1	NM_014918			CHSY1			NA
Interval_1506	chr17	38375395	38375574	+	0	NA	promoter-TSS (WIPF2)	-promoter-TSS (WIPF2)	-90	WIPF2	WIPF2	NM_133264			WIPF2			NA
Interval_1235	chr16	23521723	23521920	+	0	NA	promoter-TSS (GGA2)	-promoter-TSS (GGA2)	-6	GGA2	GGA2	NM_015044			GGA2			NA
Interval_2373	chr20	30091055	30091189	+	0	NA	Intergenic	Intergenic	-11091	HM13	HM13	NM_030789			HM13			NA
Interval_1525	chr17	41173321	41173482	+	0	NA	intron (VAT1, intron 1 of 5)	-intron (VAT1, intron 1 of 5)	1058	VAT1	VAT1	NM_006373			VAT1			NA
Interval_58	chr1	10532572	10532792	+	0	NA	promoter-TSS (DFFA)	-promoter-TSS (DFFA)	-69	DFFA	DFFA	NM_004401			DFFA			NA
Interval_3038	chr6	27440977	27441111	+	0	NA	promoter-TSS (ZNF184)	-promoter-TSS (ZNF184)	-147	ZNF184	ZNF184	NM_007149			ZNF184			NA
Interval_2381	chr20	31927771	31927922	+	0	NA	Intergenic	Intergenic	56905	BPIFB1	BPIFB1	NM_033197			BPIFB1			NA
Interval_3128	chr6	43214945	43215174	+	0	NA	intron (TTBK1, intron 2 of 14)	-intron (TTBK1, intron 2 of 14)	3837	TTBK1	TTBK1	NM_032538			TTBK1			NA
Interval_2166	chr2	20850786	20851028	+	0	NA	promoter-TSS (HS1BP3)	-promoter-TSS (HS1BP3)	-43	HS1BP3	HS1BP3	NM_022460			HS1BP3			NA
Interval_169	chr1	33352216	33352429	+	0	NA	intron (HPCA, intron 1 of 3)	-intron (HPCA, intron 1 of 3)	224	HPCA	HPCA	NM_002143			HPCA			NA
Interval_1248	chr16	28985908	28986171	+	0	NA	promoter-TSS (SPNS1)	-promoter-TSS (SPNS1)	-57	SPNS1	SPNS1	NM_001142449			SPNS1			NA
Interval_123	chr1	26798124	26798266	+	0	NA	promoter-TSS (HMGN2)	-promoter-TSS (HMGN2)	-707	HMGN2	HMGN2	NM_005517			HMGN2			NA
Interval_2706	chr3	52029901	52030062	+	0	NA	promoter-TSS (RPL29)	-promoter-TSS (RPL29)	-23	RPL29	RPL29	NM_000992			RPL29			NA
Interval_632	chr11	3078600	3078777	+	0	NA	promoter-TSS (CARS)	-promoter-TSS (CARS)	-7	CARS	CARS	NM_001014437			CARS			NA
Interval_3548	chr9	37800662	37800835	+	0	NA	promoter-TSS (DCAF10)	-promoter-TSS (DCAF10)	-35	DCAF10	DCAF10	NM_001286810			DCAF10			NA
Interval_1158	chr15	101458188	101458325	+	0	NA	Intergenic	Intergenic	-1164	LRRK1	LRRK1	NM_024652			LRRK1			NA
Interval_3127	chr6	43149760	43149978	+	0	NA	promoter-TSS (CUL9)	-promoter-TSS (CUL9)	-53	CUL9	CUL9	NM_015089			CUL9			NA
Interval_250	chr1	63989027	63989187	+	0	NA	promoter-TSS (ITGB3BP)	-promoter-TSS (ITGB3BP)	135	EFCAB7	EFCAB7	NM_032437			EFCAB7			NA
Interval_2408	chr20	37676751	37676902	+	0	NA	Intergenic	Intergenic	85845	DHX35	DHX35	NM_001190809			DHX35			NA
Interval_1464	chr17	25680883	25681142	+	0	NA	Intergenic	Intergenic	59906	WSB1	WSB1	NM_015626			WSB1			NA
Interval_3593	chr9	123638603	123639075	+	0	NA	intron (PHF19, intron 1 of 14)	-intron (PHF19, intron 1 of 4)	-7650	PHF19	PHF19	NM_001286840			PHF19			NA
Interval_3546	chr9	37486001	37486142	+	0	NA	exon (POLR1E, exon 1 of 13)	-exon (POLR1E, exon 1 of 13)	139	POLR1E	POLR1E	NM_022490			POLR1E			NA
Interval_1890	chr19	18530118	18530267	+	0	NA	promoter-TSS (SSBP4)	-promoter-TSS (SSBP4)	46	SSBP4	SSBP4	NM_001009998			SSBP4			NA
